time,San Antonio,pts.away,score,pts.home,Indiana
8:35.0,Defensive rebound by P. Gasol,,54-57,,
8:27.0,K. Anderson misses 2-pt shot from 11 ft,,54-57,,
8:24.0,,,54-57,,Defensive rebound by D. Collison
8:20.0,,,54-59,2,D. Collison makes 2-pt shot at rim
8:04.0,B. Paul enters the game for K. Anderson,,54-59,,
7:58.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Murray),2,56-59,,
7:39.0,,,56-59,,Turnover by B. Bogdanovic (bad pass; steal by D. Green)
7:24.0,D. Green misses 3-pt shot from 26 ft,,56-59,,
7:21.0,,,56-59,,Defensive rebound by D. Sabonis
7:02.0,,,56-59,,V. Oladipo misses 3-pt shot from 28 ft
7:00.0,Defensive rebound by P. Gasol,,56-59,,
6:40.0,,,56-59,,Personal foul by T. Young (drawn by L. Aldridge)
6:26.0,Turnover by Team (shot clock),,56-59,,
6:17.0,,,56-59,,D. Collison misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by P. Gasol,,56-59,,
6:08.0,D. Murray makes 2-pt shot from 4 ft,2,58-59,,
5:46.0,,,58-59,,Shooting foul by P. Gasol (drawn by V. Oladipo)
5:46.0,,,58-60,1,V. Oladipo makes free throw 1 of 3
5:46.0,,,58-61,1,V. Oladipo makes free throw 2 of 3
5:46.0,P. Mills enters the game for D. Murray,,58-61,,
5:46.0,M. Ginobili enters the game for D. Green,,58-61,,
5:46.0,R. Gay enters the game for P. Gasol,,58-61,,
5:46.0,,,58-62,1,V. Oladipo makes free throw 3 of 3
5:29.0,Turnover by L. Aldridge (bad pass; steal by B. Bogdanovic),,58-62,,
5:19.0,,,58-62,,Offensive charge foul by B. Bogdanovic (drawn by B. Paul)
5:19.0,,,58-62,,Turnover by B. Bogdanovic (offensive foul)
5:05.0,M. Ginobili misses 3-pt shot from 26 ft,,58-62,,
5:02.0,,,58-62,,Defensive rebound by B. Bogdanovic
4:56.0,,,58-62,,B. Bogdanovic misses 2-pt shot at rim
4:54.0,Defensive rebound by R. Gay,,58-62,,
4:36.0,B. Paul misses 3-pt shot from 29 ft,,58-62,,
4:33.0,,,58-62,,Defensive rebound by T. Young
4:30.0,,,58-62,,Offensive charge foul by V. Oladipo (drawn by M. Ginobili)
4:30.0,,,58-62,,Turnover by V. Oladipo (offensive foul)
4:30.0,,,58-62,,C. Joseph enters the game for V. Oladipo
4:09.0,Turnover by B. Paul (lost ball; steal by D. Collison),,58-62,,
4:05.0,,,58-62,,D. Collison misses 2-pt shot from 1 ft (block by L. Aldridge)
4:01.0,,,58-62,,Offensive rebound by T. Young
4:01.0,,,58-62,,T. Young misses 2-pt shot from 4 ft
4:01.0,,,58-62,,Offensive rebound by D. Sabonis
4:01.0,Loose ball foul by M. Ginobili (drawn by D. Sabonis),,58-62,,
3:48.0,,,58-62,,B. Bogdanovic misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by L. Aldridge,,58-62,,
3:36.0,R. Gay misses 2-pt shot from 17 ft,,58-62,,
3:36.0,Offensive rebound by Team,,58-62,,
3:35.0,,,58-62,,Loose ball foul by B. Bogdanovic (drawn by L. Aldridge)
3:23.0,R. Gay misses 3-pt shot from 22 ft,,58-62,,
3:20.0,,,58-62,,Defensive rebound by D. Sabonis
3:06.0,,,58-64,2,T. Young makes 2-pt shot from 17 ft
2:46.0,L. Aldridge misses 2-pt shot from 15 ft,,58-64,,
2:43.0,Offensive rebound by R. Gay,,58-64,,
2:43.0,Turnover by R. Gay (bad pass; steal by D. Collison),,58-64,,
2:38.0,,,58-64,,Turnover by D. Collison (lost ball; steal by P. Mills)
2:33.0,B. Paul misses 3-pt shot from 24 ft,,58-64,,
2:29.0,,,58-64,,Defensive rebound by D. Sabonis
2:27.0,,,58-64,,Indiana full timeout
2:27.0,,,58-64,,L. Stephenson enters the game for D. Sabonis
2:27.0,,,58-64,,A. Jefferson enters the game for B. Bogdanovic
2:27.0,P. Gasol enters the game for L. Aldridge,,58-64,,
2:17.0,,,58-64,,T. Young misses 2-pt shot from 8 ft (block by P. Gasol)
2:13.0,Defensive rebound by R. Gay,,58-64,,
2:08.0,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol),3,61-64,,
1:48.0,,,61-66,2,D. Collison makes 2-pt shot from 17 ft
1:30.0,Turnover by M. Ginobili (bad pass),,61-66,,
1:10.0,,,61-66,,A. Jefferson misses 2-pt shot from 9 ft (block by P. Gasol)
1:07.0,Defensive rebound by M. Ginobili,,61-66,,
1:02.0,Shooting foul by A. Jefferson (drawn by M. Ginobili),,61-66,,
1:02.0,M. Ginobili misses free throw 1 of 2,,61-66,,
1:02.0,Offensive rebound by Team,,61-66,,
1:02.0,,,61-66,,T. Leaf enters the game for T. Young
1:02.0,M. Ginobili makes free throw 2 of 2,1,62-66,,
0:41.0,,,62-66,,Turnover by T. Leaf (bad pass; steal by R. Gay)
0:36.0,P. Mills misses 3-pt shot from 26 ft,,62-66,,
0:34.0,Offensive rebound by Team,,62-66,,
0:34.0,,,62-66,,Loose ball foul by A. Jefferson (drawn by P. Gasol)
0:34.0,P. Gasol makes free throw 2 of 2,1,63-66,,
0:34.0,P. Gasol makes free throw 1 of 2,1,64-66,,
0:34.0,,,64-66,,J. Young enters the game for D. Collison
0:13.0,,,64-68,2,C. Joseph makes 2-pt shot from 17 ft
0:00.0,P. Mills misses 3-pt shot from 22 ft,,64-68,,
0:00.0,Offensive rebound by Team,,64-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili),3,67-68,,
11:27.0,,,67-68,,C. Joseph misses 2-pt shot from 17 ft
11:25.0,Turnover by B. Paul (bad pass; steal by L. Stephenson),,67-68,,
11:24.0,Offensive rebound by B. Paul,,67-68,,
11:09.0,,,67-68,,J. Young misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by M. Ginobili,,67-68,,
