time,Milwaukee,pts.away,score,pts.home,Golden State
2:58.0,Offensive rebound by J. Henson,,81-68,,
2:55.0,J. Parker misses 2-pt shot from 20 ft,,81-68,,
2:51.0,,,81-68,,Defensive rebound by N. Young
2:37.0,,,81-68,,A. Iguodala misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by J. Parker,,81-68,,
2:31.0,E. Bledsoe makes 2-pt shot from 3 ft (assist by J. Parker),2,83-68,,
2:14.0,,,83-68,,Shooting foul by G. Antetokounmpo (drawn by P. McCaw)
2:14.0,Milwaukee full timeout,,83-68,,
2:14.0,,,83-68,,S. Livingston enters the game for A. Iguodala
2:14.0,T. Zeller enters the game for E. Bledsoe,,83-68,,
2:14.0,K. Middleton enters the game for J. Henson,,83-68,,
2:14.0,,,83-69,1,P. McCaw makes free throw 1 of 2
2:14.0,,,83-70,1,P. McCaw makes free throw 2 of 2
1:59.0,G. Antetokounmpo makes 2-pt shot from 14 ft (assist by J. Terry),2,85-70,,
1:45.0,,,85-70,,N. Young misses 2-pt shot from 17 ft
1:43.0,Defensive rebound by J. Terry,,85-70,,
1:37.0,J. Terry makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,88-70,,
1:23.0,,,88-72,2,P. McCaw makes 2-pt shot from 17 ft (assist by J. Bell)
1:01.0,K. Middleton misses 2-pt shot from 18 ft,,88-72,,
0:56.0,,,88-72,,Defensive rebound by J. Bell
0:49.0,,,88-72,,K. Looney misses 3-pt shot from 24 ft
0:45.0,,,88-72,,Offensive rebound by J. Bell
0:39.0,,,88-72,,P. McCaw misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by G. Antetokounmpo,,88-72,,
0:31.0,J. Parker makes 2-pt shot from 3 ft (assist by K. Middleton),2,90-72,,
0:09.0,,,90-72,,P. McCaw misses 3-pt shot from 22 ft
0:08.0,Defensive rebound by K. Middleton,,90-72,,
0:00.0,K. Middleton makes 2-pt shot from 2 ft,2,92-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Terry misses 2-pt shot from 21 ft,,92-72,,
11:37.0,Offensive rebound by T. Zeller,,92-72,,
11:32.0,J. Parker makes 3-pt shot from 26 ft (assist by T. Zeller),3,95-72,,
11:06.0,,,95-72,,Shooting foul by J. Parker (drawn by D. Green)
11:06.0,,,95-73,1,D. Green makes free throw 1 of 2
11:06.0,,,95-74,1,D. Green makes free throw 2 of 2
10:52.0,,,95-74,,Personal foul by D. Green (drawn by T. Zeller)
10:46.0,J. Parker makes 3-pt shot from 27 ft (assist by T. Zeller),3,98-74,,
10:35.0,Personal foul by J. Terry (drawn by N. Young),,98-74,,
10:28.0,,,98-74,,Turnover by N. Young (bad pass; steal by B. Jennings)
10:22.0,Turnover by B. Jennings (bad pass; steal by D. Green),,98-74,,
10:18.0,,,98-76,2,S. Livingston makes 2-pt shot from 7 ft
10:05.0,,,98-76,,Personal foul by D. West (drawn by T. Zeller)
10:05.0,,,98-76,,P. McCaw enters the game for N. Young
9:57.0,K. Middleton misses 2-pt shot from 12 ft,,98-76,,
9:55.0,,,98-76,,Defensive rebound by Q. Cook
9:48.0,,,98-76,,S. Livingston misses 2-pt shot from 10 ft
9:43.0,Defensive rebound by J. Parker,,98-76,,
9:39.0,J. Parker misses 3-pt shot from 26 ft,,98-76,,
9:33.0,,,98-76,,Defensive rebound by P. McCaw
9:24.0,,,98-76,,D. West misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by J. Parker,,98-76,,
9:15.0,B. Jennings misses 3-pt shot from 25 ft,,98-76,,
9:10.0,,,98-76,,Defensive rebound by P. McCaw
9:01.0,,,98-79,3,Q. Cook makes 3-pt shot from 27 ft
8:39.0,T. Zeller makes 2-pt shot from 8 ft (assist by J. Parker),2,100-79,,
8:29.0,,,100-79,,P. McCaw misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by T. Zeller,,100-79,,
8:09.0,K. Middleton makes 2-pt shot from 11 ft (assist by T. Zeller),2,102-79,,
7:52.0,,,102-81,2,Q. Cook makes 2-pt shot from 10 ft
7:38.0,B. Jennings makes 2-pt shot from 17 ft,2,104-81,,
7:29.0,,,104-83,2,D. Green makes 2-pt shot from 9 ft
7:06.0,B. Jennings misses 2-pt shot from 13 ft,,104-83,,
7:04.0,,,104-83,,Defensive rebound by D. Green
6:43.0,,,104-83,,P. McCaw misses 2-pt shot from 16 ft
6:38.0,Defensive rebound by T. Zeller,,104-83,,
6:34.0,,,104-83,,Personal foul by Q. Cook (drawn by T. Zeller)
6:34.0,,,104-83,,Golden State full timeout
6:34.0,T. Zeller misses free throw 1 of 2,,104-83,,
6:34.0,Offensive rebound by Team,,104-83,,
6:34.0,T. Zeller makes free throw 2 of 2,1,105-83,,
6:34.0,,,105-83,,K. Looney enters the game for D. West
6:34.0,T. Snell enters the game for J. Terry,,105-83,,
6:34.0,,,105-83,,J. Bell enters the game for D. Green
6:21.0,,,105-85,2,S. Livingston makes 2-pt shot from 2 ft (assist by Q. Cook)
6:21.0,,,105-85,,Shooting foul by J. Parker (drawn by S. Livingston)
6:21.0,,,105-86,1,S. Livingston makes free throw 1 of 1
6:02.0,J. Parker misses 2-pt shot from 2 ft (block by K. Looney),,105-86,,
5:59.0,,,105-86,,Defensive rebound by J. Bell
5:58.0,,,105-88,2,Q. Cook makes 2-pt shot from 2 ft
5:58.0,,,105-88,,Shooting foul by B. Jennings (drawn by Q. Cook)
5:58.0,,,105-89,1,Q. Cook makes free throw 1 of 1
5:47.0,Shooting foul by J. Bell (drawn by T. Zeller),,105-89,,
5:47.0,T. Zeller makes free throw 1 of 2,1,106-89,,
5:47.0,T. Zeller makes free throw 2 of 2,1,107-89,,
5:31.0,,,107-89,,Turnover by J. Bell (bad pass; steal by K. Middleton)
5:26.0,K. Middleton misses 2-pt shot from 21 ft,,107-89,,
5:21.0,,,107-89,,Defensive rebound by K. Looney
5:17.0,,,107-89,,Q. Cook misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by B. Jennings,,107-89,,
5:09.0,Offensive foul by K. Middleton (drawn by Q. Cook),,107-89,,
5:09.0,Turnover by K. Middleton (offensive foul),,107-89,,
5:09.0,,,107-89,,D. Jones enters the game for S. Livingston
5:09.0,,,107-89,,N. Young enters the game for J. Bell
4:53.0,,,107-89,,Shooting foul by J. Parker (drawn by K. Looney)
4:53.0,,,107-90,1,K. Looney makes free throw 1 of 2
4:53.0,,,107-91,1,K. Looney makes free throw 2 of 2
4:33.0,K. Middleton misses 2-pt shot from 3 ft,,107-91,,
4:26.0,Offensive rebound by T. Zeller,,107-91,,
4:24.0,B. Jennings misses 2-pt shot from 17 ft,,107-91,,
4:22.0,,,107-91,,Defensive rebound by P. McCaw
4:19.0,,,107-94,3,N. Young makes 3-pt shot from 26 ft (assist by P. McCaw)
4:19.0,Milwaukee full timeout,,107-94,,
4:19.0,G. Antetokounmpo enters the game for B. Jennings,,107-94,,
4:19.0,E. Bledsoe enters the game for J. Parker,,107-94,,
3:59.0,Turnover by G. Antetokounmpo (lost ball; steal by P. McCaw),,107-94,,
3:54.0,,,107-96,2,Q. Cook makes 2-pt shot from 1 ft (assist by P. McCaw)
3:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,109-96,,
3:18.0,,,109-96,,N. Young misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by T. Zeller,,109-96,,
3:05.0,E. Bledsoe makes 2-pt shot from 17 ft,2,111-96,,
2:54.0,,,111-96,,Shooting foul by T. Zeller (drawn by D. Jones)
2:54.0,,,111-97,1,D. Jones makes free throw 1 of 2
2:54.0,,,111-98,1,D. Jones makes free throw 2 of 2
2:29.0,T. Snell misses 2-pt shot from 2 ft,,111-98,,
2:25.0,,,111-98,,Defensive rebound by D. Jones
