time,Denver,pts.away,score,pts.home,Brooklyn
5:22.0,,,80-67,,J. Harris enters the game for T. Mozgov
5:22.0,,,80-67,,J. Allen enters the game for A. Crabbe
5:14.0,Personal foul by J. Murray (drawn by S. Dinwiddie),,80-67,,
5:07.0,,,80-67,,S. Dinwiddie misses 2-pt shot from 6 ft (block by J. Murray)
5:05.0,Defensive rebound by N. Jokic,,80-67,,
5:01.0,J. Murray makes 2-pt shot from 3 ft,2,82-67,,
4:53.0,,,82-67,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
4:53.0,Defensive rebound by N. Jokic,,82-67,,
4:42.0,G. Harris misses 2-pt shot from 4 ft (block by R. Hollis-Jefferson),,82-67,,
4:42.0,,,82-67,,Defensive rebound by C. LeVert
4:34.0,,,82-69,2,J. Harris makes 2-pt shot from 5 ft (assist by C. LeVert)
4:32.0,Denver full timeout,,82-69,,
4:32.0,,,82-69,,D. Russell enters the game for C. LeVert
4:32.0,M. Plumlee enters the game for N. Jokic,,82-69,,
4:23.0,,,82-69,,Def 3 sec tech foul by J. Allen
4:23.0,J. Murray makes technical free throw,1,83-69,,
4:20.0,,,83-69,,Personal foul by J. Harris (drawn by M. Plumlee)
4:20.0,M. Plumlee makes free throw 1 of 2,1,84-69,,
4:20.0,M. Plumlee makes free throw 2 of 2,1,85-69,,
4:04.0,,,85-69,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
4:00.0,Defensive rebound by M. Plumlee,,85-69,,
3:55.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),2,88-69,,
3:46.0,,,88-69,,J. Allen misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by G. Harris,,88-69,,
3:39.0,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris),3,91-69,,
3:39.0,,,91-69,,Brooklyn full timeout
3:39.0,,,91-69,,T. Booker enters the game for R. Hollis-Jefferson
3:39.0,W. Barton enters the game for G. Harris,,91-69,,
3:29.0,,,91-69,,D. Russell misses 2-pt shot from 14 ft
3:25.0,Defensive rebound by M. Plumlee,,91-69,,
3:19.0,W. Barton makes 3-pt shot from 23 ft (assist by J. Murray),3,94-69,,
3:01.0,,,94-72,3,S. Dinwiddie makes 3-pt shot from 32 ft (assist by D. Russell)
2:45.0,W. Chandler makes 2-pt shot from 6 ft (assist by J. Murray),2,96-72,,
