time,Charlotte,pts.away,score,pts.home,San Antonio
3:55.0,M. Monk enters the game for K. Walker,,66-63,,
3:55.0,,,66-64,1,R. Gay makes free throw 1 of 1
3:41.0,Turnover by C. Zeller (bad pass; steal by R. Gay),,66-64,,
3:37.0,,,66-66,2,R. Gay makes 2-pt shot at rim
3:37.0,Charlotte full timeout,,66-66,,
3:37.0,,,66-66,,P. Gasol enters the game for L. Aldridge
3:24.0,D. Bacon misses 2-pt shot from 11 ft,,66-66,,
3:21.0,Offensive rebound by C. Zeller,,66-66,,
3:18.0,F. Kaminsky misses 3-pt shot from 25 ft,,66-66,,
3:16.0,Offensive rebound by Team,,66-66,,
3:04.0,T. Graham misses 2-pt shot from 6 ft,,66-66,,
3:00.0,,,66-66,,Defensive rebound by P. Gasol
2:51.0,,,66-66,,Turnover by P. Gasol (bad pass; steal by C. Zeller)
2:45.0,D. Bacon misses 3-pt shot from 25 ft,,66-66,,
2:45.0,,,66-66,,Defensive rebound by D. Murray
2:34.0,,,66-68,2,R. Gay makes 2-pt shot from 7 ft (assist by D. Murray)
2:10.0,T. Graham misses 3-pt shot from 25 ft,,66-68,,
2:06.0,,,66-68,,Defensive rebound by P. Gasol
1:54.0,,,66-70,2,B. Forbes makes 2-pt shot from 14 ft (assist by P. Gasol)
1:53.0,Violation by T. Graham (def goaltending),,66-70,,
1:53.0,Technical foul by F. Kaminsky,,66-70,,
1:53.0,,,66-71,1,R. Gay makes technical free throw
1:37.0,M. Monk misses 3-pt shot from 25 ft,,66-71,,
1:37.0,,,66-71,,Defensive rebound by R. Gay
1:27.0,,,66-73,2,D. Murray makes 2-pt shot from 6 ft (assist by P. Gasol)
1:14.0,Turnover by M. Monk (bad pass; steal by D. Murray),,66-73,,
1:10.0,,,66-75,2,R. Gay makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:53.0,,,66-75,,Personal foul by R. Gay (drawn by F. Kaminsky)
0:53.0,F. Kaminsky makes free throw 1 of 2,1,67-75,,
0:53.0,,,67-75,,P. Mills enters the game for D. Murray
0:53.0,F. Kaminsky makes free throw 2 of 2,1,68-75,,
0:32.0,,,68-78,3,R. Gay makes 3-pt shot from 22 ft (assist by M. Ginobili)
0:09.0,T. Graham makes 3-pt shot from 25 ft (assist by M. Monk),3,71-78,,
0:00.0,,,71-80,2,B. Forbes makes 2-pt shot from 9 ft (assist by M. Ginobili)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,73-80,,
11:32.0,,,73-80,,R. Gay misses 2-pt shot from 7 ft
11:30.0,Defensive rebound by C. Zeller,,73-80,,
11:21.0,J. Lamb misses 2-pt shot from 12 ft,,73-80,,
11:17.0,,,73-80,,Defensive rebound by R. Gay
11:04.0,,,73-82,2,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol)
10:43.0,Turnover by C. Zeller (lost ball; steal by R. Gay),,73-82,,
10:43.0,,,73-84,2,D. Murray makes 2-pt shot from 1 ft (assist by D. Green)
10:43.0,Charlotte full timeout,,73-84,,
10:29.0,F. Kaminsky misses 3-pt shot from 25 ft,,73-84,,
10:24.0,,,73-84,,Defensive rebound by B. Forbes
10:13.0,,,73-86,2,B. Forbes makes 2-pt shot from 13 ft (assist by D. Murray)
9:57.0,M. Monk misses 3-pt shot from 25 ft,,73-86,,
9:54.0,,,73-86,,Defensive rebound by P. Gasol
9:44.0,,,73-86,,B. Forbes misses 3-pt shot from 22 ft
9:41.0,Defensive rebound by J. Lamb,,73-86,,
9:37.0,C. Zeller makes 2-pt shot from 2 ft (assist by J. Lamb),2,75-86,,
9:19.0,,,75-86,,P. Gasol misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by T. Graham,,75-86,,
9:08.0,Shooting foul by P. Gasol (drawn by C. Zeller),,75-86,,
9:08.0,C. Zeller misses free throw 1 of 2,,75-86,,
9:08.0,Offensive rebound by Team,,75-86,,
9:08.0,,,75-86,,K. Anderson enters the game for B. Forbes
9:08.0,,,75-86,,L. Aldridge enters the game for P. Gasol
9:08.0,,,75-86,,M. Ginobili enters the game for R. Gay
9:08.0,K. Walker enters the game for M. Monk,,75-86,,
9:08.0,C. Zeller misses free throw 2 of 2,,75-86,,
9:06.0,,,75-86,,Defensive rebound by K. Anderson
8:48.0,,,75-86,,D. Murray misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by F. Kaminsky,,75-86,,
8:39.0,J. Lamb makes 3-pt shot from 22 ft (assist by K. Walker),3,78-86,,
8:21.0,,,78-86,,Turnover by D. Green (traveling)
8:21.0,D. Howard enters the game for C. Zeller,,78-86,,
8:13.0,,,78-86,,Personal foul by K. Anderson (drawn by K. Walker)
8:13.0,,,78-86,,P. Mills enters the game for D. Murray
8:04.0,J. Lamb makes 3-pt shot from 23 ft (assist by T. Graham),3,81-86,,
8:01.0,,,81-86,,San Antonio full timeout
7:43.0,,,81-86,,M. Ginobili misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by F. Kaminsky,,81-86,,
7:18.0,Shooting foul by D. Green (drawn by D. Howard),,81-86,,
7:18.0,D. Howard misses free throw 1 of 2,,81-86,,
7:18.0,Offensive rebound by Team,,81-86,,
7:18.0,D. Howard makes free throw 2 of 2,1,82-86,,
6:53.0,,,82-86,,M. Ginobili misses 2-pt shot from 4 ft
6:51.0,Defensive rebound by D. Howard,,82-86,,
6:43.0,,,82-86,,Personal foul by M. Ginobili (drawn by D. Howard)
6:36.0,Shooting foul by L. Aldridge (drawn by K. Walker),,82-86,,
6:36.0,K. Walker makes free throw 1 of 2,1,83-86,,
6:36.0,K. Walker makes free throw 2 of 2,1,84-86,,
6:19.0,,,84-88,2,M. Ginobili makes 2-pt shot at rim
5:57.0,F. Kaminsky misses 2-pt shot from 6 ft (block by K. Anderson),,84-88,,
5:51.0,,,84-88,,Defensive rebound by P. Mills
