time,Phoenix,pts.away,score,pts.home,Indiana
6:54.0,A. Peters misses 3-pt shot from 25 ft,,75-107,,
6:51.0,,,75-107,,Defensive rebound by C. Joseph
6:32.0,,,75-107,,Shooting foul by T. Ulis (drawn by B. Bogdanovic)
6:32.0,,,75-107,,Indiana full timeout
6:32.0,,,75-107,,A. Poythress enters the game for A. Jefferson
6:32.0,J. Jackson enters the game for D. Booker,,75-107,,
6:32.0,T. Daniels enters the game for T. Warren,,75-107,,
6:32.0,,,75-107,,B. Bogdanovic misses free throw 1 of 2
6:32.0,,,75-107,,Offensive rebound by Team
6:32.0,,,75-108,1,B. Bogdanovic makes free throw 2 of 2
6:23.0,Shooting foul by C. Joseph (drawn by J. Jackson),,75-108,,
6:23.0,J. Jackson misses free throw 1 of 2,,75-108,,
6:23.0,Offensive rebound by Team,,75-108,,
6:23.0,,,75-108,,B. Moore enters the game for B. Bogdanovic
6:23.0,J. Jackson makes free throw 2 of 2,1,76-108,,
6:10.0,,,76-108,,A. Poythress misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by A. Peters,,76-108,,
5:54.0,T. Ulis makes 2-pt shot from 10 ft,2,78-108,,
5:54.0,Shooting foul by B. Moore (drawn by T. Ulis),,78-108,,
5:54.0,T. Ulis misses free throw 1 of 1,,78-108,,
5:52.0,Offensive rebound by Team,,78-108,,
5:52.0,,,78-108,,Loose ball foul by B. Moore (drawn by A. Peters)
5:52.0,A. Peters makes free throw 1 of 2,1,79-108,,
5:52.0,A. Peters makes free throw 2 of 2,1,80-108,,
5:38.0,,,80-110,2,A. Poythress makes 2-pt shot from 2 ft (assist by B. Moore)
5:21.0,Shooting foul by A. Poythress (drawn by T. Daniels),,80-110,,
5:21.0,T. Daniels makes free throw 1 of 2,1,81-110,,
5:21.0,T. Daniels makes free throw 2 of 2,1,82-110,,
