time,Orlando,pts.away,score,pts.home,Brooklyn
8:11.0,,,66-70,,T. Booker enters the game for T. Mozgov
8:10.0,Turnover by N. Vucevic (bad pass; steal by D. Russell),,66-70,,
7:55.0,Turnover by S. Mack (bad pass; steal by R. Hollis-Jefferson),,66-70,,
7:51.0,,,66-70,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by N. Vucevic,,66-70,,
7:31.0,S. Mack makes 3-pt shot from 24 ft (assist by J. Isaac),3,69-70,,
7:20.0,,,69-72,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by D. Russell)
7:08.0,T. Ross misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,69-72,,
7:06.0,,,69-72,,Defensive rebound by D. Carroll
7:03.0,,,69-72,,D. Russell misses 2-pt shot from 1 ft
7:03.0,,,69-72,,Offensive rebound by Team
6:59.0,,,69-72,,Shooting foul by T. Ross (drawn by A. Crabbe)
6:59.0,,,69-73,1,A. Crabbe makes free throw 1 of 2
6:59.0,,,69-74,1,A. Crabbe makes free throw 2 of 2
6:36.0,Turnover by J. Isaac (bad pass; steal by D. Russell),,69-74,,
6:30.0,,,69-74,,A. Crabbe misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by E. Fournier,,69-74,,
6:18.0,J. Isaac makes 2-pt shot from 18 ft (assist by S. Mack),2,71-74,,
6:01.0,,,71-74,,T. Booker misses 2-pt shot from 7 ft
5:59.0,Defensive rebound by N. Vucevic,,71-74,,
5:54.0,Offensive foul by N. Vucevic (drawn by T. Booker),,71-74,,
5:54.0,Turnover by N. Vucevic (offensive foul),,71-74,,
5:54.0,,,71-74,,C. LeVert enters the game for A. Crabbe
5:42.0,Violation by N. Vucevic (kicked ball),,71-74,,
5:36.0,,,71-74,,C. LeVert misses 2-pt shot from 14 ft
5:32.0,,,71-74,,Offensive rebound by T. Booker
5:32.0,,,71-74,,T. Booker misses 2-pt shot at rim
5:31.0,Defensive rebound by N. Vucevic,,71-74,,
5:29.0,Turnover by J. Isaac (traveling),,71-74,,
5:15.0,,,71-74,,Turnover by D. Russell (bad pass; steal by S. Mack)
5:12.0,E. Fournier misses 2-pt shot at rim,,71-74,,
5:12.0,Offensive rebound by T. Ross,,71-74,,
5:12.0,T. Ross makes 2-pt shot at rim,2,73-74,,
5:12.0,Shooting foul by D. Carroll (drawn by T. Ross),,73-74,,
5:12.0,T. Ross makes free throw 1 of 1,1,74-74,,
5:01.0,,,74-74,,D. Carroll misses 3-pt shot from 23 ft
4:59.0,,,74-74,,Offensive rebound by R. Hollis-Jefferson
4:59.0,,,74-74,,Shooting foul by N. Vucevic (drawn by R. Hollis-Jefferson)
4:59.0,,,74-75,1,R. Hollis-Jefferson makes free throw 1 of 2
4:59.0,,,74-75,,S. Dinwiddie enters the game for D. Russell
4:59.0,,,74-76,1,R. Hollis-Jefferson makes free throw 2 of 2
4:44.0,S. Mack misses 2-pt shot from 12 ft,,74-76,,
4:41.0,,,74-76,,Defensive rebound by D. Carroll
4:35.0,,,74-78,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by S. Dinwiddie)
4:24.0,E. Fournier misses 3-pt shot from 26 ft,,74-78,,
4:20.0,,,74-78,,Defensive rebound by D. Carroll
4:10.0,,,74-80,2,T. Booker makes 2-pt shot from 5 ft
3:55.0,N. Vucevic misses 3-pt shot from 25 ft,,74-80,,
3:53.0,,,74-80,,Defensive rebound by T. Booker
3:33.0,,,74-80,,S. Dinwiddie misses 3-pt shot from 26 ft
3:31.0,,,74-82,2,D. Carroll makes 2-pt shot at rim
3:31.0,Orlando full timeout,,74-82,,
3:31.0,,,74-82,,Q. Acy enters the game for R. Hollis-Jefferson
3:31.0,J. Simmons enters the game for S. Mack,,74-82,,
3:31.0,D. Augustin enters the game for T. Ross,,74-82,,
3:30.0,,,74-82,,Defensive rebound by D. Carroll
3:14.0,J. Isaac makes 3-pt shot from 25 ft (assist by E. Fournier),3,77-82,,
2:49.0,,,77-82,,C. LeVert misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by J. Isaac,,77-82,,
2:30.0,,,77-82,,J. Harris enters the game for D. Carroll
2:28.0,E. Fournier misses 3-pt shot from 27 ft,,77-82,,
2:25.0,,,77-82,,Defensive rebound by T. Booker
2:16.0,,,77-82,,Turnover by S. Dinwiddie (lost ball; steal by E. Fournier)
2:12.0,E. Fournier makes 2-pt shot at rim,2,79-82,,
2:00.0,,,79-85,3,J. Harris makes 3-pt shot from 24 ft (assist by T. Booker)
1:48.0,,,79-85,,Personal foul by Q. Acy (drawn by J. Simmons)
1:48.0,A. Afflalo enters the game for J. Isaac,,79-85,,
1:48.0,M. Hezonja enters the game for E. Fournier,,79-85,,
1:37.0,J. Simmons makes 3-pt shot from 22 ft (assist by A. Afflalo),3,82-85,,
1:22.0,,,82-85,,Shooting foul by J. Simmons (drawn by T. Booker)
1:22.0,,,82-85,,T. Booker misses free throw 1 of 2
1:22.0,,,82-85,,Offensive rebound by Team
1:22.0,Violation by N. Vucevic (lane),,82-85,,
1:22.0,,,82-85,,T. Booker misses free throw 2 of 2
1:22.0,Defensive rebound by Team,,82-85,,
1:22.0,,,82-85,,Personal foul by Q. Acy (drawn by J. Simmons)
1:22.0,J. Simmons makes free throw 1 of 2,1,83-85,,
1:22.0,J. Simmons makes free throw 2 of 2,1,84-85,,
1:09.0,,,84-87,2,C. LeVert makes 2-pt shot at rim (assist by J. Harris)
0:58.0,N. Vucevic makes 2-pt shot at rim (assist by D. Augustin),2,86-87,,
0:47.0,,,86-87,,Turnover by C. LeVert (traveling)
0:32.0,N. Vucevic makes 2-pt shot from 7 ft (assist by D. Augustin),2,88-87,,
0:08.0,,,88-87,,J. Harris misses 3-pt shot from 24 ft
0:06.0,,,88-87,,Offensive rebound by T. Booker
0:06.0,,,88-89,2,T. Booker makes 2-pt shot at rim
0:00.0,J. Simmons makes 3-pt shot from 25 ft,3,91-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,91-89,,S. Dinwiddie misses 2-pt shot from 9 ft
