time,Cleveland,pts.away,score,pts.home,Miami
7:29.0,,,67-79,,K. Olynyk misses free throw 1 of 2
7:29.0,,,67-79,,Offensive rebound by Team
7:29.0,L. James enters the game for J. Calderon,,67-79,,
7:29.0,,,67-80,1,K. Olynyk makes free throw 2 of 2
7:22.0,,,67-80,,Personal foul by J. Winslow (drawn by L. James)
7:06.0,J. Clarkson makes 2-pt shot from 1 ft,2,69-80,,
7:06.0,,,69-80,,Miami full timeout
7:06.0,,,69-80,,J. Johnson enters the game for W. Ellington
6:41.0,,,69-82,2,D. Wade makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:18.0,J. Green misses 3-pt shot from 22 ft,,69-82,,
6:17.0,,,69-82,,Defensive rebound by J. Winslow
6:03.0,,,69-82,,D. Wade misses 2-pt shot from 19 ft
6:02.0,Defensive rebound by L. James,,69-82,,
5:54.0,J. Clarkson misses 3-pt shot from 25 ft,,69-82,,
5:53.0,,,69-82,,Defensive rebound by J. Richardson
5:44.0,,,69-84,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow)
5:44.0,Cleveland full timeout,,69-84,,
5:44.0,,,69-84,,G. Dragic enters the game for D. Wade
5:44.0,R. Hood enters the game for T. Thompson,,69-84,,
5:27.0,J. Green misses 2-pt shot from 1 ft (block by J. Johnson),,69-84,,
5:26.0,,,69-84,,Defensive rebound by G. Dragic
5:11.0,,,69-87,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
4:50.0,L. James makes 2-pt shot from 22 ft (assist by J. Clarkson),2,71-87,,
4:30.0,,,71-87,,J. Richardson misses 2-pt shot from 18 ft
4:29.0,Defensive rebound by L. James,,71-87,,
4:18.0,L. James misses 3-pt shot from 24 ft,,71-87,,
4:17.0,,,71-87,,Defensive rebound by J. Winslow
4:04.0,Personal foul by J. Clarkson (drawn by K. Olynyk),,71-87,,
4:04.0,,,71-87,,D. Wade enters the game for J. Winslow
4:04.0,G. Hill enters the game for J. Smith,,71-87,,
4:04.0,L. Nance enters the game for J. Green,,71-87,,
4:01.0,Personal foul by L. Nance (drawn by J. Richardson),,71-87,,
4:01.0,,,71-88,1,J. Richardson makes free throw 1 of 2
4:01.0,,,71-89,1,J. Richardson makes free throw 2 of 2
3:39.0,J. Clarkson makes 2-pt shot from 7 ft,2,73-89,,
3:39.0,,,73-89,,Miami full timeout
3:25.0,,,73-91,2,J. Richardson makes 2-pt shot from 17 ft (assist by G. Dragic)
3:04.0,L. James misses 2-pt shot from 7 ft (block by D. Wade),,73-91,,
3:03.0,Offensive rebound by L. Nance,,73-91,,
2:59.0,Turnover by Team (shot clock),,73-91,,
2:48.0,,,73-94,3,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Wade)
2:46.0,Cleveland full timeout,,73-94,,
2:46.0,,,73-94,,T. Johnson enters the game for D. Wade
2:46.0,L. Perrantes enters the game for R. Hood,,73-94,,
2:46.0,T. Thompson enters the game for J. Clarkson,,73-94,,
2:46.0,J. Holland enters the game for L. James,,73-94,,
2:46.0,J. Calderon enters the game for G. Hill,,73-94,,
2:46.0,A. Zizic enters the game for L. Nance,,73-94,,
2:46.0,,,73-94,,J. Winslow enters the game for G. Dragic
