time,Sacramento,pts.away,score,pts.home,Utah
11:01.0,,,54-52,,Shooting foul by B. Bogdanovic (drawn by R. Gobert)
11:01.0,,,54-53,1,R. Gobert makes free throw 1 of 2
11:01.0,,,54-53,,R. Gobert misses free throw 2 of 2
10:59.0,Defensive rebound by W. Cauley-Stein,,54-53,,
10:43.0,S. Labissiere makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,56-53,,
10:26.0,,,56-55,2,D. Mitchell makes 2-pt shot from 1 ft (assist by J. Ingles)
10:06.0,B. Bogdanovic misses 2-pt shot from 15 ft,,56-55,,
10:04.0,,,56-55,,Defensive rebound by R. Rubio
10:00.0,,,56-55,,Shooting foul by S. Labissiere (drawn by R. Rubio)
10:00.0,,,56-56,1,R. Rubio makes free throw 1 of 2
10:00.0,,,56-57,1,R. Rubio makes free throw 2 of 2
9:51.0,D. Fox misses 2-pt shot from 12 ft,,56-57,,
9:47.0,Offensive rebound by S. Labissiere,,56-57,,
9:40.0,,,56-57,,Def 3 sec tech foul by R. Gobert
9:40.0,B. Bogdanovic misses technical free throw,,56-57,,
9:40.0,Offensive rebound by Team,,56-57,,
9:32.0,B. Bogdanovic misses 2-pt shot from 17 ft,,56-57,,
9:29.0,,,56-57,,Defensive rebound by R. Rubio
9:22.0,,,56-57,,R. Rubio misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by D. Fox,,56-57,,
9:14.0,D. Fox misses 2-pt shot from 22 ft,,56-57,,
9:11.0,,,56-57,,Defensive rebound by D. Favors
8:56.0,,,56-59,2,D. Mitchell makes 2-pt shot from 2 ft
8:44.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by W. Cauley-Stein),3,59-59,,
8:22.0,,,59-61,2,D. Favors makes 2-pt shot from 1 ft (assist by D. Mitchell)
8:01.0,B. Bogdanovic misses 3-pt shot from 25 ft,,59-61,,
7:59.0,,,59-61,,Defensive rebound by R. Gobert
7:51.0,,,59-63,2,J. Ingles makes 2-pt shot from 8 ft
7:49.0,Sacramento full timeout,,59-63,,
7:32.0,Shooting foul by D. Favors (drawn by S. Labissiere),,59-63,,
7:32.0,S. Labissiere makes free throw 1 of 2,1,60-63,,
7:32.0,S. Labissiere makes free throw 2 of 2,1,61-63,,
7:17.0,Violation by W. Cauley-Stein (kicked ball),,61-63,,
7:08.0,,,61-63,,J. Ingles misses 2-pt shot from 3 ft
7:07.0,Defensive rebound by Team,,61-63,,
6:55.0,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by D. Fox),2,63-63,,
6:41.0,,,63-63,,Turnover by R. Rubio (traveling)
6:41.0,,,63-63,,J. Crowder enters the game for D. Favors
6:26.0,S. Labissiere misses 2-pt shot from 11 ft,,63-63,,
6:22.0,,,63-63,,Defensive rebound by D. Mitchell
6:17.0,,,63-63,,R. Rubio misses 2-pt shot from 5 ft
6:15.0,Defensive rebound by W. Cauley-Stein,,63-63,,
6:12.0,D. Fox misses 2-pt shot from 7 ft (block by R. Gobert),,63-63,,
6:12.0,Offensive rebound by Team,,63-63,,
5:54.0,B. Bogdanovic misses 2-pt shot from 12 ft (block by R. Rubio),,63-63,,
5:50.0,,,63-63,,Defensive rebound by R. Rubio
5:44.0,,,63-66,3,J. Crowder makes 3-pt shot from 22 ft (assist by R. Rubio)
5:30.0,Turnover by D. Fox (bad pass; steal by R. Rubio),,63-66,,
5:29.0,Personal foul by W. Cauley-Stein (drawn by R. Rubio),,63-66,,
5:19.0,,,63-68,2,D. Mitchell makes 2-pt shot from 19 ft
5:19.0,Away from play foul by S. Labissiere (drawn by R. Gobert),,63-68,,
5:19.0,,,63-69,1,R. Gobert makes free throw 1 of 1
5:00.0,J. Jackson misses 2-pt shot from 18 ft,,63-69,,
4:55.0,,,63-69,,Defensive rebound by R. Rubio
4:46.0,,,63-72,3,R. Rubio makes 3-pt shot from 23 ft (assist by J. Ingles)
4:37.0,J. Sampson enters the game for S. Labissiere,,63-72,,
4:37.0,B. Hield enters the game for J. Jackson,,63-72,,
4:37.0,,,63-72,,J. Jerebko enters the game for J. Ingles
4:31.0,D. Fox misses 2-pt shot from 15 ft,,63-72,,
4:27.0,,,63-72,,Defensive rebound by R. Gobert
4:19.0,Personal foul by J. Sampson (drawn by R. Gobert),,63-72,,
