time,Orlando,pts.away,score,pts.home,Dallas
3:45.0,Offensive charge foul by E. Fournier (drawn by Y. Ferrell),,64-68,,
3:45.0,Turnover by E. Fournier (offensive foul),,64-68,,
3:27.0,,,64-70,2,H. Barnes makes 2-pt shot from 13 ft (assist by J. Barea)
3:11.0,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Hezonja),2,66-70,,
2:48.0,,,66-72,2,S. Mejri makes 2-pt shot from 2 ft (assist by J. Barea)
2:44.0,E. Payton misses 2-pt shot from 2 ft (block by S. Mejri),,66-72,,
2:42.0,Offensive rebound by A. Gordon,,66-72,,
2:39.0,A. Gordon makes 2-pt shot from 1 ft,2,68-72,,
2:24.0,,,68-72,,H. Barnes misses 3-pt shot from 25 ft
2:24.0,,,68-72,,Offensive rebound by Y. Ferrell
2:18.0,,,68-74,2,Y. Ferrell makes 2-pt shot from 4 ft
2:18.0,,,68-74,,Shooting foul by E. Fournier (drawn by Y. Ferrell)
2:18.0,W. Iwundu enters the game for E. Payton,,68-74,,
2:18.0,D. Augustin enters the game for E. Fournier,,68-74,,
2:18.0,M. Speights enters the game for B. Biyombo,,68-74,,
2:18.0,,,68-75,1,Y. Ferrell makes free throw 1 of 1
2:06.0,Shooting foul by S. Mejri (drawn by M. Speights),,68-75,,
2:06.0,M. Speights misses free throw 1 of 2,,68-75,,
2:06.0,Offensive rebound by Team,,68-75,,
2:06.0,M. Speights makes free throw 2 of 2,1,69-75,,
1:50.0,,,69-77,2,S. Mejri makes 2-pt shot from 3 ft (assist by J. Barea)
1:50.0,,,69-77,,Shooting foul by M. Speights (drawn by S. Mejri)
1:50.0,,,69-78,1,S. Mejri makes free throw 1 of 1
1:25.0,W. Iwundu misses 2-pt shot from 13 ft,,69-78,,
1:20.0,Offensive rebound by A. Gordon,,69-78,,
1:19.0,A. Gordon makes 2-pt shot from 1 ft,2,71-78,,
1:19.0,Shooting foul by S. Mejri (drawn by A. Gordon),,71-78,,
1:19.0,A. Gordon makes free throw 1 of 1,1,72-78,,
1:05.0,,,72-80,2,Y. Ferrell makes 2-pt shot from 19 ft
0:46.0,M. Speights makes 2-pt shot from 12 ft (assist by D. Augustin),2,74-80,,
0:36.0,,,74-82,2,S. Mejri makes 2-pt shot from 2 ft (assist by J. Barea)
0:18.0,Shooting foul by W. Matthews (drawn by A. Gordon),,74-82,,
0:18.0,A. Gordon makes free throw 1 of 2,1,75-82,,
0:18.0,A. Gordon misses free throw 2 of 2,,75-82,,
0:16.0,,,75-82,,Defensive rebound by S. Mejri
0:01.0,,,75-82,,Y. Ferrell misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by M. Speights,,75-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
