time,New York,pts.away,score,pts.home,Miami
1:45.0,T. Burke makes 2-pt shot from 20 ft,2,98-117,,
1:27.0,,,98-117,,U. Haslem misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by T. Williams,,98-117,,
1:14.0,D. Dotson misses 3-pt shot from 24 ft,,98-117,,
1:11.0,Offensive rebound by T. Burke,,98-117,,
0:58.0,I. Hicks misses 2-pt shot from 6 ft,,98-117,,
0:56.0,Offensive rebound by T. Williams,,98-117,,
0:54.0,T. Williams misses 2-pt shot at rim,,98-117,,
0:53.0,Offensive rebound by Team,,98-117,,
0:51.0,Turnover by T. Burke (lost ball; steal by D. Walton),,98-117,,
0:49.0,,,98-117,,Shooting foul by T. Burke (drawn by D. Walton)
0:49.0,,,98-118,1,D. Walton makes free throw 1 of 2
0:49.0,,,98-119,1,D. Walton makes free throw 2 of 2
0:29.0,D. Dotson misses 3-pt shot from 24 ft,,98-119,,
0:26.0,,,98-119,,Defensive rebound by D. Walton
0:03.0,,,98-119,,Turnover by Team (shot clock)
0:01.0,T. Burke misses 3-pt shot from 55 ft,,98-119,,
0:00.0,Offensive rebound by Team,,98-119,,
