time,Atlanta,pts.away,score,pts.home,New Orleans
10:26.0,J. Collins makes 2-pt shot from 2 ft (assist by K. Bazemore),2,82-82,,
9:59.0,,,82-82,,D. Cousins misses 2-pt shot from 20 ft
9:56.0,Defensive rebound by M. Belinelli,,82-82,,
9:53.0,K. Bazemore misses 3-pt shot from 22 ft,,82-82,,
9:47.0,Offensive rebound by M. Delaney,,82-82,,
9:40.0,,,82-82,,Personal foul by D. Miller (drawn by M. Belinelli)
9:40.0,T. Waller-Prince enters the game for M. Belinelli,,82-82,,
9:33.0,Shooting foul by D. Miller (drawn by K. Bazemore),,82-82,,
9:33.0,K. Bazemore makes free throw 1 of 2,1,83-82,,
9:33.0,K. Bazemore makes free throw 2 of 2,1,84-82,,
9:19.0,,,84-82,,Turnover by D. Cousins (lost ball; steal by M. Delaney)
9:15.0,J. Collins makes 2-pt shot at rim (assist by K. Bazemore),2,86-82,,
9:05.0,,,86-82,,Shooting foul by T. Waller-Prince (drawn by D. Cousins)
9:05.0,,,86-82,,D. Cousins misses free throw 1 of 2
9:05.0,,,86-82,,Offensive rebound by Team
9:05.0,,,86-83,1,D. Cousins makes free throw 2 of 2
8:47.0,K. Bazemore makes 2-pt shot from 21 ft (assist by I. Taylor),2,88-83,,
8:23.0,,,88-83,,D. Cousins misses 3-pt shot from 26 ft
8:20.0,,,88-83,,Offensive rebound by D. Miller
8:15.0,,,88-83,,J. Holiday misses 2-pt shot from 1 ft
8:12.0,,,88-83,,Offensive rebound by J. Nelson
8:10.0,,,88-83,,I. Clark misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by K. Bazemore,,88-83,,
8:00.0,T. Waller-Prince misses 2-pt shot from 4 ft,,88-83,,
8:00.0,Offensive rebound by J. Collins,,88-83,,
8:00.0,,,88-83,,A. Davis enters the game for D. Cousins
8:00.0,,,88-83,,E. Moore enters the game for J. Nelson
8:00.0,,,88-83,,Violation by D. Miller (kicked ball)
7:55.0,,,88-83,,Personal foul by I. Clark (drawn by M. Delaney)
7:48.0,M. Delaney misses 3-pt shot from 25 ft,,88-83,,
7:44.0,,,88-83,,Defensive rebound by A. Davis
7:36.0,,,88-85,2,D. Miller makes 2-pt shot from 17 ft (assist by A. Davis)
7:18.0,J. Collins makes 2-pt shot from 2 ft (assist by K. Bazemore),2,90-85,,
7:05.0,,,90-87,2,J. Holiday makes 2-pt shot from 3 ft
6:45.0,J. Collins makes 2-pt shot at rim (assist by K. Bazemore),2,92-87,,
6:28.0,,,92-87,,E. Moore misses 2-pt shot from 4 ft
6:20.0,,,92-87,,Offensive rebound by E. Moore
6:20.0,,,92-89,2,E. Moore makes 2-pt shot at rim
6:17.0,Atlanta full timeout,,92-89,,
6:17.0,M. Belinelli enters the game for M. Delaney,,92-89,,
6:17.0,L. Babbitt enters the game for I. Taylor,,92-89,,
6:17.0,D. Schroder enters the game for K. Bazemore,,92-89,,
6:02.0,D. Schroder misses 2-pt shot from 1 ft,,92-89,,
5:54.0,,,92-89,,Defensive rebound by J. Holiday
5:45.0,,,92-92,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday)
5:27.0,L. Babbitt misses 2-pt shot from 12 ft,,92-92,,
5:23.0,,,92-92,,Defensive rebound by A. Davis
5:10.0,,,92-92,,A. Davis misses 3-pt shot from 25 ft
