time,Washington,pts.away,score,pts.home,Boston
10:18.0,,,83-87,2,G. Monroe makes 2-pt shot at rim
10:04.0,K. Oubre misses 2-pt shot from 2 ft,,83-87,,
10:03.0,Offensive rebound by I. Mahinmi,,83-87,,
10:03.0,I. Mahinmi makes 2-pt shot at rim,2,85-87,,
9:45.0,,,85-87,,G. Monroe misses 2-pt shot from 20 ft
9:42.0,Defensive rebound by R. Sessions,,85-87,,
9:27.0,R. Sessions misses 3-pt shot from 24 ft,,85-87,,
9:23.0,,,85-87,,Defensive rebound by G. Monroe
9:08.0,,,85-87,,J. Tatum misses 2-pt shot from 19 ft
9:06.0,Defensive rebound by I. Mahinmi,,85-87,,
8:57.0,R. Sessions misses 2-pt shot from 5 ft (block by T. Rozier),,85-87,,
8:57.0,,,85-87,,Defensive rebound by Team
8:57.0,,,85-87,,A. Nader enters the game for T. Rozier
8:35.0,,,85-87,,J. Tatum misses 2-pt shot from 3 ft (block by I. Mahinmi)
8:35.0,,,85-87,,Offensive rebound by Team
8:35.0,,,85-87,,Boston full timeout
8:35.0,,,85-87,,M. Morris enters the game for S. Ojeleye
8:30.0,,,85-90,3,A. Nader makes 3-pt shot from 26 ft (assist by J. Tatum)
8:15.0,J. Meeks misses 3-pt shot from 25 ft,,85-90,,
8:11.0,Offensive rebound by I. Mahinmi,,85-90,,
8:10.0,I. Mahinmi misses 2-pt shot from 2 ft (block by G. Monroe),,85-90,,
8:10.0,,,85-90,,Defensive rebound by G. Monroe
7:56.0,,,85-90,,J. Tatum misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by J. Meeks,,85-90,,
7:49.0,Shooting foul by A. Nader (drawn by J. Meeks),,85-90,,
7:49.0,J. Meeks misses free throw 1 of 2,,85-90,,
7:49.0,Offensive rebound by Team,,85-90,,
7:49.0,,,85-90,,T. Rozier enters the game for J. Tatum
7:49.0,B. Beal enters the game for R. Sessions,,85-90,,
7:49.0,J. Meeks makes free throw 2 of 2,1,86-90,,
7:34.0,,,86-92,2,M. Morris makes 2-pt shot from 16 ft
7:16.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal),2,88-92,,
6:52.0,,,88-92,,A. Nader misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by B. Beal,,88-92,,
6:44.0,J. Meeks makes 2-pt shot from 10 ft (assist by B. Beal),2,90-92,,
6:25.0,Personal foul by B. Beal (drawn by T. Rozier),,90-92,,
6:25.0,,,90-92,,J. Tatum enters the game for S. Larkin
6:25.0,O. Porter enters the game for J. Meeks,,90-92,,
6:17.0,,,90-94,2,J. Tatum makes 2-pt shot from 14 ft (assist by T. Rozier)
6:01.0,Shooting foul by G. Monroe (drawn by I. Mahinmi),,90-94,,
6:01.0,I. Mahinmi makes free throw 1 of 2,1,91-94,,
6:01.0,M. Morris enters the game for M. Scott,,91-94,,
6:01.0,I. Mahinmi makes free throw 2 of 2,1,92-94,,
5:50.0,,,92-94,,A. Nader misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by O. Porter,,92-94,,
5:27.0,K. Oubre misses 3-pt shot from 28 ft,,92-94,,
5:25.0,,,92-94,,Defensive rebound by Team
5:15.0,,,92-96,2,T. Rozier makes 2-pt shot from 16 ft
4:53.0,,,92-96,,Personal foul by A. Nader (drawn by B. Beal)
4:53.0,,,92-96,,A. Baynes enters the game for G. Monroe
4:53.0,T. Satoransky enters the game for K. Oubre,,92-96,,
4:44.0,M. Morris misses 3-pt shot from 25 ft,,92-96,,
4:39.0,,,92-96,,Defensive rebound by A. Baynes
4:32.0,,,92-96,,M. Morris misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by O. Porter,,92-96,,
4:17.0,T. Satoransky misses 2-pt shot from 8 ft,,92-96,,
4:17.0,,,92-96,,Defensive rebound by Team
4:00.0,Personal foul by I. Mahinmi (drawn by A. Baynes),,92-96,,
3:54.0,,,92-96,,Shooting foul by T. Satoransky (drawn by M. Morris)
3:54.0,,,92-97,1,M. Morris makes free throw 1 of 2
3:54.0,,,92-97,,S. Larkin enters the game for A. Nader
