time,Denver,pts.away,score,pts.home,Cleveland
5:04.0,,,115-110,,R. Hood misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by W. Barton,,115-110,,
4:56.0,W. Barton misses 2-pt shot from 23 ft,,115-110,,
4:53.0,,,115-110,,Defensive rebound by L. James
4:49.0,Violation by P. Millsap (kicked ball),,115-110,,
4:49.0,,,115-110,,Cleveland full timeout
4:33.0,,,115-110,,G. Hill misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by P. Millsap,,115-110,,
4:16.0,N. Jokic misses 2-pt shot from 8 ft,,115-110,,
4:15.0,Offensive rebound by N. Jokic,,115-110,,
4:15.0,,,115-110,,T. Thompson enters the game for L. Nance
4:05.0,Jump ball: L. James vs. N. Jokic (T. Thompson gains possession),,,,Jump ball: L. James vs. N. Jokic (T. Thompson gains possession)
4:05.0,Turnover by N. Jokic (turnover; steal by L. James),,115-110,,
3:50.0,,,115-110,,L. James misses 2-pt shot from 12 ft
3:47.0,Defensive rebound by N. Jokic,,115-110,,
3:35.0,G. Harris misses 3-pt shot from 23 ft,,115-110,,
3:31.0,,,115-110,,Defensive rebound by L. James
3:17.0,,,115-110,,Shooting foul by P. Millsap (drawn by J. Smith)
3:17.0,,,115-111,1,J. Smith makes free throw 1 of 2
3:17.0,Denver full timeout,,115-111,,
3:17.0,,,115-112,1,J. Smith makes free throw 2 of 2
2:58.0,,,115-112,,Personal foul by G. Hill (drawn by W. Chandler)
2:45.0,W. Barton misses 3-pt shot from 26 ft,,115-112,,
2:41.0,,,115-112,,Defensive rebound by L. James
2:40.0,,,115-112,,Shooting foul by W. Barton (drawn by L. James)
2:40.0,,,115-113,1,L. James makes free throw 1 of 2
2:40.0,,,115-114,1,L. James makes free throw 2 of 2
2:26.0,P. Millsap makes 3-pt shot from 25 ft (assist by G. Harris),3,118-114,,
2:10.0,,,118-114,,J. Smith misses 3-pt shot from 25 ft
2:07.0,,,118-114,,Offensive rebound by G. Hill
2:03.0,,,118-114,,J. Smith misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by W. Barton,,118-114,,
1:45.0,G. Harris makes 3-pt shot from 30 ft,3,121-114,,
1:36.0,,,121-114,,Turnover by G. Hill (out of bounds lost ball)
1:16.0,W. Chandler makes 2-pt shot at rim (assist by W. Barton),2,123-114,,
1:16.0,,,123-114,,Cleveland full timeout
1:16.0,M. Plumlee enters the game for N. Jokic,,123-114,,
1:13.0,,,123-114,,J. Smith misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by M. Plumlee,,123-114,,
0:52.0,G. Harris makes 3-pt shot from 23 ft (assist by P. Millsap),3,126-114,,
0:44.0,,,126-116,2,L. James makes 2-pt shot from 1 ft
0:20.0,Turnover by W. Barton (bad pass; steal by J. Smith),,126-116,,
0:20.0,Personal foul by W. Barton (drawn by J. Smith),,126-116,,
0:20.0,,,126-116,,J. Smith misses free throw 1 of 2
0:20.0,,,126-116,,Offensive rebound by Team
0:20.0,,,126-116,,C. Osman enters the game for L. James
0:20.0,,,126-116,,L. Perrantes enters the game for R. Hood
0:20.0,,,126-116,,J. Holland enters the game for G. Hill
0:20.0,,,126-117,1,J. Smith makes free throw 2 of 2
