time,Houston,pts.away,score,pts.home,Detroit
5:33.0,Defensive rebound by R. Anderson,,65-72,,
5:21.0,G. Green misses 2-pt shot from 10 ft,,65-72,,
5:18.0,,,65-72,,Defensive rebound by I. Smith
5:14.0,,,65-72,,A. Bradley misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by G. Green,,65-72,,
5:02.0,T. Ariza misses 3-pt shot from 23 ft,,65-72,,
4:58.0,,,65-72,,Defensive rebound by T. Harris
4:48.0,,,65-75,3,A. Bradley makes 3-pt shot from 25 ft (assist by E. Moreland)
4:46.0,Houston full timeout,,65-75,,
4:46.0,P. Tucker enters the game for C. Capela,,65-75,,
4:46.0,T. Black enters the game for R. Anderson,,65-75,,
4:34.0,Turnover by T. Black (bad pass),,65-75,,
4:25.0,,,65-75,,A. Bradley misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by C. Paul,,65-75,,
4:07.0,T. Ariza makes 2-pt shot at rim (assist by P. Tucker),2,67-75,,
3:52.0,Personal foul by T. Ariza (drawn by A. Bradley),,67-75,,
3:52.0,,,67-75,,B. Marjanovic enters the game for I. Smith
3:52.0,,,67-75,,D. Buycks enters the game for E. Moreland
3:52.0,E. Gordon enters the game for T. Ariza,,67-75,,
3:52.0,B. Weber enters the game for C. Paul,,67-75,,
3:42.0,,,67-78,3,D. Buycks makes 3-pt shot from 26 ft (assist by A. Bradley)
3:19.0,G. Green makes 2-pt shot from 12 ft (assist by E. Gordon),2,69-78,,
3:19.0,Shooting foul by D. Buycks (drawn by G. Green),,69-78,,
3:19.0,,,69-78,,L. Kennard enters the game for A. Bradley
3:19.0,G. Green makes free throw 1 of 1,1,70-78,,
3:02.0,,,70-78,,Shooting foul by P. Tucker (drawn by T. Harris)
3:02.0,,,70-79,1,T. Harris makes free throw 1 of 2
3:02.0,,,70-79,,E. Moreland enters the game for B. Marjanovic
3:02.0,C. Paul enters the game for B. Weber,,70-79,,
3:02.0,,,70-80,1,T. Harris makes free throw 2 of 2
2:51.0,T. Black makes 2-pt shot from 3 ft (assist by C. Paul),2,72-80,,
2:36.0,,,72-83,3,T. Harris makes 3-pt shot from 25 ft
2:22.0,E. Gordon misses 3-pt shot from 28 ft,,72-83,,
2:20.0,,,72-83,,Defensive rebound by L. Kennard
2:15.0,,,72-83,,T. Harris misses 3-pt shot from 28 ft
2:12.0,Defensive rebound by T. Black,,72-83,,
2:04.0,G. Green misses 3-pt shot from 27 ft,,72-83,,
2:00.0,,,72-83,,Defensive rebound by E. Moreland
1:39.0,,,72-83,,D. Buycks misses 2-pt shot from 7 ft (block by T. Black)
1:34.0,Defensive rebound by P. Tucker,,72-83,,
1:27.0,Turnover by P. Tucker (step out of bounds),,72-83,,
1:27.0,,,72-83,,B. Marjanovic enters the game for E. Moreland
1:27.0,B. Weber enters the game for C. Paul,,72-83,,
1:16.0,,,72-86,3,R. Bullock makes 3-pt shot from 23 ft (assist by D. Buycks)
0:54.0,P. Tucker misses 2-pt shot from 4 ft,,72-86,,
0:51.0,,,72-86,,Defensive rebound by T. Harris
0:37.0,,,72-86,,B. Marjanovic misses 2-pt shot from 1 ft (block by B. Weber)
0:35.0,Defensive rebound by E. Gordon,,72-86,,
0:32.0,T. Black makes 2-pt shot from 1 ft (assist by E. Gordon),2,74-86,,
0:15.0,,,74-88,2,B. Marjanovic makes 2-pt shot from 6 ft (assist by R. Bullock)
0:01.0,E. Gordon makes 3-pt shot from 28 ft (assist by B. Weber),3,77-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,E. Gordon misses 2-pt shot from 3 ft (block by B. Marjanovic),,77-88,,
11:44.0,,,77-88,,Defensive rebound by A. Tolliver
11:42.0,,,77-88,,Turnover by D. Buycks (bad pass)
11:31.0,G. Green makes 3-pt shot from 28 ft (assist by P. Tucker),3,80-88,,
11:10.0,,,80-88,,Offensive foul by B. Marjanovic (drawn by T. Black)
11:10.0,,,80-88,,Turnover by B. Marjanovic (offensive foul)
11:04.0,E. Gordon makes 2-pt shot from 17 ft (assist by B. Weber),2,82-88,,
11:01.0,,,82-88,,Detroit full timeout
10:41.0,,,82-88,,Shooting foul by T. Black (drawn by B. Marjanovic)
10:41.0,,,82-88,,B. Marjanovic misses free throw 1 of 2
10:41.0,,,82-88,,Offensive rebound by Team
10:41.0,,,82-89,1,B. Marjanovic makes free throw 2 of 2
10:27.0,P. Tucker misses 3-pt shot from 22 ft,,82-89,,
10:24.0,,,82-89,,Defensive rebound by D. Buycks
10:07.0,,,82-89,,B. Marjanovic misses 2-pt shot from 5 ft
10:05.0,Defensive rebound by T. Black,,82-89,,
9:49.0,B. Weber misses 2-pt shot from 4 ft (block by B. Marjanovic),,82-89,,
9:46.0,Offensive rebound by T. Black,,82-89,,
9:43.0,E. Gordon misses 2-pt shot from 5 ft,,82-89,,
9:43.0,Offensive rebound by T. Black,,82-89,,
9:43.0,Turnover by Team (shot clock),,82-89,,
9:29.0,,,82-89,,A. Tolliver misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by B. Weber,,82-89,,
9:21.0,G. Green misses 3-pt shot from 27 ft,,82-89,,
9:18.0,,,82-89,,Defensive rebound by B. Marjanovic
9:08.0,,,82-89,,B. Marjanovic misses 2-pt shot from 2 ft
9:05.0,,,82-89,,Offensive rebound by B. Marjanovic
9:05.0,,,82-91,2,B. Marjanovic makes 2-pt shot from 1 ft
8:51.0,Turnover by T. Black (traveling),,82-91,,
8:51.0,C. Capela enters the game for T. Black,,82-91,,
8:41.0,,,82-91,,Shooting foul by B. Weber (drawn by D. Buycks)
8:41.0,,,82-92,1,D. Buycks makes free throw 1 of 2
8:41.0,,,82-93,1,D. Buycks makes free throw 2 of 2
8:29.0,P. Tucker misses 3-pt shot from 23 ft,,82-93,,
8:26.0,,,82-93,,Defensive rebound by L. Kennard
8:22.0,Personal foul by B. Weber (drawn by D. Buycks),,82-93,,
8:22.0,,,82-93,,E. Moreland enters the game for B. Marjanovic
8:22.0,R. Anderson enters the game for B. Weber,,82-93,,
8:22.0,T. Ariza enters the game for P. Tucker,,82-93,,
8:22.0,C. Paul enters the game for E. Gordon,,82-93,,
8:06.0,,,82-96,3,D. Buycks makes 3-pt shot from 24 ft
7:38.0,C. Capela misses 2-pt shot from 1 ft,,82-96,,
7:38.0,Offensive rebound by Team,,82-96,,
7:38.0,Turnover by Team (shot clock),,82-96,,
7:27.0,,,82-96,,A. Bradley misses 3-pt shot from 28 ft
7:23.0,Defensive rebound by G. Green,,82-96,,
7:13.0,,,82-96,,Personal foul by A. Tolliver (drawn by C. Paul)
7:00.0,C. Capela makes 2-pt shot from 2 ft (assist by R. Anderson),2,84-96,,
6:45.0,,,84-96,,A. Bradley misses 3-pt shot from 25 ft
6:44.0,,,84-96,,Offensive rebound by Team
6:44.0,Personal foul by T. Ariza (drawn by A. Tolliver),,84-96,,
6:35.0,,,84-96,,D. Buycks misses 2-pt shot from 4 ft (block by C. Capela)
6:35.0,,,84-96,,Offensive rebound by Team
6:25.0,,,84-96,,Turnover by Team (turnover)
6:14.0,G. Green misses 3-pt shot from 22 ft,,84-96,,
6:14.0,,,84-96,,Defensive rebound by Team
5:55.0,,,84-98,2,E. Moreland makes 2-pt shot from 1 ft (assist by A. Tolliver)
5:41.0,Turnover by C. Capela (bad pass),,84-98,,
5:41.0,,,84-98,,T. Harris enters the game for L. Kennard
5:41.0,,,84-98,,R. Bullock enters the game for A. Tolliver
5:41.0,E. Gordon enters the game for G. Green,,84-98,,
5:26.0,,,84-98,,E. Moreland misses 2-pt shot from 7 ft
5:22.0,Defensive rebound by T. Ariza,,84-98,,
5:18.0,C. Capela misses 2-pt shot from 1 ft,,84-98,,
5:17.0,Offensive rebound by C. Capela,,84-98,,
5:17.0,C. Capela misses 2-pt shot from 1 ft,,84-98,,
5:15.0,,,84-98,,Defensive rebound by E. Moreland
5:05.0,,,84-98,,Turnover by D. Buycks (discontinued dribble)
5:05.0,,,84-98,,I. Smith enters the game for D. Buycks
4:49.0,R. Anderson misses 2-pt shot from 16 ft,,84-98,,
4:46.0,,,84-98,,Defensive rebound by T. Harris
4:22.0,,,84-98,,T. Harris misses 2-pt shot from 14 ft
4:20.0,,,84-98,,Offensive rebound by E. Moreland
4:17.0,,,84-100,2,I. Smith makes 2-pt shot from 1 ft (assist by E. Moreland)
4:14.0,Houston full timeout,,84-100,,
4:14.0,P. Tucker enters the game for C. Capela,,84-100,,
4:14.0,T. Black enters the game for R. Anderson,,84-100,,
4:00.0,E. Gordon makes 2-pt shot from 3 ft,2,86-100,,
3:57.0,Personal take foul by T. Black (drawn by E. Moreland),,86-100,,
3:57.0,,,86-101,1,E. Moreland makes free throw 1 of 2
3:57.0,,,86-102,1,E. Moreland makes free throw 2 of 2
3:46.0,C. Paul makes 3-pt shot from 28 ft,3,89-102,,
3:16.0,,,89-102,,E. Moreland misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by E. Gordon,,89-102,,
3:08.0,C. Paul makes 2-pt shot from 6 ft,2,91-102,,
2:44.0,,,91-102,,I. Smith misses 2-pt shot from 18 ft
2:44.0,Defensive rebound by C. Paul,,91-102,,
2:26.0,P. Tucker misses 3-pt shot from 23 ft,,91-102,,
2:26.0,,,91-102,,Defensive rebound by E. Moreland
2:01.0,,,91-102,,Turnover by Team (shot clock)
1:51.0,T. Black makes 2-pt shot at rim (assist by C. Paul),2,93-102,,
1:31.0,,,93-102,,A. Bradley misses 2-pt shot from 17 ft
1:28.0,Defensive rebound by C. Paul,,93-102,,
1:24.0,C. Paul misses 3-pt shot from 26 ft,,93-102,,
1:21.0,,,93-102,,Defensive rebound by E. Moreland
1:04.0,,,93-102,,Shooting foul by T. Black (drawn by T. Harris)
1:04.0,,,93-102,,T. Harris misses free throw 1 of 2
1:04.0,,,93-102,,Offensive rebound by Team
1:04.0,,,93-102,,T. Harris misses free throw 2 of 2
1:01.0,Defensive rebound by T. Ariza,,93-102,,
0:53.0,T. Ariza misses 3-pt shot from 23 ft,,93-102,,
0:49.0,Offensive rebound by P. Tucker,,93-102,,
0:49.0,E. Gordon makes 3-pt shot from 27 ft (assist by P. Tucker),3,96-102,,
0:28.0,,,96-104,2,E. Moreland makes 2-pt shot from 1 ft (assist by I. Smith)
0:25.0,,,96-104,,Personal foul by A. Bradley (drawn by C. Paul)
0:21.0,T. Black makes 2-pt shot from 1 ft (assist by C. Paul),2,98-104,,
0:18.0,Personal foul by P. Tucker (drawn by I. Smith),,98-104,,
0:18.0,,,98-104,,I. Smith misses free throw 1 of 2
0:18.0,,,98-104,,Offensive rebound by Team
