time,Philadelphia,pts.away,score,pts.home,Denver
8:41.0,,,93-87,1,J. Murray makes free throw 1 of 1
8:25.0,J. Redick makes 2-pt shot from 3 ft (assist by A. Johnson),2,95-87,,
8:12.0,,,95-87,,N. Jokic misses 2-pt shot from 2 ft
8:12.0,Defensive rebound by D. Saric,,95-87,,
8:04.0,Turnover by B. Simmons (bad pass; steal by N. Jokic),,95-87,,
8:00.0,,,95-87,,J. Murray misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by Team,,95-87,,
7:59.0,R. Covington enters the game for J. Redick,,95-87,,
7:45.0,D. Saric makes 2-pt shot from 6 ft,2,97-87,,
7:34.0,,,97-87,,W. Barton misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by Team,,97-87,,
7:18.0,B. Simmons misses 2-pt shot from 6 ft,,97-87,,
7:14.0,Offensive rebound by A. Johnson,,97-87,,
7:13.0,A. Johnson misses 2-pt shot from 1 ft,,97-87,,
7:13.0,Offensive rebound by D. Saric,,97-87,,
7:01.0,A. Johnson misses 2-pt shot from 3 ft (block by W. Barton),,97-87,,
6:59.0,,,97-87,,Defensive rebound by N. Jokic
6:58.0,,,97-87,,Shooting foul by R. Covington (drawn by J. Murray)
6:58.0,,,97-88,1,J. Murray makes free throw 1 of 2
6:58.0,,,97-88,,W. Chandler enters the game for W. Barton
6:58.0,T. McConnell enters the game for J. Bayless,,97-88,,
6:58.0,,,97-88,,J. Murray misses free throw 2 of 2
6:56.0,Defensive rebound by B. Simmons,,97-88,,
6:39.0,Turnover by B. Simmons (bad pass; steal by T. Lyles),,97-88,,
6:33.0,,,97-88,,W. Chandler misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by B. Simmons,,97-88,,
6:28.0,Turnover by R. Covington (bad pass),,97-88,,
6:17.0,,,97-88,,G. Harris misses 3-pt shot from 26 ft
6:14.0,,,97-88,,Offensive rebound by T. Lyles
6:12.0,,,97-90,2,T. Lyles makes 2-pt shot from 1 ft
5:57.0,,,97-90,,Personal foul by T. Lyles (drawn by R. Covington)
5:57.0,R. Holmes enters the game for A. Johnson,,97-90,,
5:48.0,T. McConnell makes 2-pt shot from 15 ft (assist by B. Simmons),2,99-90,,
