time,Brooklyn,pts.away,score,pts.home,Minnesota
8:41.0,,,77-88,2,J. Butler makes 2-pt shot from 2 ft
8:16.0,Shooting foul by K. Towns (drawn by J. Okafor),,77-88,,
8:16.0,J. Okafor makes free throw 1 of 2,1,78-88,,
8:16.0,J. Okafor makes free throw 2 of 2,1,79-88,,
8:08.0,Personal foul by A. Crabbe (drawn by J. Butler),,79-88,,
8:00.0,,,79-90,2,K. Towns makes 2-pt shot from 19 ft (assist by T. Jones)
7:40.0,D. Carroll misses 2-pt shot from 9 ft (block by J. Butler),,79-90,,
7:37.0,Offensive rebound by D. Carroll,,79-90,,
7:35.0,Brooklyn full timeout,,79-90,,
7:35.0,J. Harris enters the game for N. Stauskas,,79-90,,
7:33.0,Turnover by Team (shot clock),,79-90,,
7:23.0,,,79-92,2,T. Jones makes 2-pt shot from 13 ft
7:12.0,A. Crabbe misses 3-pt shot from 27 ft,,79-92,,
7:09.0,,,79-92,,Defensive rebound by K. Towns
6:56.0,,,79-92,,K. Towns misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by S. Dinwiddie,,79-92,,
6:42.0,D. Carroll misses 3-pt shot from 24 ft,,79-92,,
6:39.0,,,79-92,,Defensive rebound by J. Crawford
6:31.0,Personal foul by J. Harris (drawn by J. Butler),,79-92,,
6:31.0,J. Allen enters the game for J. Okafor,,79-92,,
6:24.0,,,79-94,2,T. Jones makes 2-pt shot from 10 ft
6:06.0,J. Harris misses 2-pt shot from 3 ft (block by K. Towns),,79-94,,
6:03.0,Offensive rebound by J. Harris,,79-94,,
6:03.0,J. Harris misses 2-pt shot from 3 ft,,79-94,,
6:01.0,,,79-94,,Defensive rebound by T. Gibson
5:56.0,,,79-94,,J. Crawford misses 2-pt shot from 6 ft
5:55.0,,,79-94,,Offensive rebound by K. Towns
5:55.0,,,79-94,,Shooting foul by D. Carroll (drawn by K. Towns)
5:55.0,,,79-95,1,J. Butler makes technical free throw
5:55.0,,,79-96,1,J. Butler makes technical free throw
5:55.0,,,79-97,1,K. Towns makes free throw 1 of 2
5:55.0,I. Whitehead enters the game for S. Dinwiddie,,79-97,,
5:55.0,,,79-98,1,K. Towns makes free throw 2 of 2
5:52.0,Brooklyn full timeout,,79-98,,
5:52.0,N. Stauskas enters the game for A. Crabbe,,79-98,,
5:42.0,J. Harris misses 2-pt shot from 5 ft (block by K. Towns),,79-98,,
5:39.0,Offensive rebound by J. Harris,,79-98,,
5:39.0,J. Harris misses 2-pt shot from 3 ft (block by T. Gibson),,79-98,,
5:39.0,Offensive rebound by J. Allen,,79-98,,
5:32.0,J. Allen makes 2-pt shot from 5 ft,2,81-98,,
5:16.0,,,81-98,,Turnover by K. Towns (bad pass; steal by J. Harris)
5:13.0,,,81-98,,Personal foul by J. Butler (drawn by J. Harris)
5:13.0,,,81-98,,A. Wiggins enters the game for J. Crawford
5:13.0,J. Webb enters the game for D. Carroll,,81-98,,
5:08.0,I. Whitehead misses 2-pt shot from 10 ft (block by K. Towns),,81-98,,
5:06.0,Offensive rebound by I. Whitehead,,81-98,,
5:04.0,J. Allen makes 2-pt shot from 1 ft (assist by I. Whitehead),2,83-98,,
4:46.0,,,83-98,,A. Wiggins misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by J. Harris,,83-98,,
4:38.0,J. Webb misses 2-pt shot from 4 ft,,83-98,,
4:38.0,Offensive rebound by J. Allen,,83-98,,
