time,San Antonio,pts.away,score,pts.home,Denver
7:49.0,P. Mills enters the game for T. Parker,,100-101,,
7:41.0,P. Mills misses 3-pt shot from 26 ft,,100-101,,
7:39.0,,,100-101,,Defensive rebound by T. Lyles
7:28.0,,,100-104,3,D. Harris makes 3-pt shot from 24 ft
7:11.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by B. Forbes),2,102-104,,
6:51.0,,,102-106,2,W. Barton makes 2-pt shot from 3 ft (assist by D. Harris)
6:41.0,B. Forbes misses 3-pt shot from 24 ft,,102-106,,
6:38.0,Offensive rebound by D. Green,,102-106,,
6:27.0,Shooting foul by T. Lyles (drawn by B. Forbes),,102-106,,
6:27.0,B. Forbes misses free throw 1 of 2,,102-106,,
6:27.0,Offensive rebound by Team,,102-106,,
6:27.0,,,102-106,,N. Jokic enters the game for T. Lyles
6:27.0,P. Gasol enters the game for J. Lauvergne,,102-106,,
6:27.0,B. Forbes makes free throw 2 of 2,1,103-106,,
6:11.0,,,103-108,2,G. Harris makes 2-pt shot from 12 ft (assist by N. Jokic)
6:02.0,,,103-108,,Personal foul by D. Harris (drawn by D. Murray)
6:02.0,,,103-108,,W. Chandler enters the game for D. Harris
6:02.0,K. Anderson enters the game for B. Forbes,,103-108,,
6:02.0,D. Bertans enters the game for D. Green,,103-108,,
5:49.0,Turnover by P. Mills (bad pass; steal by W. Chandler),,103-108,,
5:43.0,,,103-108,,G. Harris misses 2-pt shot from 2 ft (block by D. Murray)
