time,Phoenix,pts.away,score,pts.home,Minnesota
2:34.0,Defensive rebound by A. Len,,64-75,,
2:18.0,T. Daniels makes 2-pt shot from 9 ft,2,66-75,,
1:58.0,,,66-75,,J. Crawford misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by A. Len,,66-75,,
1:47.0,A. Len makes 2-pt shot from 1 ft (assist by I. Canaan),2,68-75,,
1:24.0,,,68-77,2,A. Wiggins makes 2-pt shot from 19 ft (assist by J. Crawford)
1:00.0,T. Daniels makes 3-pt shot from 26 ft (assist by A. Len),3,71-77,,
0:46.0,,,71-79,2,J. Teague makes 2-pt shot from 8 ft
0:37.0,D. Bender makes 3-pt shot from 22 ft (assist by I. Canaan),3,74-79,,
0:19.0,,,74-81,2,J. Crawford makes 2-pt shot from 20 ft
0:03.0,Shooting foul by J. Teague (drawn by I. Canaan),,74-81,,
0:03.0,I. Canaan makes free throw 1 of 3,1,75-81,,
0:03.0,I. Canaan makes free throw 2 of 3,1,76-81,,
0:03.0,,,76-81,,K. Towns enters the game for J. Teague
0:03.0,,,76-81,,T. Jones enters the game for G. Dieng
0:03.0,I. Canaan makes free throw 3 of 3,1,77-81,,
0:00.0,,,77-81,,A. Wiggins misses 3-pt shot from 27 ft
0:00.0,,,77-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,77-81,,K. Towns misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by I. Canaan,,77-81,,
11:35.0,Shooting foul by M. Georges-Hunt (drawn by I. Canaan),,77-81,,
11:35.0,I. Canaan makes free throw 1 of 2,1,78-81,,
11:35.0,I. Canaan makes free throw 2 of 2,1,79-81,,
11:19.0,,,79-84,3,T. Jones makes 3-pt shot from 23 ft (assist by J. Crawford)
11:05.0,A. Len makes 2-pt shot at rim (assist by I. Canaan),2,81-84,,
10:46.0,,,81-87,3,T. Jones makes 3-pt shot from 25 ft (assist by K. Towns)
