time,Denver,pts.away,score,pts.home,Chicago
6:14.0,W. Chandler makes 3-pt shot from 24 ft (assist by W. Barton),3,92-60,,
5:54.0,,,92-63,3,D. Valentine makes 3-pt shot from 26 ft (assist by B. Portis)
5:31.0,,,92-63,,Personal block foul by C. Felicio (drawn by W. Barton)
5:19.0,N. Jokic makes 3-pt shot from 25 ft,3,95-63,,
5:03.0,,,95-63,,J. Holiday misses 2-pt shot from 14 ft
5:03.0,Defensive rebound by N. Jokic,,95-63,,
4:54.0,Turnover by J. Murray (bad pass),,95-63,,
4:54.0,,,95-63,,D. Nwaba enters the game for J. Holiday
4:54.0,M. Plumlee enters the game for N. Jokic,,95-63,,
4:43.0,,,95-63,,D. Valentine misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by Team,,95-63,,
4:43.0,D. Harris enters the game for J. Murray,,95-63,,
4:21.0,P. Millsap makes 2-pt shot from 3 ft,2,97-63,,
4:17.0,,,97-65,2,D. Valentine makes 2-pt shot at rim (assist by C. Payne)
3:51.0,W. Barton misses 2-pt shot from 21 ft,,97-65,,
3:43.0,Offensive rebound by D. Harris,,97-65,,
3:34.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Chandler),2,99-65,,
3:23.0,,,99-65,,B. Portis misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by W. Chandler,,99-65,,
3:08.0,W. Chandler makes 3-pt shot from 23 ft (assist by W. Barton),3,102-65,,
3:08.0,,,102-65,,Chicago full timeout
3:08.0,,,102-65,,J. Grant enters the game for C. Felicio
3:08.0,,,102-65,,A. Blakeney enters the game for C. Payne
3:08.0,,,102-65,,N. Vonleh enters the game for D. Valentine
3:08.0,J. Murray enters the game for W. Barton,,102-65,,
2:48.0,,,102-65,,A. Blakeney misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by W. Chandler,,102-65,,
2:31.0,J. Murray makes 3-pt shot from 24 ft (assist by W. Chandler),3,105-65,,
2:16.0,,,105-65,,D. Nwaba misses 2-pt shot from 5 ft
2:13.0,Defensive rebound by P. Millsap,,105-65,,
1:48.0,J. Murray misses 2-pt shot from 14 ft,,105-65,,
1:46.0,Offensive rebound by J. Murray,,105-65,,
1:45.0,,,105-65,,Personal foul by B. Portis (drawn by M. Plumlee)
1:45.0,T. Lyles enters the game for P. Millsap,,105-65,,
1:42.0,M. Plumlee makes 2-pt shot from 1 ft,2,107-65,,
1:42.0,Shooting foul by B. Portis (drawn by M. Plumlee),,107-65,,
