time,Philadelphia,pts.away,score,pts.home,Dallas
4:19.0,,,105-96,,Y. Ferrell enters the game for D. Smith
4:03.0,,,105-96,,Shooting foul by J. Embiid (drawn by Y. Ferrell)
4:03.0,,,105-97,1,Y. Ferrell makes free throw 1 of 3
4:03.0,,,105-98,1,Y. Ferrell makes free throw 2 of 3
4:03.0,,,105-99,1,Y. Ferrell makes free throw 3 of 3
3:44.0,Turnover by J. Embiid (lost ball; steal by W. Matthews),,105-99,,
3:31.0,,,105-99,,W. Matthews misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by B. Simmons,,105-99,,
3:19.0,J. Embiid misses 3-pt shot from 24 ft,,105-99,,
3:16.0,B. Simmons makes 2-pt shot at rim,2,107-99,,
3:09.0,Offensive rebound by B. Simmons,,107-99,,
2:47.0,,,107-102,3,H. Barnes makes 3-pt shot from 24 ft
2:34.0,J. Embiid misses 2-pt shot from 3 ft (block by D. Nowitzki),,107-102,,
2:31.0,Offensive rebound by Team,,107-102,,
2:31.0,,,107-102,,D. Smith enters the game for J. Barea
2:20.0,B. Simmons makes 2-pt shot from 12 ft (assist by T. McConnell),2,109-102,,
2:07.0,,,109-104,2,D. Smith makes 2-pt shot from 1 ft (assist by W. Matthews)
1:46.0,D. Saric misses 2-pt shot from 6 ft,,109-104,,
1:44.0,,,109-104,,Defensive rebound by H. Barnes
1:36.0,,,109-104,,W. Matthews misses 2-pt shot from 7 ft
