time,New Orleans,pts.away,score,pts.home,Washington
10:24.0,Turnover by D. Cousins (lost ball; steal by T. Satoransky),,74-93,,
10:10.0,,,74-93,,Turnover by M. Scott (bad pass; steal by I. Clark)
10:05.0,,,74-93,,Personal foul by I. Mahinmi (drawn by A. Davis)
9:57.0,J. Holiday makes 2-pt shot from 3 ft,2,76-93,,
9:57.0,,,76-93,,Washington full timeout
9:57.0,,,76-93,,J. Wall enters the game for K. Oubre
9:48.0,Loose ball foul by D. Cousins (drawn by I. Mahinmi),,76-93,,
9:42.0,,,76-93,,Turnover by J. Wall (bad pass; steal by E. Moore)
9:26.0,E. Moore misses 2-pt shot from 6 ft,,76-93,,
9:24.0,,,76-93,,Defensive rebound by T. Satoransky
9:18.0,,,76-96,3,J. Wall makes 3-pt shot from 25 ft (assist by J. Meeks)
9:07.0,,,76-96,,Personal foul by J. Wall (drawn by J. Holiday)
8:56.0,A. Davis makes 2-pt shot from 7 ft (assist by E. Moore),2,78-96,,
8:56.0,,,78-96,,Shooting block foul by J. Meeks (drawn by A. Davis)
8:56.0,A. Davis misses free throw 1 of 1,,78-96,,
8:56.0,,,78-96,,Defensive rebound by M. Scott
8:48.0,,,78-98,2,M. Scott makes 2-pt shot from 17 ft (assist by J. Wall)
8:36.0,J. Holiday makes 2-pt shot from 13 ft,2,80-98,,
8:09.0,,,80-98,,Turnover by J. Wall (bad pass; steal by J. Holiday)
8:02.0,Turnover by J. Holiday (lost ball; steal by I. Mahinmi),,80-98,,
7:57.0,,,80-98,,J. Wall misses 3-pt shot from 26 ft
7:53.0,,,80-98,,Offensive rebound by J. Wall
7:52.0,,,80-98,,Turnover by J. Wall (bad pass; steal by E. Moore)
7:50.0,J. Holiday misses 3-pt shot from 26 ft,,80-98,,
7:46.0,Offensive rebound by D. Cousins,,80-98,,
7:45.0,E. Moore misses 3-pt shot from 25 ft,,80-98,,
7:45.0,,,80-98,,Defensive rebound by J. Wall
7:36.0,,,80-100,2,M. Scott makes 2-pt shot from 1 ft (assist by I. Mahinmi)
7:36.0,New Orleans full timeout,,80-100,,
7:36.0,,,80-100,,B. Beal enters the game for T. Satoransky
7:36.0,D. Miller enters the game for I. Clark,,80-100,,
7:23.0,Shooting foul by M. Scott (drawn by A. Davis),,80-100,,
7:23.0,A. Davis makes free throw 1 of 2,1,81-100,,
7:23.0,A. Davis makes free throw 2 of 2,1,82-100,,
7:11.0,,,82-102,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Wall)
6:56.0,D. Cousins makes 2-pt shot from 1 ft (assist by E. Moore),2,84-102,,
6:31.0,,,84-104,2,M. Scott makes 2-pt shot from 19 ft (assist by J. Wall)
6:18.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,86-104,,
5:55.0,,,86-104,,Turnover by I. Mahinmi (traveling)
5:55.0,,,86-104,,K. Oubre enters the game for J. Meeks
5:45.0,Shooting foul by I. Mahinmi (drawn by D. Cousins),,86-104,,
5:45.0,D. Cousins makes free throw 1 of 2,1,87-104,,
5:45.0,D. Cousins misses free throw 2 of 2,,87-104,,
5:41.0,Offensive rebound by J. Holiday,,87-104,,
5:38.0,A. Davis misses 3-pt shot from 22 ft,,87-104,,
5:33.0,,,87-104,,Defensive rebound by B. Beal
5:29.0,,,87-104,,B. Beal misses 3-pt shot from 25 ft
5:29.0,,,87-104,,Offensive rebound by Team
5:26.0,,,87-107,3,B. Beal makes 3-pt shot from 26 ft (assist by K. Oubre)
5:06.0,A. Davis makes 2-pt shot from 16 ft,2,89-107,,
4:54.0,,,89-109,2,M. Scott makes 2-pt shot from 18 ft (assist by J. Wall)
4:37.0,,,89-109,,J. Smith enters the game for M. Scott
4:32.0,A. Davis misses 2-pt shot from 16 ft,,89-109,,
4:25.0,Offensive rebound by D. Cousins,,89-109,,
4:25.0,D. Cousins makes 2-pt shot at rim,2,91-109,,
4:10.0,,,91-111,2,B. Beal makes 2-pt shot from 19 ft
