time,Dallas,pts.away,score,pts.home,LA Clippers
10:03.0,Defensive rebound by N. Noel,,79-103,,
9:57.0,J. Barea misses 2-pt shot from 12 ft,,79-103,,
9:53.0,,,79-103,,Defensive rebound by D. Gallinari
9:51.0,,,79-105,2,W. Johnson makes 2-pt shot at rim (assist by D. Gallinari)
9:49.0,Dallas full timeout,,79-105,,
9:49.0,,,79-105,,S. Dekker enters the game for D. Gallinari
9:49.0,S. Mejri enters the game for N. Noel,,79-105,,
9:49.0,D. Smith enters the game for J. Barea,,79-105,,
9:37.0,Y. Ferrell misses 3-pt shot from 24 ft,,79-105,,
9:34.0,Offensive rebound by S. Mejri,,79-105,,
9:30.0,Turnover by D. Powell (bad pass),,79-105,,
9:17.0,,,79-105,,S. Dekker misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by D. Powell,,79-105,,
9:12.0,D. Powell misses 3-pt shot from 24 ft,,79-105,,
9:06.0,,,79-105,,Defensive rebound by W. Johnson
9:00.0,,,79-107,2,L. Williams makes 2-pt shot from 22 ft
8:40.0,D. Powell misses 2-pt shot from 7 ft,,79-107,,
8:39.0,Offensive rebound by Team,,79-107,,
8:29.0,Y. Ferrell makes 2-pt shot from 1 ft (assist by S. Mejri),2,81-107,,
8:11.0,,,81-107,,W. Reed misses 2-pt shot from 1 ft (block by S. Mejri)
8:08.0,,,81-107,,Offensive rebound by S. Thornwell
8:05.0,,,81-107,,S. Thornwell misses 3-pt shot from 22 ft
8:05.0,Defensive rebound by Y. Ferrell,,81-107,,
7:59.0,Y. Ferrell makes 3-pt shot from 24 ft,3,84-107,,
7:41.0,,,84-107,,Turnover by S. Dekker (bad pass; steal by D. Powell)
7:37.0,Turnover by Y. Ferrell (step out of bounds),,84-107,,
7:37.0,,,84-107,,M. Harrell enters the game for L. Williams
7:37.0,,,84-107,,J. Evans enters the game for W. Reed
7:24.0,,,84-107,,Turnover by S. Dekker (bad pass; steal by M. Kleber)
7:20.0,Shooting foul by S. Thornwell (drawn by D. Smith),,84-107,,
7:20.0,D. Smith makes free throw 1 of 2,1,85-107,,
7:20.0,D. Smith makes free throw 2 of 2,1,86-107,,
7:02.0,,,86-107,,S. Thornwell misses 2-pt shot from 13 ft
6:59.0,Defensive rebound by D. Powell,,86-107,,
6:53.0,D. Smith misses 2-pt shot from 1 ft,,86-107,,
6:50.0,Offensive rebound by S. Mejri,,86-107,,
6:47.0,D. Powell misses 3-pt shot from 25 ft,,86-107,,
6:44.0,,,86-107,,Defensive rebound by W. Johnson
6:36.0,,,86-107,,W. Johnson misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by D. Smith,,86-107,,
6:16.0,Y. Ferrell makes 2-pt shot from 19 ft,2,88-107,,
5:54.0,,,88-109,2,W. Johnson makes 2-pt shot from 20 ft (assist by M. Harrell)
5:41.0,D. Smith misses 3-pt shot from 24 ft,,88-109,,
5:38.0,,,88-109,,Defensive rebound by J. Evans
5:32.0,,,88-109,,Turnover by M. Harrell (traveling)
5:16.0,D. Powell misses 2-pt shot from 8 ft,,88-109,,
5:11.0,,,88-109,,Defensive rebound by M. Harrell
5:06.0,,,88-109,,Turnover by S. Dekker (traveling)
