time,Dallas,pts.away,score,pts.home,Boston
10:10.0,D. Nowitzki misses 3-pt shot from 24 ft,,73-74,,
10:06.0,,,73-74,,Defensive rebound by D. Theis
9:48.0,,,73-74,,J. Tatum misses 2-pt shot from 22 ft
9:44.0,,,73-74,,Offensive rebound by D. Theis
9:43.0,,,73-77,3,S. Larkin makes 3-pt shot from 27 ft (assist by D. Theis)
9:22.0,D. Powell misses 2-pt shot from 5 ft,,73-77,,
9:21.0,,,73-77,,Defensive rebound by S. Larkin
9:21.0,Personal foul by D. Powell (drawn by S. Larkin),,73-77,,
9:08.0,,,73-80,3,T. Rozier makes 3-pt shot from 26 ft (assist by S. Larkin)
9:07.0,Dallas full timeout,,73-80,,
9:07.0,D. Harris enters the game for W. Matthews,,73-80,,
8:52.0,Shooting foul by S. Ojeleye (drawn by D. Nowitzki),,73-80,,
8:52.0,D. Nowitzki makes free throw 1 of 2,1,74-80,,
8:52.0,S. Mejri enters the game for D. Powell,,74-80,,
8:52.0,D. Nowitzki makes free throw 2 of 2,1,75-80,,
8:40.0,,,75-80,,S. Larkin misses 2-pt shot from 15 ft
8:39.0,Defensive rebound by Team,,75-80,,
8:25.0,D. Nowitzki misses 2-pt shot from 18 ft,,75-80,,
8:22.0,,,75-80,,Defensive rebound by T. Rozier
8:12.0,,,75-80,,Shooting foul by S. Mejri (drawn by D. Theis)
8:12.0,,,75-80,,D. Theis misses free throw 1 of 2
8:12.0,,,75-80,,Offensive rebound by Team
8:12.0,,,75-81,1,D. Theis makes free throw 2 of 2
7:59.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,78-81,,
7:40.0,,,78-81,,D. Theis misses 2-pt shot from 15 ft
7:35.0,Defensive rebound by Y. Ferrell,,78-81,,
7:24.0,J. Barea makes 3-pt shot from 25 ft (assist by S. Mejri),3,81-81,,
7:23.0,,,81-81,,Boston full timeout
7:23.0,,,81-81,,M. Smart enters the game for J. Tatum
7:23.0,,,81-81,,K. Irving enters the game for S. Larkin
7:03.0,,,81-81,,K. Irving misses 3-pt shot from 24 ft
6:59.0,,,81-81,,Offensive rebound by S. Ojeleye
6:58.0,Personal foul by Y. Ferrell (drawn by D. Theis),,81-81,,
6:51.0,,,81-81,,T. Rozier misses 2-pt shot from 20 ft
6:50.0,,,81-81,,Offensive rebound by D. Theis
6:50.0,,,81-83,2,D. Theis makes 2-pt shot at rim
6:32.0,J. Barea misses 3-pt shot from 25 ft,,81-83,,
6:32.0,,,81-83,,Defensive rebound by T. Rozier
6:20.0,,,81-85,2,K. Irving makes 2-pt shot from 15 ft
5:53.0,Turnover by Y. Ferrell (lost ball; steal by D. Theis),,81-85,,
5:48.0,,,81-85,,Turnover by K. Irving (bad pass; steal by D. Harris)
5:41.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea),2,83-85,,
5:23.0,,,83-85,,K. Irving misses 3-pt shot from 27 ft
5:20.0,Defensive rebound by S. Mejri,,83-85,,
5:11.0,Turnover by J. Barea (bad pass; steal by D. Theis),,83-85,,
5:02.0,,,83-85,,Boston full timeout
5:02.0,,,83-85,,J. Tatum enters the game for D. Theis
5:02.0,,,83-85,,A. Horford enters the game for S. Ojeleye
5:02.0,H. Barnes enters the game for Y. Ferrell,,83-85,,
5:02.0,M. Kleber enters the game for D. Harris,,83-85,,
5:02.0,W. Matthews enters the game for D. Nowitzki,,83-85,,
5:02.0,D. Smith enters the game for S. Mejri,,83-85,,
4:51.0,,,83-85,,A. Horford misses 2-pt shot from 7 ft
4:48.0,Defensive rebound by H. Barnes,,83-85,,
4:31.0,H. Barnes makes 2-pt shot from 11 ft,2,85-85,,
4:14.0,,,85-87,2,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford)
3:52.0,H. Barnes misses 2-pt shot from 5 ft,,85-87,,
3:49.0,,,85-87,,Defensive rebound by A. Horford
3:45.0,,,85-89,2,K. Irving makes 2-pt shot from 1 ft
3:24.0,D. Smith misses 2-pt shot from 7 ft,,85-89,,
3:23.0,Offensive rebound by M. Kleber,,85-89,,
3:23.0,M. Kleber misses 2-pt shot at rim,,85-89,,
3:21.0,,,85-89,,Defensive rebound by Team
3:15.0,,,85-91,2,K. Irving makes 2-pt shot from 6 ft
3:15.0,,,85-91,,Shooting foul by W. Matthews (drawn by K. Irving)
3:15.0,D. Harris enters the game for J. Barea,,85-91,,
3:15.0,D. Nowitzki enters the game for M. Kleber,,85-91,,
3:15.0,,,85-92,1,K. Irving makes free throw 1 of 1
3:00.0,D. Nowitzki misses 3-pt shot from 26 ft,,85-92,,
3:00.0,,,85-92,,Defensive rebound by J. Tatum
2:40.0,,,85-92,,K. Irving misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by D. Smith,,85-92,,
2:33.0,D. Nowitzki misses 3-pt shot from 26 ft,,85-92,,
2:30.0,,,85-92,,Defensive rebound by T. Rozier
2:16.0,,,85-92,,A. Horford misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by D. Smith,,85-92,,
