time,Atlanta,pts.away,score,pts.home,Toronto
2:24.0,,,47-43,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:24.0,,,47-43,,Shooting foul by M. Plumlee (drawn by J. Valanciunas)
2:24.0,,,47-44,1,J. Valanciunas makes free throw 1 of 1
2:15.0,T. Dorsey misses 2-pt shot from 20 ft,,47-44,,
2:11.0,,,47-44,,Defensive rebound by J. Valanciunas
1:57.0,,,47-47,3,N. Powell makes 3-pt shot from 23 ft (assist by K. Lowry)
1:30.0,Turnover by M. Plumlee (lost ball; steal by N. Powell),,47-47,,
1:20.0,,,47-47,,N. Powell misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by J. Morris,,47-47,,
1:03.0,Jump ball: K. Lowry vs. T. Dorsey (S. Ibaka gains possession),,,,Jump ball: K. Lowry vs. T. Dorsey (S. Ibaka gains possession)
1:03.0,Turnover by T. Dorsey (turnover; steal by K. Lowry),,47-47,,
0:57.0,Personal foul by T. Dorsey (drawn by K. Lowry),,47-47,,
0:45.0,,,47-47,,S. Ibaka misses 2-pt shot from 6 ft
0:42.0,,,47-47,,Offensive rebound by N. Powell
0:38.0,,,47-50,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
0:34.0,,,47-50,,Personal foul by K. Lowry
0:34.0,,,47-50,,Technical foul by K. Lowry
0:34.0,M. Muscala makes technical free throw,1,48-50,,
0:34.0,M. Muscala makes free throw 1 of 2,1,49-50,,
0:34.0,M. Muscala makes free throw 2 of 2,1,50-50,,
0:27.0,,,50-50,,S. Ibaka misses 3-pt shot from 24 ft
0:22.0,,,50-50,,Offensive rebound by K. Lowry
0:03.0,,,50-50,,Offensive foul by D. DeRozan
0:03.0,,,50-50,,Turnover by D. DeRozan (offensive foul)
0:03.0,,,50-50,,F. VanVleet enters the game for D. DeRozan
0:03.0,,,50-50,,Technical foul by D. DeRozan
0:03.0,M. Muscala makes technical free throw,1,51-50,,
0:03.0,T. Waller-Prince enters the game for M. Plumlee,,51-50,,
0:02.0,T. Dorsey misses 3-pt shot from 29 ft (block by F. VanVleet),,51-50,,
0:01.0,Offensive rebound by Team,,51-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,51-52,2,D. DeRozan makes 2-pt shot from 5 ft
11:46.0,,,51-52,,Shooting foul by J. Collins (drawn by D. DeRozan)
11:46.0,,,51-53,1,D. DeRozan makes free throw 1 of 1
11:30.0,Turnover by J. Collins (lost ball; steal by D. DeRozan),,51-53,,
11:22.0,,,51-55,2,D. DeRozan makes 2-pt shot from 2 ft
11:12.0,Turnover by K. Bazemore (bad pass; steal by M. Miller),,51-55,,
11:03.0,,,51-57,2,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas)
11:03.0,Atlanta full timeout,,51-57,,
10:41.0,D. Dedmon makes 2-pt shot from 16 ft (assist by J. Collins),2,53-57,,
10:23.0,,,53-57,,Offensive charge foul by J. Valanciunas (drawn by T. Waller-Prince)
10:23.0,,,53-57,,Turnover by J. Valanciunas (offensive foul)
10:09.0,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore),2,55-57,,
9:46.0,,,55-57,,D. DeRozan misses 2-pt shot from 11 ft (block by D. Dedmon)
9:44.0,Defensive rebound by J. Collins,,55-57,,
9:40.0,,,55-57,,Personal foul by K. Lowry (drawn by D. Schroder)
9:33.0,D. Schroder makes 2-pt shot from 15 ft (assist by K. Bazemore),2,57-57,,
9:17.0,,,57-59,2,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas)
