time,Boston,pts.away,score,pts.home,Orlando
6:20.0,S. Ojeleye makes 3-pt shot from 24 ft (assist by K. Irving),3,67-60,,
6:13.0,,,67-60,,Turnover by J. Simmons (bad pass; steal by K. Irving)
6:08.0,M. Smart makes 2-pt shot from 2 ft,2,69-60,,
5:57.0,,,69-63,3,N. Vucevic makes 3-pt shot from 26 ft (assist by A. Gordon)
5:42.0,,,69-63,,Personal foul by T. Ross (drawn by K. Irving)
5:38.0,Offensive charge foul by A. Horford (drawn by N. Vucevic),,69-63,,
5:38.0,Turnover by A. Horford (offensive foul),,69-63,,
5:17.0,,,69-65,2,A. Gordon makes 2-pt shot from 2 ft
4:54.0,K. Irving misses 2-pt shot from 12 ft,,69-65,,
4:50.0,Offensive rebound by A. Horford,,69-65,,
4:48.0,J. Brown makes 3-pt shot from 23 ft (assist by K. Irving),3,72-65,,
4:34.0,,,72-65,,J. Simmons misses 2-pt shot from 3 ft
4:31.0,Defensive rebound by J. Brown,,72-65,,
4:28.0,,,72-65,,Personal foul by E. Fournier (drawn by A. Horford)
4:28.0,,,72-65,,S. Mack enters the game for J. Simmons
4:27.0,K. Irving misses 2-pt shot from 5 ft,,72-65,,
4:27.0,Offensive rebound by Team,,72-65,,
4:20.0,A. Horford makes 2-pt shot from 1 ft,2,74-65,,
4:13.0,,,74-65,,Orlando full timeout
4:13.0,,,74-65,,J. Isaac enters the game for E. Fournier
4:13.0,T. Rozier enters the game for K. Irving,,74-65,,
4:02.0,,,74-67,2,N. Vucevic makes 2-pt shot from 18 ft
3:43.0,A. Horford misses 2-pt shot from 18 ft,,74-67,,
3:40.0,,,74-67,,Defensive rebound by A. Gordon
3:30.0,,,74-69,2,A. Gordon makes 2-pt shot from 14 ft (assist by S. Mack)
3:03.0,T. Rozier misses 3-pt shot from 26 ft,,74-69,,
3:00.0,,,74-69,,Defensive rebound by N. Vucevic
2:50.0,,,74-69,,N. Vucevic misses 2-pt shot from 8 ft
2:47.0,Defensive rebound by A. Horford,,74-69,,
2:33.0,Turnover by T. Rozier (step out of bounds),,74-69,,
2:18.0,,,74-69,,N. Vucevic misses 2-pt shot from 20 ft
2:14.0,Defensive rebound by S. Ojeleye,,74-69,,
2:05.0,Turnover by A. Horford (bad pass; steal by N. Vucevic),,74-69,,
1:53.0,,,74-69,,T. Ross misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by M. Smart,,74-69,,
1:35.0,M. Smart makes 3-pt shot from 25 ft (assist by T. Rozier),3,77-69,,
1:16.0,,,77-69,,T. Ross misses 2-pt shot from 20 ft
1:13.0,Defensive rebound by J. Brown,,77-69,,
1:07.0,Turnover by J. Brown (out of bounds lost ball),,77-69,,
1:07.0,,,77-69,,B. Biyombo enters the game for N. Vucevic
1:07.0,,,77-69,,M. Hezonja enters the game for T. Ross
1:07.0,A. Baynes enters the game for A. Horford,,77-69,,
0:54.0,,,77-69,,M. Hezonja misses 3-pt shot from 24 ft
0:50.0,,,77-69,,Offensive rebound by B. Biyombo
0:44.0,,,77-69,,J. Isaac misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by T. Rozier,,77-69,,
0:32.0,M. Smart misses 3-pt shot from 25 ft,,77-69,,
0:28.0,Offensive rebound by T. Rozier,,77-69,,
0:26.0,T. Rozier misses 2-pt shot from 8 ft (block by J. Isaac),,77-69,,
0:26.0,,,77-69,,Defensive rebound by Team
0:24.0,Jump ball: B. Biyombo vs. T. Rozier (S. Mack gains possession),,,,Jump ball: B. Biyombo vs. T. Rozier (S. Mack gains possession)
0:18.0,,,77-69,,Turnover by S. Mack (lost ball; steal by S. Ojeleye)
0:06.0,A. Baynes misses 2-pt shot from 7 ft,,77-69,,
0:02.0,,,77-69,,Defensive rebound by B. Biyombo
0:00.0,,,77-69,,A. Gordon misses 3-pt shot from 34 ft
0:00.0,,,77-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Rozier misses 2-pt shot from 19 ft,,77-69,,
11:42.0,,,77-69,,Defensive rebound by S. Mack
11:41.0,,,77-69,,S. Mack misses 2-pt shot from 3 ft (block by M. Smart)
11:41.0,,,77-69,,Offensive rebound by Team
11:41.0,M. Morris enters the game for S. Ojeleye,,77-69,,
11:34.0,,,77-71,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
11:19.0,A. Baynes makes 2-pt shot from 18 ft (assist by S. Larkin),2,79-71,,
11:05.0,Personal foul by M. Morris (drawn by J. Isaac),,79-71,,
10:57.0,,,79-71,,E. Fournier misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by M. Morris,,79-71,,
10:39.0,M. Morris makes 2-pt shot from 17 ft,2,81-71,,
10:22.0,,,81-71,,S. Mack misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by M. Smart,,81-71,,
10:13.0,Shooting foul by B. Biyombo (drawn by M. Morris),,81-71,,
10:13.0,M. Morris makes free throw 1 of 2,1,82-71,,
10:13.0,M. Morris makes free throw 2 of 2,1,83-71,,
9:59.0,Personal foul by M. Morris (drawn by E. Fournier),,83-71,,
9:56.0,,,83-71,,Turnover by B. Biyombo (bad pass; steal by M. Smart)
9:51.0,M. Smart misses 2-pt shot from 2 ft,,83-71,,
9:51.0,,,83-71,,Defensive rebound by Team
9:37.0,,,83-71,,B. Biyombo misses 2-pt shot from 9 ft
9:34.0,Defensive rebound by M. Morris,,83-71,,
9:29.0,S. Larkin misses 3-pt shot from 24 ft,,83-71,,
9:27.0,,,83-71,,Defensive rebound by S. Mack
9:20.0,,,83-71,,E. Fournier misses 2-pt shot from 7 ft
9:17.0,Defensive rebound by T. Rozier,,83-71,,
9:16.0,Shooting foul by S. Mack (drawn by T. Rozier),,83-71,,
9:16.0,T. Rozier makes free throw 1 of 2,1,84-71,,
9:16.0,,,84-71,,J. Simmons enters the game for S. Mack
9:16.0,T. Rozier makes free throw 2 of 2,1,85-71,,
8:53.0,,,85-71,,J. Isaac misses 2-pt shot from 17 ft
8:49.0,Defensive rebound by A. Baynes,,85-71,,
8:37.0,M. Morris makes 2-pt shot from 10 ft,2,87-71,,
8:26.0,,,87-73,2,M. Hezonja makes 2-pt shot from 17 ft (assist by J. Simmons)
8:09.0,A. Baynes makes 2-pt shot from 17 ft (assist by M. Smart),2,89-73,,
8:08.0,,,89-73,,Orlando full timeout
8:08.0,,,89-73,,A. Gordon enters the game for M. Hezonja
8:08.0,,,89-73,,N. Vucevic enters the game for B. Biyombo
7:55.0,,,89-75,2,J. Simmons makes 2-pt shot from 2 ft (assist by N. Vucevic)
7:37.0,S. Larkin misses 2-pt shot from 20 ft,,89-75,,
7:34.0,,,89-75,,Defensive rebound by E. Fournier
7:19.0,,,89-75,,Turnover by J. Simmons (lost ball; steal by M. Morris)
