time,LA Clippers,pts.away,score,pts.home,Milwaukee
1:26.0,A. Rivers misses 3-pt shot from 28 ft,,93-81,,
1:26.0,Offensive rebound by Team,,93-81,,
1:23.0,M. Harrell enters the game for D. Jordan,,93-81,,
1:17.0,A. Rivers misses 3-pt shot from 26 ft,,93-81,,
1:15.0,Offensive rebound by Team,,93-81,,
1:09.0,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers),2,95-81,,
1:02.0,,,95-81,,S. Muhammad misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by M. Harrell,,95-81,,
0:43.0,A. Rivers misses 2-pt shot from 4 ft,,95-81,,
0:41.0,,,95-81,,Defensive rebound by T. Zeller
0:39.0,,,95-83,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Zeller)
0:29.0,L. Williams misses 3-pt shot from 27 ft,,95-83,,
0:27.0,Offensive rebound by W. Johnson,,95-83,,
0:03.0,A. Rivers misses 2-pt shot from 2 ft,,95-83,,
0:01.0,Offensive rebound by A. Rivers,,95-83,,
0:00.0,S. Dekker makes 2-pt shot from 1 ft (assist by A. Rivers),2,97-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,97-83,,T. Zeller misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by M. Harrell,,97-83,,
11:31.0,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker),2,99-83,,
11:09.0,,,99-83,,Turnover by B. Jennings (bad pass; steal by M. Harrell)
11:06.0,Turnover by S. Thornwell (bad pass),,99-83,,
10:41.0,,,99-83,,J. Parker misses 3-pt shot from 26 ft
10:38.0,,,99-83,,Offensive rebound by S. Brown
10:34.0,,,99-85,2,S. Brown makes 2-pt shot from 8 ft (assist by T. Zeller)
10:17.0,M. Harrell misses 2-pt shot from 2 ft,,99-85,,
10:14.0,,,99-85,,Defensive rebound by S. Brown
10:07.0,,,99-85,,Turnover by S. Brown (lost ball; steal by M. Harrell)
10:02.0,L. Williams makes 3-pt shot from 26 ft (assist by M. Harrell),3,102-85,,
9:33.0,,,102-85,,S. Brown misses 2-pt shot from 15 ft
9:30.0,Defensive rebound by M. Teodosic,,102-85,,
9:23.0,M. Harrell misses 2-pt shot from 6 ft,,102-85,,
9:21.0,,,102-85,,Defensive rebound by S. Muhammad
9:21.0,Personal take foul by M. Teodosic (drawn by B. Jennings),,102-85,,
9:21.0,,,102-85,,J. Terry enters the game for S. Brown
9:07.0,,,102-87,2,S. Muhammad makes 2-pt shot from 2 ft (assist by J. Parker)
8:57.0,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams),2,104-87,,
8:57.0,,,104-87,,Milwaukee full timeout
8:57.0,,,104-87,,K. Middleton enters the game for S. Muhammad
8:57.0,,,104-87,,T. Maker enters the game for T. Zeller
8:42.0,,,104-87,,J. Terry misses 3-pt shot from 24 ft (block by L. Williams)
