time,LA Lakers,pts.away,score,pts.home,Boston
8:18.0,J. Clarkson enters the game for K. Kuzma,,63-70,,
8:06.0,,,63-73,3,M. Morris makes 3-pt shot from 27 ft (assist by A. Baynes)
8:03.0,,,63-73,,Technical foul by Team
8:03.0,,,63-74,1,K. Irving makes technical free throw
7:48.0,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball),2,65-74,,
7:33.0,,,65-74,,J. Brown misses 2-pt shot from 2 ft
7:32.0,,,65-74,,Offensive rebound by J. Brown
7:32.0,,,65-74,,J. Brown misses 2-pt shot from 2 ft (block by B. Lopez)
7:32.0,,,65-74,,Offensive rebound by Team
7:23.0,,,65-74,,M. Smart misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by B. Lopez,,65-74,,
7:13.0,,,65-74,,Personal foul by M. Smart (drawn by B. Lopez)
7:07.0,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Ball),3,68-74,,
6:49.0,,,68-74,,M. Smart misses 3-pt shot from 28 ft
6:48.0,,,68-74,,Offensive rebound by A. Baynes
6:48.0,,,68-76,2,A. Baynes makes 2-pt shot at rim
6:32.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by J. Clarkson),2,70-76,,
6:17.0,,,70-76,,M. Morris misses 2-pt shot from 20 ft
6:14.0,Defensive rebound by K. Caldwell-Pope,,70-76,,
6:09.0,B. Ingram makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,72-76,,
5:52.0,,,72-76,,Turnover by A. Baynes (offensive goaltending)
5:42.0,J. Clarkson makes 2-pt shot at rim,2,74-76,,
5:24.0,,,74-78,2,A. Baynes makes 2-pt shot from 2 ft (assist by M. Smart)
5:10.0,J. Clarkson misses 3-pt shot from 25 ft,,74-78,,
5:07.0,,,74-78,,Defensive rebound by J. Brown
5:01.0,,,74-78,,Shooting foul by B. Lopez (drawn by A. Baynes)
5:01.0,,,74-79,1,A. Baynes makes free throw 1 of 2
5:01.0,,,74-79,,S. Ojeleye enters the game for M. Morris
5:01.0,,,74-79,,T. Rozier enters the game for M. Smart
5:01.0,,,74-79,,A. Baynes misses free throw 2 of 2
4:58.0,Defensive rebound by B. Ingram,,74-79,,
4:46.0,B. Lopez makes 2-pt shot from 5 ft,2,76-79,,
4:22.0,,,76-79,,Turnover by K. Irving (bad pass; steal by B. Ingram)
4:18.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,76-79,,
4:15.0,,,76-79,,Defensive rebound by S. Ojeleye
4:09.0,,,76-79,,Offensive foul by A. Baynes (drawn by K. Caldwell-Pope)
4:09.0,,,76-79,,Turnover by A. Baynes (offensive foul)
4:09.0,,,76-79,,D. Theis enters the game for A. Baynes
4:09.0,J. Randle enters the game for B. Lopez,,76-79,,
4:00.0,Turnover by J. Randle (traveling),,76-79,,
3:45.0,,,76-79,,K. Irving misses 3-pt shot from 22 ft
3:43.0,Defensive rebound by J. Randle,,76-79,,
3:37.0,L. Ball misses 2-pt shot from 2 ft,,76-79,,
3:33.0,Offensive rebound by J. Clarkson,,76-79,,
3:32.0,B. Ingram misses 3-pt shot from 25 ft,,76-79,,
3:28.0,,,76-79,,Defensive rebound by K. Irving
3:23.0,,,76-79,,T. Rozier misses 2-pt shot from 3 ft (block by K. Caldwell-Pope)
3:20.0,,,76-79,,Offensive rebound by D. Theis
3:18.0,Personal foul by K. Caldwell-Pope (drawn by D. Theis),,76-79,,
3:05.0,,,76-79,,K. Irving misses 2-pt shot from 15 ft
3:01.0,Defensive rebound by B. Ingram,,76-79,,
2:58.0,B. Ingram misses 2-pt shot from 2 ft,,76-79,,
2:57.0,,,76-79,,Defensive rebound by K. Irving
2:56.0,Personal foul by B. Ingram (drawn by K. Irving),,76-79,,
2:56.0,LA Lakers full timeout,,76-79,,
2:56.0,,,76-80,1,K. Irving makes free throw 1 of 2
2:56.0,,,76-81,1,K. Irving makes free throw 2 of 2
2:35.0,J. Randle misses 2-pt shot from 4 ft (block by T. Rozier),,76-81,,
2:32.0,,,76-81,,Defensive rebound by T. Rozier
2:27.0,,,76-81,,S. Ojeleye misses 2-pt shot from 1 ft
2:22.0,,,76-81,,Offensive rebound by T. Rozier
2:22.0,,,76-83,2,T. Rozier makes 2-pt shot at rim
2:16.0,L. Ball misses 2-pt shot from 8 ft,,76-83,,
2:13.0,Offensive rebound by J. Randle,,76-83,,
2:13.0,J. Randle makes 2-pt shot from 1 ft,2,78-83,,
2:13.0,Shooting foul by T. Rozier (drawn by J. Randle),,78-83,,
2:13.0,,,78-83,,M. Smart enters the game for K. Irving
2:13.0,J. Hart enters the game for B. Ingram,,78-83,,
2:13.0,J. Randle makes free throw 1 of 1,1,79-83,,
1:59.0,,,79-83,,T. Rozier misses 3-pt shot from 27 ft
1:56.0,Defensive rebound by L. Ball,,79-83,,
1:53.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,79-83,,
1:49.0,,,79-83,,Defensive rebound by J. Brown
1:38.0,,,79-85,2,D. Theis makes 2-pt shot from 1 ft (assist by J. Brown)
1:17.0,L. Ball misses 3-pt shot from 23 ft,,79-85,,
1:13.0,,,79-85,,Defensive rebound by J. Brown
1:10.0,Personal foul by K. Caldwell-Pope (drawn by J. Brown),,79-85,,
1:10.0,,,79-86,1,J. Brown makes free throw 1 of 2
1:10.0,,,79-87,1,J. Brown makes free throw 2 of 2
0:48.0,J. Clarkson makes 2-pt shot from 4 ft,2,81-87,,
0:29.0,,,81-87,,Turnover by J. Brown (lost ball; steal by L. Ball)
0:23.0,J. Hart misses 3-pt shot from 24 ft,,81-87,,
0:20.0,,,81-87,,Defensive rebound by T. Rozier
0:01.0,,,81-87,,J. Brown misses 3-pt shot from 26 ft
0:01.0,,,81-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by T. Rozier (drawn by J. Clarkson),,81-87,,
11:48.0,J. Clarkson makes free throw 1 of 3,1,82-87,,
11:48.0,J. Clarkson makes free throw 2 of 3,1,83-87,,
11:48.0,J. Clarkson misses free throw 3 of 3,,83-87,,
11:45.0,Offensive rebound by J. Clarkson,,83-87,,
11:39.0,C. Brewer misses 2-pt shot at rim,,83-87,,
11:37.0,,,83-87,,Defensive rebound by T. Rozier
11:22.0,,,83-89,2,T. Rozier makes 2-pt shot from 10 ft (assist by M. Smart)
11:05.0,Turnover by K. Kuzma (bad pass; steal by S. Ojeleye),,83-89,,
10:49.0,,,83-89,,S. Ojeleye misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by J. Randle,,83-89,,
10:35.0,Turnover by J. Hart (bad pass),,83-89,,
10:20.0,,,83-89,,D. Theis misses 2-pt shot from 19 ft
10:16.0,,,83-89,,Offensive rebound by M. Smart
10:12.0,,,83-89,,S. Ojeleye misses 3-pt shot from 22 ft
10:09.0,Defensive rebound by J. Randle,,83-89,,
10:06.0,Offensive charge foul by J. Hart (drawn by S. Larkin),,83-89,,
10:06.0,Turnover by J. Hart (offensive foul),,83-89,,
9:51.0,,,83-89,,Turnover by S. Ojeleye (bad pass; steal by J. Clarkson)
9:46.0,J. Randle misses 2-pt shot from 1 ft,,83-89,,
9:44.0,,,83-89,,Defensive rebound by D. Theis
9:25.0,,,83-89,,M. Smart misses 3-pt shot from 28 ft
9:22.0,,,83-89,,Offensive rebound by T. Rozier
9:10.0,,,83-89,,S. Larkin misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by J. Randle,,83-89,,
9:04.0,C. Brewer misses 3-pt shot from 23 ft,,83-89,,
9:03.0,,,83-89,,Defensive rebound by Team
9:03.0,B. Ingram enters the game for J. Hart,,83-89,,
