time,New York,pts.away,score,pts.home,Sacramento
8:33.0,,,75-92,,B. Hield misses 2-pt shot from 1 ft (block by K. O'Quinn)
8:33.0,,,75-92,,Offensive rebound by S. Labissiere
8:27.0,,,75-92,,G. Temple misses 3-pt shot from 27 ft
8:26.0,Defensive rebound by Team,,75-92,,
8:26.0,T. Hardaway enters the game for T. Williams,,75-92,,
8:12.0,K. O'Quinn makes 2-pt shot from 18 ft,2,77-92,,
7:57.0,,,77-92,,F. Mason misses 2-pt shot from 19 ft (block by T. Burke)
7:54.0,Defensive rebound by K. O'Quinn,,77-92,,
7:44.0,C. Lee makes 3-pt shot from 26 ft (assist by K. O'Quinn),3,80-92,,
7:23.0,Personal foul by K. O'Quinn (drawn by F. Mason),,80-92,,
7:23.0,,,80-92,,Sacramento full timeout
7:12.0,,,80-92,,Turnover by V. Carter (bad pass; steal by K. O'Quinn)
6:58.0,T. Burke makes 2-pt shot from 16 ft (assist by M. Beasley),2,82-92,,
6:32.0,,,82-95,3,V. Carter makes 3-pt shot from 28 ft (assist by B. Hield)
6:09.0,K. O'Quinn misses 2-pt shot from 20 ft,,82-95,,
6:07.0,,,82-95,,Defensive rebound by F. Mason
5:57.0,,,82-95,,F. Mason misses 2-pt shot from 4 ft
5:53.0,Defensive rebound by Team,,82-95,,
5:41.0,C. Lee makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,84-95,,
5:16.0,,,84-95,,Turnover by B. Hield (bad pass; steal by C. Lee)
5:16.0,,,84-95,,Personal foul by F. Mason (drawn by C. Lee)
5:04.0,T. Hardaway makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,86-95,,
4:47.0,,,86-95,,B. Hield misses 3-pt shot from 22 ft
4:47.0,Defensive rebound by M. Beasley,,86-95,,
4:36.0,T. Burke makes 2-pt shot from 13 ft,2,88-95,,
4:16.0,,,88-97,2,S. Labissiere makes 2-pt shot from 13 ft (assist by G. Temple)
4:01.0,,,88-97,,Personal foul by B. Hield (drawn by T. Hardaway)
4:01.0,New York full timeout,,88-97,,
4:01.0,,,88-97,,D. Fox enters the game for F. Mason
4:01.0,,,88-97,,B. Bogdanovic enters the game for B. Hield
3:47.0,T. Hardaway makes 2-pt shot from 19 ft,2,90-97,,
3:27.0,,,90-97,,S. Labissiere misses 2-pt shot from 19 ft (block by K. O'Quinn)
3:23.0,Defensive rebound by M. Beasley,,90-97,,
3:20.0,C. Lee misses 3-pt shot from 22 ft (block by S. Labissiere),,90-97,,
3:20.0,,,90-97,,Defensive rebound by Team
3:18.0,Loose ball foul by K. O'Quinn (drawn by V. Carter),,90-97,,
2:59.0,,,90-97,,D. Fox misses 2-pt shot from 5 ft (block by T. Burke)
2:57.0,,,90-97,,Offensive rebound by D. Fox
2:57.0,,,90-97,,Turnover by D. Fox (bad pass; steal by K. O'Quinn)
2:57.0,New York full timeout,,90-97,,
2:48.0,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Burke),3,93-97,,
2:34.0,Personal foul by M. Beasley (drawn by V. Carter),,93-97,,
2:22.0,,,93-97,,D. Fox misses 2-pt shot from 10 ft (block by M. Beasley)
2:19.0,Defensive rebound by K. O'Quinn,,93-97,,
2:15.0,T. Hardaway misses 3-pt shot from 27 ft,,93-97,,
2:15.0,,,93-97,,Defensive rebound by G. Temple
1:55.0,,,93-97,,B. Bogdanovic misses 2-pt shot from 2 ft (block by K. O'Quinn)
1:52.0,Defensive rebound by C. Lee,,93-97,,
1:50.0,T. Burke misses 3-pt shot from 24 ft,,93-97,,
1:47.0,Offensive rebound by K. O'Quinn,,93-97,,
1:47.0,K. O'Quinn makes 2-pt shot from 1 ft,2,95-97,,
1:30.0,,,95-97,,D. Fox misses 2-pt shot from 7 ft
