time,Detroit,pts.away,score,pts.home,New York
0:41.0,S. Johnson makes 2-pt shot from 8 ft,2,56-54,,
0:32.0,,,56-54,,E. Mudiay misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by H. Ellenson,,56-54,,
0:08.0,Turnover by A. Drummond (offensive goaltending),,56-54,,
0:00.0,,,56-54,,I. Hicks misses 2-pt shot from 21 ft
0:00.0,,,56-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Jackson misses 2-pt shot from 14 ft,,56-54,,
11:42.0,Offensive rebound by R. Jackson,,56-54,,
11:40.0,R. Jackson misses 2-pt shot from 9 ft,,56-54,,
11:38.0,,,56-54,,Defensive rebound by T. Hardaway
11:16.0,,,56-56,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Burke)
11:00.0,R. Bullock makes 3-pt shot from 23 ft (assist by R. Jackson),3,59-56,,
10:43.0,,,59-58,2,T. Burke makes 2-pt shot from 18 ft (assist by K. O'Quinn)
10:27.0,R. Jackson misses 2-pt shot from 17 ft,,59-58,,
10:25.0,,,59-58,,Defensive rebound by K. O'Quinn
10:16.0,,,59-58,,M. Beasley misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by A. Drummond,,59-58,,
10:06.0,Offensive foul by A. Drummond (drawn by M. Beasley),,59-58,,
10:06.0,Turnover by A. Drummond (offensive foul),,59-58,,
9:53.0,,,59-58,,Turnover by K. O'Quinn (bad pass; steal by A. Tolliver)
9:48.0,A. Drummond misses 2-pt shot at rim,,59-58,,
9:46.0,,,59-58,,Defensive rebound by M. Beasley
9:43.0,,,59-60,2,T. Williams makes 2-pt shot from 8 ft (assist by T. Burke)
9:43.0,,,59-60,,Shooting foul by R. Jackson (drawn by T. Williams)
9:43.0,,,59-61,1,T. Williams makes free throw 1 of 1
9:31.0,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Drummond),3,62-61,,
9:14.0,,,62-64,3,T. Hardaway makes 3-pt shot from 23 ft (assist by M. Beasley)
