time,Washington,pts.away,score,pts.home,Golden State
9:39.0,J. Wall misses 2-pt shot from 16 ft,,73-60,,
9:37.0,,,73-60,,Defensive rebound by K. Durant
9:32.0,,,73-60,,K. Thompson misses 3-pt shot from 25 ft
9:25.0,,,73-60,,Offensive rebound by K. Looney
9:23.0,,,73-60,,K. Durant misses 2-pt shot from 1 ft (block by M. Gortat)
9:18.0,M. Scott makes 2-pt shot from 1 ft (assist by J. Wall),2,75-60,,
9:18.0,Shooting foul by K. Thompson (drawn by M. Scott),,75-60,,
9:18.0,,,75-60,,P. McCaw enters the game for K. Thompson
9:18.0,M. Scott makes free throw 1 of 1,1,76-60,,
9:17.0,Offensive rebound by J. Wall,,76-60,,
9:08.0,,,76-60,,S. Curry misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by K. Oubre,,76-60,,
8:47.0,K. Oubre makes 2-pt shot from 9 ft (assist by J. Wall),2,78-60,,
8:36.0,,,78-60,,K. Durant misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by K. Oubre,,78-60,,
8:28.0,,,78-60,,Personal foul by Z. Pachulia (drawn by M. Gortat)
8:15.0,M. Scott misses 2-pt shot from 18 ft,,78-60,,
8:11.0,,,78-60,,Defensive rebound by S. Curry
8:06.0,,,78-60,,S. Curry misses 2-pt shot from 1 ft
8:02.0,,,78-60,,Offensive rebound by Z. Pachulia
8:00.0,,,78-62,2,Z. Pachulia makes 2-pt shot from 2 ft
7:40.0,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall),2,80-62,,
7:21.0,,,80-62,,S. Curry misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by M. Scott,,80-62,,
7:10.0,J. Wall misses 2-pt shot from 17 ft,,80-62,,
7:07.0,,,80-62,,Defensive rebound by K. Durant
7:02.0,,,80-62,,K. Durant misses 3-pt shot from 24 ft
7:00.0,,,80-62,,Offensive rebound by Z. Pachulia
7:00.0,Personal foul by J. Wall (drawn by S. Curry),,80-62,,
7:00.0,,,80-62,,Golden State full timeout
6:51.0,,,80-62,,Z. Pachulia misses 2-pt shot from 2 ft (block by J. Wall)
6:51.0,,,80-62,,Offensive rebound by Team
6:46.0,,,80-64,2,K. Durant makes 2-pt shot from 18 ft (assist by Z. Pachulia)
6:34.0,,,80-64,,Personal foul by Z. Pachulia (drawn by O. Porter)
6:34.0,O. Porter misses free throw 1 of 2,,80-64,,
6:34.0,Offensive rebound by Team,,80-64,,
6:34.0,,,80-64,,O. Casspi enters the game for Z. Pachulia
6:34.0,O. Porter misses free throw 2 of 2,,80-64,,
6:30.0,Offensive rebound by M. Gortat,,80-64,,
6:28.0,K. Oubre misses 3-pt shot from 26 ft,,80-64,,
6:23.0,,,80-64,,Defensive rebound by S. Curry
6:18.0,,,80-64,,Turnover by O. Casspi (offensive goaltending)
6:06.0,K. Oubre misses 2-pt shot from 2 ft,,80-64,,
6:03.0,,,80-64,,Defensive rebound by K. Looney
6:02.0,Personal foul by O. Porter (drawn by K. Durant),,80-64,,
5:59.0,,,80-64,,Shooting foul by K. Oubre (drawn by K. Durant)
5:59.0,,,80-65,1,K. Durant makes free throw 1 of 3
5:59.0,,,80-66,1,K. Durant makes free throw 2 of 3
5:59.0,,,80-67,1,K. Durant makes free throw 3 of 3
5:43.0,M. Gortat makes 2-pt shot from 6 ft (assist by O. Porter),2,82-67,,
5:25.0,,,82-69,2,K. Looney makes 2-pt shot from 2 ft
5:06.0,M. Gortat misses 2-pt shot from 1 ft (block by K. Looney),,82-69,,
5:02.0,,,82-69,,Defensive rebound by K. Durant
4:59.0,,,82-69,,O. Casspi misses 2-pt shot from 10 ft
4:57.0,,,82-69,,Offensive rebound by K. Durant
4:57.0,,,82-69,,K. Durant misses 2-pt shot at rim
4:57.0,Defensive rebound by M. Scott,,82-69,,
