time,Philadelphia,pts.away,score,pts.home,Washington
10:19.0,,,48-69,,Turnover by O. Porter (traveling)
10:08.0,Shooting foul by B. Beal (drawn by R. Covington),,48-69,,
10:08.0,R. Covington makes free throw 1 of 2,1,49-69,,
10:08.0,R. Covington makes free throw 2 of 2,1,50-69,,
10:00.0,,,50-69,,Shooting foul by J. Embiid (drawn by B. Beal)
10:00.0,,,50-70,1,B. Beal makes free throw 1 of 2
10:00.0,,,50-71,1,B. Beal makes free throw 2 of 2
9:44.0,J. Embiid misses 2-pt shot from 3 ft,,50-71,,
9:41.0,,,50-71,,Defensive rebound by T. Satoransky
9:24.0,,,50-71,,M. Morris misses 3-pt shot from 25 ft
9:19.0,,,50-71,,Offensive rebound by M. Gortat
9:19.0,,,50-71,,M. Gortat misses 2-pt shot at rim
9:18.0,Defensive rebound by R. Covington,,50-71,,
9:08.0,,,50-71,,Violation by M. Gortat (kicked ball)
9:00.0,Shooting foul by M. Gortat (drawn by J. Embiid),,50-71,,
9:00.0,J. Embiid makes free throw 1 of 2,1,51-71,,
9:00.0,J. Embiid makes free throw 2 of 2,1,52-71,,
8:44.0,,,52-71,,Turnover by B. Beal (bad pass; steal by J. Redick)
8:30.0,J. Redick misses 3-pt shot from 25 ft,,52-71,,
8:26.0,,,52-71,,Defensive rebound by M. Gortat
8:13.0,,,52-73,2,M. Gortat makes 2-pt shot from 2 ft (assist by O. Porter)
8:13.0,,,52-73,,Shooting foul by D. Saric (drawn by M. Gortat)
8:13.0,,,52-74,1,M. Gortat makes free throw 1 of 1
8:03.0,D. Saric misses 3-pt shot from 25 ft,,52-74,,
8:00.0,,,52-74,,Defensive rebound by M. Gortat
7:39.0,,,52-74,,Turnover by B. Beal (bad pass)
7:39.0,T. McConnell enters the game for J. Redick,,52-74,,
7:20.0,J. Embiid makes 2-pt shot from 16 ft,2,54-74,,
6:58.0,,,54-76,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
6:56.0,Philadelphia full timeout,,54-76,,
6:56.0,A. Johnson enters the game for J. Embiid,,54-76,,
6:41.0,,,54-76,,Personal foul by M. Morris (drawn by D. Saric)
6:36.0,D. Saric misses 3-pt shot from 25 ft,,54-76,,
6:33.0,,,54-76,,Defensive rebound by M. Gortat
6:10.0,,,54-76,,B. Beal misses 2-pt shot from 14 ft
6:06.0,,,54-76,,Offensive rebound by T. Satoransky
6:02.0,,,54-76,,Turnover by T. Satoransky (bad pass; steal by T. McConnell)
5:54.0,B. Simmons makes 2-pt shot at rim (assist by T. McConnell),2,56-76,,
5:45.0,,,56-76,,M. Gortat misses 2-pt shot from 13 ft
5:45.0,Defensive rebound by A. Johnson,,56-76,,
5:40.0,,,56-76,,Personal foul by O. Porter (drawn by R. Covington)
5:40.0,R. Covington makes free throw 1 of 2,1,57-76,,
5:40.0,M. Belinelli enters the game for D. Saric,,57-76,,
5:40.0,R. Covington makes free throw 2 of 2,1,58-76,,
5:26.0,,,58-78,2,O. Porter makes 2-pt shot from 12 ft (assist by B. Beal)
5:17.0,R. Covington misses 3-pt shot from 25 ft,,58-78,,
5:15.0,,,58-78,,Defensive rebound by O. Porter
5:10.0,,,58-78,,Turnover by O. Porter (bad pass; steal by T. McConnell)
5:05.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,60-78,,
4:42.0,,,60-78,,M. Gortat misses 2-pt shot from 13 ft
4:40.0,Defensive rebound by B. Simmons,,60-78,,
4:30.0,R. Covington misses 3-pt shot from 22 ft,,60-78,,
