time,Minnesota,pts.away,score,pts.home,Washington
3:45.0,,,76-80,,I. Mahinmi enters the game for M. Gortat
3:45.0,J. Crawford enters the game for N. Bjelica,,76-80,,
3:28.0,,,76-80,,O. Porter misses 3-pt shot from 23 ft
3:24.0,Defensive rebound by K. Towns,,76-80,,
3:21.0,Shooting foul by T. Satoransky (drawn by A. Wiggins),,76-80,,
3:21.0,A. Wiggins makes free throw 1 of 2,1,77-80,,
3:21.0,,,77-80,,R. Sessions enters the game for M. Morris
3:21.0,,,77-80,,M. Scott enters the game for T. Satoransky
3:21.0,A. Wiggins makes free throw 2 of 2,1,78-80,,
3:03.0,,,78-83,3,R. Sessions makes 3-pt shot from 22 ft (assist by M. Scott)
2:53.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,80-83,,
2:38.0,,,80-85,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal)
2:20.0,Turnover by A. Wiggins (bad pass; steal by R. Sessions),,80-85,,
2:11.0,,,80-85,,B. Beal misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by J. Crawford,,80-85,,
1:58.0,,,80-85,,Personal foul by I. Mahinmi (drawn by K. Towns)
1:58.0,,,80-85,,Washington full timeout
1:58.0,,,80-85,,J. Meeks enters the game for B. Beal
1:58.0,T. Jones enters the game for J. Teague,,80-85,,
1:58.0,K. Towns makes free throw 1 of 2,1,81-85,,
1:58.0,K. Towns makes free throw 2 of 2,1,82-85,,
1:38.0,,,82-85,,Turnover by R. Sessions (lost ball; steal by T. Jones)
1:29.0,J. Crawford misses 2-pt shot from 18 ft,,82-85,,
1:24.0,,,82-85,,Defensive rebound by I. Mahinmi
1:21.0,Violation by J. Crawford (kicked ball),,82-85,,
1:21.0,D. Rose enters the game for A. Wiggins,,82-85,,
1:21.0,G. Dieng enters the game for K. Towns,,82-85,,
1:02.0,,,82-85,,R. Sessions misses 2-pt shot from 1 ft
1:00.0,,,82-85,,Offensive rebound by M. Scott
1:00.0,,,82-87,2,M. Scott makes 2-pt shot from 1 ft
0:47.0,J. Crawford misses 2-pt shot from 20 ft,,82-87,,
0:40.0,Offensive rebound by T. Gibson,,82-87,,
0:38.0,Turnover by J. Crawford (step out of bounds),,82-87,,
0:26.0,,,82-87,,Shooting foul by T. Jones (drawn by R. Sessions)
0:26.0,,,82-88,1,R. Sessions makes free throw 1 of 2
0:26.0,K. Towns enters the game for T. Gibson,,82-88,,
0:26.0,N. Bjelica enters the game for G. Dieng,,82-88,,
0:26.0,,,82-88,,R. Sessions misses free throw 2 of 2
0:24.0,,,82-88,,Offensive rebound by R. Sessions
0:02.0,,,82-90,2,R. Sessions makes 2-pt shot from 15 ft
0:01.0,T. Jones misses 3-pt shot from 33 ft,,82-90,,
0:01.0,Offensive rebound by Team,,82-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,82-90,,M. Scott misses 3-pt shot from 25 ft
11:45.0,,,82-90,,Offensive rebound by Team
11:45.0,Personal foul by K. Towns (drawn by I. Mahinmi),,82-90,,
11:24.0,,,82-90,,R. Sessions misses 2-pt shot from 14 ft
11:19.0,,,82-90,,Offensive rebound by I. Mahinmi
11:12.0,Personal foul by T. Jones (drawn by M. Scott),,82-90,,
11:05.0,,,82-90,,R. Sessions misses 2-pt shot from 9 ft
11:01.0,Defensive rebound by K. Towns,,82-90,,
10:46.0,N. Bjelica makes 3-pt shot from 27 ft (assist by T. Jones),3,85-90,,
10:30.0,,,85-93,3,K. Oubre makes 3-pt shot from 24 ft (assist by R. Sessions)
10:09.0,D. Rose misses 3-pt shot from 23 ft,,85-93,,
10:05.0,,,85-93,,Defensive rebound by K. Oubre
9:51.0,,,85-95,2,M. Scott makes 2-pt shot at rim (assist by J. Meeks)
9:34.0,T. Jones makes 2-pt shot from 2 ft,2,87-95,,
9:34.0,Shooting foul by J. Meeks (drawn by T. Jones),,87-95,,
9:34.0,T. Jones makes free throw 1 of 1,1,88-95,,
9:22.0,Personal foul by J. Crawford (drawn by K. Oubre),,88-95,,
9:18.0,,,88-97,2,J. Meeks makes 2-pt shot from 12 ft (assist by R. Sessions)
9:04.0,D. Rose misses 2-pt shot from 15 ft,,88-97,,
8:58.0,Jump ball: I. Mahinmi vs. K. Towns (T. Jones gains possession),,,,Jump ball: I. Mahinmi vs. K. Towns (T. Jones gains possession)
8:58.0,Defensive rebound by Team,,88-97,,
8:52.0,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones),3,91-97,,
8:36.0,,,91-97,,Shooting foul by N. Bjelica (drawn by K. Oubre)
8:36.0,,,91-98,1,K. Oubre makes free throw 1 of 2
8:36.0,A. Wiggins enters the game for D. Rose,,91-98,,
8:36.0,,,91-98,,K. Oubre misses free throw 2 of 2
8:33.0,Defensive rebound by K. Towns,,91-98,,
8:16.0,N. Bjelica makes 2-pt shot at rim,2,93-98,,
8:01.0,,,93-98,,Turnover by K. Oubre (bad pass; steal by T. Jones)
8:01.0,,,93-98,,Personal foul by R. Sessions (drawn by J. Crawford)
8:01.0,,,93-98,,M. Morris enters the game for J. Meeks
8:01.0,,,93-98,,B. Beal enters the game for M. Scott
7:48.0,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Jones),2,95-98,,
7:25.0,,,95-98,,I. Mahinmi misses 2-pt shot from 2 ft (block by K. Towns)
7:22.0,Defensive rebound by K. Towns,,95-98,,
7:14.0,N. Bjelica makes 3-pt shot from 23 ft (assist by A. Wiggins),3,98-98,,
7:12.0,,,98-98,,Washington full timeout
7:12.0,,,98-98,,T. Satoransky enters the game for R. Sessions
7:12.0,,,98-98,,O. Porter enters the game for K. Oubre
6:56.0,,,98-98,,M. Morris misses 2-pt shot from 13 ft
6:53.0,,,98-98,,Offensive rebound by I. Mahinmi
6:50.0,,,98-98,,B. Beal misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by A. Wiggins,,98-98,,
6:38.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones),2,100-98,,
6:16.0,,,100-98,,T. Satoransky misses 2-pt shot from 3 ft
