time,Boston,pts.away,score,pts.home,Toronto
4:32.0,,,43-55,,Personal foul by D. DeRozan (drawn by S. Ojeleye)
4:32.0,S. Ojeleye makes free throw 1 of 2,1,44-55,,
4:32.0,S. Ojeleye makes free throw 2 of 2,1,45-55,,
4:18.0,,,45-55,,D. DeRozan misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by S. Ojeleye,,45-55,,
4:07.0,M. Morris misses 3-pt shot from 25 ft,,45-55,,
4:04.0,,,45-55,,Defensive rebound by N. Powell
3:55.0,,,45-57,2,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry)
3:42.0,T. Rozier misses 2-pt shot from 2 ft,,45-57,,
3:42.0,,,45-57,,Defensive rebound by Team
3:41.0,Loose ball foul by M. Morris (drawn by J. Poeltl),,45-57,,
3:31.0,,,45-60,3,K. Lowry makes 3-pt shot from 28 ft (assist by D. DeRozan)
3:13.0,Shooting foul by N. Powell (drawn by M. Morris),,45-60,,
3:13.0,M. Morris makes free throw 1 of 2,1,46-60,,
3:13.0,G. Monroe enters the game for T. Rozier,,46-60,,
3:13.0,K. Allen enters the game for A. Horford,,46-60,,
3:13.0,M. Morris misses free throw 2 of 2,,46-60,,
3:10.0,,,46-60,,Defensive rebound by N. Powell
3:00.0,,,46-60,,K. Lowry misses 3-pt shot from 27 ft
2:56.0,Defensive rebound by J. Tatum,,46-60,,
2:47.0,G. Monroe misses 2-pt shot from 5 ft,,46-60,,
2:45.0,,,46-60,,Defensive rebound by S. Ibaka
2:44.0,,,46-60,,Shooting foul by J. Tatum (drawn by K. Lowry)
2:44.0,Boston full timeout,,46-60,,
2:44.0,,,46-60,,D. Wright enters the game for S. Ibaka
2:44.0,,,46-60,,P. Siakam enters the game for N. Powell
2:44.0,,,46-60,,K. Lowry misses free throw 1 of 2
2:44.0,,,46-60,,Offensive rebound by Team
2:44.0,,,46-61,1,K. Lowry makes free throw 2 of 2
2:22.0,M. Morris misses 2-pt shot from 10 ft,,46-61,,
2:19.0,,,46-61,,Defensive rebound by P. Siakam
2:01.0,,,46-63,2,D. DeRozan makes 2-pt shot from 2 ft
1:45.0,Turnover by K. Allen (bad pass; steal by D. Wright),,46-63,,
1:41.0,Personal foul by K. Allen (drawn by J. Poeltl),,46-63,,
1:41.0,,,46-63,,F. VanVleet enters the game for K. Lowry
1:41.0,J. Brown enters the game for J. Tatum,,46-63,,
