time,Toronto,pts.away,score,pts.home,Washington
3:55.0,S. Ibaka misses free throw 2 of 2,,70-68,,
3:53.0,,,70-68,,Defensive rebound by O. Porter
3:36.0,,,70-68,,Turnover by K. Oubre (bad pass; steal by C. Miles)
3:32.0,D. DeRozan makes 2-pt shot from 2 ft (assist by C. Miles),2,72-68,,
3:32.0,Shooting foul by J. Wall (drawn by D. DeRozan),,72-68,,
3:32.0,D. DeRozan makes free throw 1 of 1,1,73-68,,
3:19.0,,,73-68,,T. Lawson misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by S. Ibaka,,73-68,,
3:11.0,Turnover by S. Ibaka (bad pass; steal by T. Lawson),,73-68,,
3:07.0,,,73-70,2,K. Oubre makes 2-pt shot from 3 ft (assist by O. Porter)
2:55.0,Offensive foul by C. Miles (drawn by K. Oubre),,73-70,,
2:55.0,Turnover by C. Miles (offensive foul),,73-70,,
2:55.0,,,73-70,,Washington full timeout
2:55.0,P. Siakam enters the game for O. Anunoby,,73-70,,
2:36.0,,,73-72,2,J. Wall makes 2-pt shot from 19 ft
2:15.0,C. Miles makes 2-pt shot from 2 ft,2,75-72,,
1:59.0,,,75-74,2,M. Scott makes 2-pt shot from 7 ft (assist by T. Lawson)
1:37.0,D. DeRozan misses 2-pt shot from 2 ft (block by M. Scott),,75-74,,
1:37.0,Offensive rebound by Team,,75-74,,
1:37.0,J. Poeltl enters the game for S. Ibaka,,75-74,,
1:31.0,D. Wright misses 3-pt shot from 22 ft,,75-74,,
1:29.0,,,75-74,,Defensive rebound by T. Lawson
1:21.0,,,75-74,,K. Oubre misses 2-pt shot from 1 ft
1:20.0,Defensive rebound by Team,,75-74,,
1:07.0,D. DeRozan makes 2-pt shot from 15 ft,2,77-74,,
0:53.0,,,77-74,,Shooting foul by C. Miles (drawn by J. Wall)
0:53.0,,,77-74,,J. Wall misses free throw 1 of 2
0:53.0,,,77-74,,Offensive rebound by Team
0:53.0,,,77-75,1,J. Wall makes free throw 2 of 2
0:37.0,D. DeRozan makes 3-pt shot from 25 ft,3,80-75,,
0:37.0,Shooting foul by M. Scott (drawn by D. DeRozan),,80-75,,
0:37.0,D. DeRozan misses free throw 1 of 1,,80-75,,
0:37.0,,,80-75,,Defensive rebound by K. Oubre
0:29.0,,,80-77,2,K. Oubre makes 2-pt shot at rim
0:29.0,,,80-77,,Shooting foul by C. Miles (drawn by K. Oubre)
0:29.0,,,80-78,1,K. Oubre makes free throw 1 of 1
0:14.0,D. DeRozan misses 2-pt shot from 1 ft (block by O. Porter),,80-78,,
0:14.0,,,80-78,,Defensive rebound by Team
0:00.0,,,80-80,2,M. Scott makes 2-pt shot from 17 ft (assist by J. Wall)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,80-80,,J. Wall misses 2-pt shot from 18 ft
11:34.0,Defensive rebound by C. Miles,,80-80,,
11:29.0,J. Poeltl misses 2-pt shot at rim,,80-80,,
11:26.0,Offensive rebound by J. Poeltl,,80-80,,
11:26.0,J. Poeltl makes 2-pt shot at rim,2,82-80,,
11:08.0,,,82-80,,M. Scott misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by P. Siakam,,82-80,,
10:42.0,K. Lowry misses 2-pt shot from 1 ft,,82-80,,
10:40.0,Offensive rebound by J. Poeltl,,82-80,,
10:35.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. Wright),2,84-80,,
10:14.0,,,84-80,,Turnover by J. Wall (out of bounds lost ball)
10:14.0,,,84-80,,B. Beal enters the game for O. Porter
10:01.0,K. Lowry makes 2-pt shot from 1 ft,2,86-80,,
10:01.0,,,86-80,,Washington full timeout
9:41.0,,,86-80,,Turnover by B. Beal (bad pass; steal by D. Wright)
9:37.0,D. Wright makes 2-pt shot from 1 ft,2,88-80,,
9:24.0,,,88-80,,B. Beal misses 3-pt shot from 24 ft
9:22.0,,,88-80,,Offensive rebound by Team
