time,Atlanta,pts.away,score,pts.home,Denver
10:40.0,,,85-78,,N. Jokic misses 2-pt shot from 5 ft
10:37.0,Defensive rebound by T. Dorsey,,85-78,,
10:24.0,T. Dorsey misses 2-pt shot from 4 ft (block by T. Lyles),,85-78,,
10:24.0,,,85-78,,Defensive rebound by Team
10:08.0,,,85-78,,Shooting foul by T. Dorsey (drawn by W. Chandler)
10:08.0,,,85-79,1,W. Chandler makes free throw 1 of 2
10:08.0,,,85-79,,W. Chandler misses free throw 2 of 2
10:03.0,Defensive rebound by K. Bazemore,,85-79,,
9:51.0,M. Muscala makes 2-pt shot from 2 ft,2,87-79,,
9:51.0,,,87-79,,Violation by N. Jokic (def goaltending)
9:35.0,Personal foul by M. Delaney (drawn by T. Lyles),,87-79,,
9:35.0,,,87-79,,G. Harris enters the game for N. Jokic
9:22.0,,,87-79,,W. Chandler misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by K. Bazemore,,87-79,,
9:10.0,T. Dorsey misses 3-pt shot from 24 ft,,87-79,,
9:08.0,,,87-79,,Defensive rebound by G. Harris
8:56.0,,,87-79,,Turnover by G. Harris (step out of bounds)
8:45.0,K. Bazemore misses 3-pt shot from 24 ft,,87-79,,
8:40.0,,,87-79,,Defensive rebound by J. Murray
8:30.0,Personal foul by M. Delaney (drawn by T. Lyles),,87-79,,
8:30.0,D. Schroder enters the game for T. Dorsey,,87-79,,
8:19.0,,,87-79,,W. Chandler misses 2-pt shot from 2 ft
8:16.0,,,87-79,,Offensive rebound by W. Chandler
8:16.0,,,87-79,,W. Chandler misses 2-pt shot at rim
8:16.0,Defensive rebound by M. Delaney,,87-79,,
8:13.0,,,87-79,,Personal foul by T. Lyles (drawn by M. Muscala)
8:13.0,D. Dedmon enters the game for M. Muscala,,87-79,,
8:13.0,,,87-79,,M. Plumlee enters the game for W. Chandler
8:00.0,D. Dedmon misses 2-pt shot from 4 ft,,87-79,,
7:58.0,,,87-79,,Defensive rebound by T. Lyles
7:40.0,,,87-81,2,W. Barton makes 2-pt shot from 1 ft (assist by M. Plumlee)
7:25.0,,,87-81,,Personal foul by J. Murray (drawn by E. Ilyasova)
7:25.0,T. Waller-Prince enters the game for K. Bazemore,,87-81,,
