time,LA Lakers,pts.away,score,pts.home,Washington
6:48.0,Shooting foul by M. Gortat (drawn by B. Ingram),,65-82,,
6:48.0,,,65-82,,Washington full timeout
6:48.0,,,65-82,,I. Mahinmi enters the game for M. Gortat
6:48.0,J. Randle enters the game for B. Lopez,,65-82,,
6:48.0,B. Ingram misses free throw 1 of 2,,65-82,,
6:48.0,Offensive rebound by Team,,65-82,,
6:48.0,B. Ingram makes free throw 2 of 2,1,66-82,,
6:33.0,,,66-82,,Shooting foul by B. Ingram (drawn by I. Mahinmi)
6:33.0,,,66-82,,I. Mahinmi misses free throw 1 of 2
6:33.0,,,66-82,,Offensive rebound by Team
6:33.0,,,66-83,1,I. Mahinmi makes free throw 2 of 2
6:24.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by L. Ball),2,68-83,,
6:06.0,Personal foul by B. Ingram (drawn by O. Porter),,68-83,,
6:04.0,Personal foul by K. Caldwell-Pope (drawn by O. Porter),,68-83,,
5:59.0,,,68-83,,O. Porter misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by K. Kuzma,,68-83,,
5:45.0,J. Randle misses 2-pt shot from 18 ft,,68-83,,
5:41.0,Offensive rebound by K. Caldwell-Pope,,68-83,,
5:30.0,Shooting foul by J. Wall (drawn by L. Ball),,68-83,,
5:30.0,L. Ball misses free throw 1 of 2,,68-83,,
5:30.0,Offensive rebound by Team,,68-83,,
5:30.0,L. Ball makes free throw 2 of 2,1,69-83,,
5:13.0,,,69-85,2,M. Morris makes 2-pt shot from 14 ft (assist by B. Beal)
5:02.0,L. Ball misses 2-pt shot from 3 ft,,69-85,,
4:59.0,,,69-85,,Defensive rebound by M. Morris
4:45.0,,,69-85,,Offensive charge foul by M. Morris (drawn by K. Caldwell-Pope)
4:45.0,,,69-85,,Turnover by M. Morris (offensive foul)
4:37.0,Turnover by K. Kuzma (traveling),,69-85,,
4:37.0,,,69-85,,K. Oubre enters the game for M. Morris
4:26.0,,,69-85,,J. Wall misses 2-pt shot from 19 ft
4:23.0,Defensive rebound by B. Ingram,,69-85,,
4:20.0,K. Kuzma misses 2-pt shot at rim (block by J. Wall),,69-85,,
4:20.0,,,69-85,,Defensive rebound by K. Oubre
4:18.0,,,69-85,,Turnover by K. Oubre (out of bounds lost ball)
4:18.0,J. Clarkson enters the game for L. Ball,,69-85,,
4:08.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,69-85,,
4:05.0,,,69-85,,Defensive rebound by K. Oubre
4:01.0,,,69-87,2,J. Wall makes 2-pt shot from 3 ft
3:46.0,B. Ingram misses 2-pt shot from 19 ft,,69-87,,
3:46.0,Offensive rebound by J. Randle,,69-87,,
3:40.0,J. Randle misses 2-pt shot from 1 ft,,69-87,,
3:40.0,,,69-87,,Defensive rebound by K. Oubre
3:33.0,,,69-87,,B. Beal misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by Team,,69-87,,
3:17.0,Turnover by B. Ingram (lost ball; steal by J. Wall),,69-87,,
3:09.0,,,69-87,,O. Porter misses 2-pt shot from 11 ft
3:04.0,Defensive rebound by J. Randle,,69-87,,
2:58.0,K. Kuzma misses 2-pt shot from 4 ft,,69-87,,
2:52.0,,,69-87,,Defensive rebound by J. Wall
2:39.0,,,69-89,2,J. Wall makes 2-pt shot from 16 ft
