time,New York,pts.away,score,pts.home,Orlando
0:32.0,,,93-90,3,E. Fournier makes 3-pt shot from 25 ft (assist by S. Mack)
0:25.0,T. Burke misses 2-pt shot from 11 ft,,93-90,,
0:21.0,,,93-90,,Defensive rebound by E. Fournier
0:02.0,,,93-90,,Turnover by S. Mack (bad pass; steal by T. Burke)
0:00.0,T. Burke misses 3-pt shot from 42 ft,,93-90,,
0:00.0,Offensive rebound by Team,,93-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,T. Burke makes 2-pt shot from 14 ft,2,95-90,,
11:18.0,,,95-92,2,M. Hezonja makes 2-pt shot from 10 ft (assist by S. Mack)
11:05.0,Turnover by T. Williams (bad pass; steal by M. Hezonja),,95-92,,
11:01.0,,,95-94,2,W. Iwundu makes 2-pt shot at rim (assist by A. Gordon)
10:34.0,Turnover by Team (shot clock),,95-94,,
10:17.0,,,95-94,,M. Hezonja misses 2-pt shot from 17 ft
10:14.0,Defensive rebound by L. Thomas,,95-94,,
10:05.0,F. Ntilikina misses 2-pt shot from 21 ft,,95-94,,
10:02.0,,,95-94,,Defensive rebound by B. Biyombo
9:54.0,,,95-96,2,S. Mack makes 2-pt shot from 2 ft
9:52.0,New York full timeout,,95-96,,
9:29.0,T. Williams misses 2-pt shot from 19 ft,,95-96,,
9:26.0,Offensive rebound by T. Burke,,95-96,,
9:24.0,T. Williams makes 2-pt shot from 1 ft (assist by T. Burke),2,97-96,,
9:06.0,,,97-96,,M. Hezonja misses 2-pt shot from 2 ft (block by K. O'Quinn)
9:05.0,,,97-96,,Offensive rebound by B. Biyombo
9:05.0,,,97-96,,B. Biyombo misses 2-pt shot from 3 ft (block by F. Ntilikina)
9:05.0,Defensive rebound by Team,,97-96,,
9:03.0,Jump ball: B. Biyombo vs. F. Ntilikina (L. Thomas gains possession),,,,Jump ball: B. Biyombo vs. F. Ntilikina (L. Thomas gains possession)
8:54.0,K. O'Quinn makes 2-pt shot from 20 ft (assist by T. Burke),2,99-96,,
8:31.0,,,99-96,,A. Gordon misses 3-pt shot from 28 ft
8:28.0,,,99-96,,Offensive rebound by Team
8:20.0,,,99-96,,M. Hezonja misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by F. Ntilikina,,99-96,,
8:14.0,K. O'Quinn makes 2-pt shot at rim (assist by T. Burke),2,101-96,,
8:10.0,,,101-96,,J. Simmons enters the game for A. Gordon
7:50.0,,,101-98,2,J. Simmons makes 2-pt shot from 3 ft (assist by M. Hezonja)
7:39.0,T. Burke makes 2-pt shot from 22 ft,2,103-98,,
7:11.0,,,103-98,,B. Biyombo misses 2-pt shot from 1 ft (block by L. Thomas)
7:11.0,,,103-98,,Offensive rebound by Team
7:11.0,,,103-98,,Orlando full timeout
7:11.0,,,103-98,,E. Fournier enters the game for W. Iwundu
7:08.0,,,103-98,,M. Hezonja misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by T. Burke,,103-98,,
6:54.0,Shooting foul by M. Hezonja (drawn by L. Thomas),,103-98,,
6:54.0,L. Thomas makes free throw 1 of 2,1,104-98,,
6:54.0,L. Thomas makes free throw 2 of 2,1,105-98,,
6:41.0,,,105-100,2,J. Simmons makes 2-pt shot from 6 ft
