time,LA Lakers,pts.away,score,pts.home,Dallas
4:08.0,K. Kuzma misses free throw 1 of 2,,88-89,,
4:08.0,Offensive rebound by Team,,88-89,,
4:08.0,K. Kuzma misses free throw 2 of 2,,88-89,,
4:05.0,,,88-89,,Defensive rebound by H. Barnes
3:55.0,,,88-89,,Y. Ferrell misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by I. Thomas,,88-89,,
3:39.0,B. Ingram misses 3-pt shot from 23 ft,,88-89,,
3:36.0,,,88-89,,Defensive rebound by D. Smith
3:25.0,,,88-91,2,D. Powell makes 2-pt shot from 1 ft (assist by H. Barnes)
2:59.0,J. Hart misses 3-pt shot from 25 ft,,88-91,,
2:55.0,Offensive rebound by J. Randle,,88-91,,
2:47.0,B. Ingram makes 3-pt shot from 25 ft (assist by J. Randle),3,91-91,,
2:34.0,,,91-91,,Y. Ferrell misses 2-pt shot from 22 ft
2:32.0,Defensive rebound by J. Randle,,91-91,,
2:22.0,B. Ingram misses 2-pt shot from 16 ft,,91-91,,
2:21.0,,,91-91,,Defensive rebound by Team
2:21.0,Loose ball foul by J. Randle (drawn by D. Powell),,91-91,,
2:21.0,C. Brewer enters the game for B. Ingram,,91-91,,
1:58.0,,,91-91,,Y. Ferrell misses 2-pt shot from 5 ft
1:57.0,,,91-91,,Offensive rebound by Team
1:57.0,,,91-91,,Turnover by Team (shot clock)
1:45.0,Shooting foul by D. Powell (drawn by J. Randle),,91-91,,
1:45.0,J. Randle misses free throw 1 of 2,,91-91,,
1:45.0,Offensive rebound by Team,,91-91,,
1:45.0,,,91-91,,D. Nowitzki enters the game for D. Smith
1:45.0,,,91-91,,D. McDermott enters the game for W. Matthews
1:45.0,,,91-91,,J. Barea enters the game for H. Barnes
1:45.0,J. Randle misses free throw 2 of 2,,91-91,,
1:42.0,,,91-91,,Defensive rebound by Y. Ferrell
1:29.0,,,91-91,,D. Nowitzki misses 2-pt shot from 13 ft
1:25.0,Defensive rebound by K. Kuzma,,91-91,,
1:19.0,J. Randle misses 2-pt shot from 17 ft,,91-91,,
1:17.0,,,91-91,,Defensive rebound by J. Barea
1:00.0,,,91-93,2,D. McDermott makes 2-pt shot from 1 ft (assist by D. Nowitzki)
0:57.0,,,91-93,,Personal foul by D. Nowitzki (drawn by J. Randle)
0:57.0,J. Randle makes free throw 1 of 2,1,92-93,,
0:57.0,J. Randle makes free throw 2 of 2,1,93-93,,
0:48.0,Personal foul by J. Randle (drawn by D. Nowitzki),,93-93,,
0:48.0,,,93-94,1,D. Nowitzki makes free throw 1 of 2
0:48.0,I. Zubac enters the game for J. Randle,,93-94,,
0:48.0,,,93-95,1,D. Nowitzki makes free throw 2 of 2
0:37.0,I. Thomas misses 2-pt shot from 22 ft,,93-95,,
0:35.0,,,93-95,,Defensive rebound by D. Powell
0:28.0,,,93-97,2,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea)
0:14.0,,,93-97,,Personal foul by Y. Ferrell (drawn by I. Thomas)
0:14.0,I. Thomas makes free throw 1 of 2,1,94-97,,
