time,Boston,pts.away,score,pts.home,Utah
4:09.0,,,58-69,,J. Jerebko enters the game for R. Rubio
4:09.0,A. Baynes enters the game for T. Rozier,,58-69,,
4:09.0,S. Larkin enters the game for A. Nader,,58-69,,
3:58.0,Shooting foul by J. Jerebko (drawn by J. Tatum),,58-69,,
3:58.0,J. Tatum makes free throw 1 of 2,1,59-69,,
3:58.0,J. Tatum makes free throw 2 of 2,1,60-69,,
3:52.0,,,60-69,,R. O'Neale misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by S. Ojeleye,,60-69,,
3:36.0,S. Ojeleye makes 2-pt shot from 1 ft (assist by G. Monroe),2,62-69,,
3:36.0,Shooting foul by R. Gobert (drawn by S. Ojeleye),,62-69,,
3:36.0,S. Ojeleye misses free throw 1 of 1,,62-69,,
3:36.0,,,62-69,,Defensive rebound by R. Gobert
3:10.0,,,62-69,,D. Mitchell misses 2-pt shot from 10 ft
3:07.0,Defensive rebound by A. Baynes,,62-69,,
2:53.0,J. Tatum misses 2-pt shot from 18 ft,,62-69,,
2:51.0,,,62-69,,Defensive rebound by J. Jerebko
2:40.0,,,62-69,,Turnover by J. Crowder (bad pass; steal by J. Tatum)
2:34.0,S. Ojeleye makes 3-pt shot from 23 ft (assist by J. Tatum),3,65-69,,
2:14.0,,,65-69,,D. Mitchell misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by G. Monroe,,65-69,,
1:59.0,G. Monroe misses 2-pt shot from 1 ft,,65-69,,
1:57.0,,,65-69,,Defensive rebound by R. Gobert
1:49.0,,,65-71,2,J. Crowder makes 2-pt shot from 2 ft (assist by D. Mitchell)
1:24.0,S. Ojeleye makes 2-pt shot from 14 ft (assist by J. Tatum),2,67-71,,
0:58.0,,,67-71,,D. Mitchell misses 3-pt shot from 27 ft
0:56.0,Defensive rebound by Team,,67-71,,
0:56.0,,,67-71,,J. Ingles enters the game for J. Jerebko
0:56.0,,,67-71,,D. Favors enters the game for R. Gobert
0:41.0,Offensive foul by A. Baynes (drawn by J. Crowder),,67-71,,
0:41.0,Turnover by A. Baynes (offensive foul),,67-71,,
0:33.0,,,67-71,,J. Crowder misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by S. Larkin,,67-71,,
0:17.0,Turnover by G. Monroe (bad pass),,67-71,,
0:00.0,,,67-71,,Turnover by D. Mitchell (bad pass; steal by G. Monroe)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,67-73,2,D. Favors makes 2-pt shot from 17 ft (assist by R. Rubio)
11:33.0,A. Baynes makes 2-pt shot from 1 ft,2,69-73,,
11:33.0,Shooting foul by J. Crowder (drawn by A. Baynes),,69-73,,
11:33.0,A. Baynes makes free throw 1 of 1,1,70-73,,
11:11.0,,,70-73,,Shooting foul by A. Baynes (drawn by R. Rubio)
11:11.0,,,70-73,,R. Rubio misses free throw 1 of 2
11:11.0,,,70-73,,Offensive rebound by Team
11:11.0,,,70-74,1,R. Rubio makes free throw 2 of 2
10:57.0,Turnover by A. Baynes (turnover),,70-74,,
10:47.0,,,70-74,,J. Ingles misses 3-pt shot from 24 ft
10:46.0,,,70-74,,Offensive rebound by J. Crowder
10:46.0,,,70-74,,J. Crowder misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by G. Monroe,,70-74,,
10:28.0,A. Baynes misses 2-pt shot from 10 ft,,70-74,,
10:26.0,,,70-74,,Defensive rebound by R. O'Neale
10:18.0,,,70-76,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Ingles)
10:02.0,J. Tatum misses 2-pt shot from 2 ft,,70-76,,
10:00.0,,,70-76,,Defensive rebound by D. Favors
9:54.0,,,70-76,,Turnover by R. Rubio (lost ball; steal by G. Monroe)
9:48.0,S. Larkin misses 3-pt shot from 24 ft,,70-76,,
9:44.0,,,70-76,,Defensive rebound by D. Favors
9:24.0,,,70-76,,J. Crowder misses 3-pt shot from 23 ft
9:22.0,,,70-76,,Offensive rebound by R. Rubio
9:12.0,,,70-76,,Shooting foul by G. Monroe (drawn by R. Rubio)
9:12.0,,,70-77,1,R. Rubio makes free throw 1 of 2
9:12.0,,,70-77,,R. Gobert enters the game for J. Crowder
9:12.0,J. Brown enters the game for J. Tatum,,70-77,,
9:12.0,T. Rozier enters the game for A. Baynes,,70-77,,
9:12.0,,,70-78,1,R. Rubio makes free throw 2 of 2
9:12.0,,,70-78,,D. Exum enters the game for D. Favors
9:02.0,Shooting foul by R. Rubio (drawn by G. Monroe),,70-78,,
9:02.0,G. Monroe misses free throw 1 of 2,,70-78,,
9:02.0,Offensive rebound by Team,,70-78,,
9:02.0,G. Monroe misses free throw 2 of 2,,70-78,,
9:00.0,Offensive rebound by J. Brown,,70-78,,
9:00.0,Shooting foul by J. Ingles (drawn by J. Brown),,70-78,,
9:00.0,J. Brown makes free throw 1 of 2,1,71-78,,
9:00.0,,,71-78,,D. Mitchell enters the game for R. Rubio
9:00.0,J. Brown makes free throw 2 of 2,1,72-78,,
