time,New Orleans,pts.away,score,pts.home,New York
4:26.0,,,67-80,,D. McDermott enters the game for L. Thomas
4:09.0,,,67-82,2,K. Porzingis makes 2-pt shot from 1 ft (assist by K. O'Quinn)
4:04.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,69-82,,
3:57.0,,,69-82,,Shooting foul by E. Moore (drawn by T. Hardaway)
3:57.0,,,69-83,1,T. Hardaway makes free throw 1 of 2
3:57.0,,,69-84,1,T. Hardaway makes free throw 2 of 2
3:46.0,R. Rondo makes 2-pt shot from 1 ft,2,71-84,,
3:37.0,,,71-87,3,T. Hardaway makes 3-pt shot from 26 ft (assist by F. Ntilikina)
3:29.0,A. Davis makes 2-pt shot from 17 ft,2,73-87,,
3:11.0,,,73-90,3,K. Porzingis makes 3-pt shot from 28 ft (assist by F. Ntilikina)
2:58.0,A. Davis misses 2-pt shot from 16 ft,,73-90,,
2:57.0,Offensive rebound by D. Cunningham,,73-90,,
2:53.0,D. Miller makes 2-pt shot from 16 ft,2,75-90,,
2:30.0,,,75-90,,Shooting foul by D. Miller (drawn by K. O'Quinn)
2:30.0,,,75-91,1,K. O'Quinn makes free throw 1 of 2
2:30.0,,,75-92,1,K. O'Quinn makes free throw 2 of 2
2:18.0,E. Moore makes 2-pt shot from 2 ft,2,77-92,,
2:08.0,,,77-92,,Turnover by T. Hardaway (bad pass)
2:08.0,I. Clark enters the game for R. Rondo,,77-92,,
2:08.0,J. Holiday enters the game for E. Moore,,77-92,,
1:56.0,Turnover by D. Miller (bad pass; steal by T. Hardaway),,77-92,,
1:54.0,,,77-94,2,T. Hardaway makes 2-pt shot at rim
1:35.0,A. Davis misses 2-pt shot from 5 ft,,77-94,,
1:33.0,,,77-94,,Defensive rebound by K. O'Quinn
1:22.0,,,77-96,2,T. Hardaway makes 2-pt shot from 12 ft (assist by D. McDermott)
1:12.0,J. Holiday misses 2-pt shot from 1 ft,,77-96,,
1:10.0,,,77-96,,Defensive rebound by D. McDermott
0:55.0,,,77-96,,K. Porzingis misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by I. Clark,,77-96,,
0:46.0,A. Davis makes 3-pt shot from 25 ft (assist by I. Clark),3,80-96,,
0:28.0,,,80-96,,Turnover by T. Hardaway (lost ball; steal by J. Holiday)
0:15.0,Shooting foul by K. O'Quinn (drawn by A. Davis),,80-96,,
0:15.0,A. Davis makes free throw 1 of 2,1,81-96,,
0:15.0,A. Davis makes free throw 2 of 2,1,82-96,,
0:01.0,,,82-96,,T. Hardaway misses 3-pt shot from 25 ft
0:01.0,,,82-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,82-96,,M. Beasley misses 2-pt shot from 15 ft
11:47.0,,,82-96,,Offensive rebound by K. O'Quinn
11:42.0,,,82-96,,L. Thomas misses 2-pt shot from 3 ft
11:41.0,Defensive rebound by A. Davis,,82-96,,
11:21.0,Shooting foul by K. O'Quinn (drawn by D. Cousins),,82-96,,
11:21.0,D. Cousins makes free throw 1 of 2,1,83-96,,
11:21.0,D. Cousins makes free throw 2 of 2,1,84-96,,
11:04.0,,,84-96,,Turnover by F. Ntilikina (bad pass; steal by J. Holiday)
11:00.0,Turnover by J. Holiday (bad pass),,84-96,,
10:41.0,,,84-96,,K. O'Quinn misses 2-pt shot from 4 ft (block by A. Davis)
10:39.0,Defensive rebound by I. Clark,,84-96,,
10:26.0,Jump ball: L. Thomas vs. D. Cousins (I. Clark gains possession),,,,Jump ball: L. Thomas vs. D. Cousins (I. Clark gains possession)
10:24.0,I. Clark misses 3-pt shot from 25 ft,,84-96,,
10:23.0,Offensive rebound by A. Davis,,84-96,,
10:21.0,Shooting foul by M. Beasley (drawn by A. Davis),,84-96,,
10:21.0,A. Davis makes free throw 1 of 2,1,85-96,,
10:21.0,A. Davis makes free throw 2 of 2,1,86-96,,
9:58.0,,,86-96,,C. Lee misses 2-pt shot from 12 ft (block by D. Cousins)
9:57.0,,,86-96,,Offensive rebound by Team
9:56.0,,,86-96,,Turnover by Team (shot clock)
9:39.0,E. Moore misses 2-pt shot from 1 ft,,86-96,,
9:37.0,,,86-96,,Defensive rebound by F. Ntilikina
9:32.0,,,86-98,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by M. Beasley)
9:14.0,D. Cousins misses 2-pt shot at rim,,86-98,,
9:11.0,,,86-98,,Defensive rebound by F. Ntilikina
9:01.0,,,86-98,,Turnover by M. Beasley (bad pass; steal by D. Cousins)
8:53.0,I. Clark makes 2-pt shot from 12 ft (assist by D. Cousins),2,88-98,,
8:35.0,,,88-98,,M. Beasley misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by D. Cousins,,88-98,,
8:23.0,A. Davis makes 2-pt shot from 21 ft,2,90-98,,
8:19.0,,,90-98,,New York full timeout
8:19.0,,,90-98,,K. Porzingis enters the game for K. O'Quinn
8:19.0,,,90-98,,E. Kanter enters the game for F. Ntilikina
8:19.0,,,90-98,,J. Jack enters the game for M. Beasley
7:59.0,,,90-100,2,E. Kanter makes 2-pt shot from 14 ft (assist by C. Lee)
7:44.0,J. Holiday makes 3-pt shot from 25 ft,3,93-100,,
7:19.0,,,93-100,,E. Kanter misses 2-pt shot from 12 ft (block by D. Cousins)
7:17.0,,,93-100,,Offensive rebound by L. Thomas
7:16.0,,,93-100,,L. Thomas misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by J. Holiday,,93-100,,
7:07.0,A. Davis misses 3-pt shot from 25 ft,,93-100,,
7:06.0,,,93-100,,Defensive rebound by E. Kanter
6:54.0,,,93-100,,K. Porzingis misses 2-pt shot from 13 ft (block by A. Davis)
