time,LA Clippers,pts.away,score,pts.home,Orlando
4:12.0,,,96-81,,N. Vucevic misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by S. Dekker,,96-81,,
4:08.0,J. Evans misses 2-pt shot from 1 ft,,96-81,,
4:08.0,,,96-81,,Defensive rebound by Team
4:03.0,,,96-83,2,J. Simmons makes 2-pt shot from 10 ft
3:48.0,Shooting foul by J. Simmons (drawn by L. Williams),,96-83,,
3:48.0,L. Williams makes free throw 1 of 3,1,97-83,,
3:48.0,L. Williams misses free throw 2 of 3,,97-83,,
3:48.0,Offensive rebound by Team,,97-83,,
3:48.0,L. Williams makes free throw 3 of 3,1,98-83,,
3:37.0,,,98-86,3,M. Hezonja makes 3-pt shot from 26 ft (assist by E. Payton)
3:21.0,L. Williams makes 2-pt shot from 2 ft,2,100-86,,
