time,Portland,pts.away,score,pts.home,New York
2:03.0,Defensive rebound by N. Vonleh,,46-35,,
1:43.0,S. Napier makes 3-pt shot from 25 ft,3,49-35,,
1:20.0,,,49-35,,K. Porzingis misses 2-pt shot from 12 ft
1:17.0,Defensive rebound by N. Vonleh,,49-35,,
1:13.0,Turnover by D. Lillard (traveling),,49-35,,
1:13.0,P. Connaughton enters the game for S. Napier,,49-35,,
1:03.0,,,49-35,,J. Jack misses 2-pt shot from 7 ft
0:58.0,Defensive rebound by C. McCollum,,49-35,,
0:45.0,J. Nurkic makes 2-pt shot from 18 ft (assist by C. McCollum),2,51-35,,
0:37.0,,,51-35,,K. Porzingis misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by C. McCollum,,51-35,,
0:28.0,C. McCollum misses 2-pt shot from 10 ft,,51-35,,
0:25.0,,,51-35,,Defensive rebound by K. O'Quinn
0:05.0,,,51-37,2,T. Hardaway makes 2-pt shot from 3 ft
0:00.0,N. Vonleh makes 2-pt shot from 18 ft (assist by P. Connaughton),2,53-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-37,,K. O'Quinn misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by J. Nurkic,,53-37,,
11:32.0,Shooting foul by K. Porzingis (drawn by N. Vonleh),,53-37,,
11:32.0,N. Vonleh makes free throw 1 of 2,1,54-37,,
11:32.0,N. Vonleh makes free throw 2 of 2,1,55-37,,
11:18.0,,,55-39,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by J. Jack)
10:56.0,,,55-39,,Violation by T. Hardaway (kicked ball)
10:47.0,D. Lillard makes 3-pt shot from 26 ft,3,58-39,,
10:28.0,,,58-41,2,T. Hardaway makes 2-pt shot from 15 ft (assist by J. Jack)
10:07.0,P. Connaughton makes 3-pt shot from 24 ft (assist by D. Lillard),3,61-41,,
10:01.0,Personal foul by N. Vonleh (drawn by K. Porzingis),,61-41,,
9:56.0,,,61-41,,J. Jack misses 2-pt shot from 20 ft
9:55.0,Defensive rebound by Team,,61-41,,
9:40.0,D. Lillard makes 2-pt shot from 21 ft (assist by J. Nurkic),2,63-41,,
9:25.0,Personal foul by N. Vonleh (drawn by K. Porzingis),,63-41,,
9:17.0,,,63-41,,Shooting foul by P. Connaughton (drawn by C. Lee)
9:17.0,,,63-42,1,C. Lee makes free throw 1 of 2
9:17.0,,,63-43,1,C. Lee makes free throw 2 of 2
8:58.0,J. Nurkic misses 2-pt shot from 9 ft,,63-43,,
8:56.0,,,63-43,,Defensive rebound by K. O'Quinn
8:44.0,,,63-45,2,K. Porzingis makes 2-pt shot from 13 ft
8:31.0,P. Connaughton makes 3-pt shot from 25 ft (assist by D. Lillard),3,66-45,,
8:17.0,,,66-47,2,T. Hardaway makes 2-pt shot from 19 ft
8:05.0,D. Lillard makes 2-pt shot from 9 ft,2,68-47,,
7:45.0,,,68-50,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Jack)
7:30.0,D. Lillard makes 2-pt shot at rim,2,70-50,,
7:17.0,,,70-50,,T. Hardaway misses 2-pt shot from 16 ft
7:14.0,Defensive rebound by N. Vonleh,,70-50,,
7:11.0,,,70-50,,Personal foul by T. Hardaway (drawn by C. McCollum)
7:11.0,,,70-50,,R. Sessions enters the game for J. Jack
7:05.0,C. McCollum makes 3-pt shot from 25 ft,3,73-50,,
6:46.0,,,73-52,2,C. Lee makes 2-pt shot from 14 ft (assist by K. O'Quinn)
6:46.0,,,73-52,,Shooting foul by P. Connaughton (drawn by C. Lee)
6:46.0,,,73-52,,New York full timeout
6:46.0,,,73-53,1,C. Lee makes free throw 1 of 1
6:22.0,Turnover by Team (shot clock),,73-53,,
6:11.0,,,73-53,,R. Sessions misses 2-pt shot from 4 ft
6:09.0,,,73-53,,Offensive rebound by K. O'Quinn
6:08.0,,,73-53,,K. O'Quinn misses 2-pt shot from 2 ft
6:05.0,,,73-53,,Offensive rebound by K. O'Quinn
6:04.0,,,73-55,2,K. O'Quinn makes 2-pt shot from 3 ft
5:38.0,J. Nurkic makes 2-pt shot from 9 ft,2,75-55,,
5:21.0,,,75-57,2,C. Lee makes 2-pt shot from 12 ft (assist by K. O'Quinn)
5:08.0,P. Connaughton makes 2-pt shot at rim (assist by J. Nurkic),2,77-57,,
4:52.0,,,77-59,2,K. Porzingis makes 2-pt shot from 12 ft
4:39.0,P. Connaughton makes 2-pt shot from 1 ft (assist by J. Nurkic),2,79-59,,
4:27.0,,,79-59,,R. Sessions misses 2-pt shot at rim
4:27.0,Defensive rebound by J. Nurkic,,79-59,,
4:19.0,C. McCollum misses 2-pt shot from 2 ft (block by K. Porzingis),,79-59,,
4:19.0,,,79-59,,Defensive rebound by R. Sessions
4:14.0,,,79-59,,T. Hardaway misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by D. Lillard,,79-59,,
4:03.0,Turnover by N. Vonleh (lost ball; steal by T. Hardaway),,79-59,,
4:00.0,,,79-59,,T. Hardaway misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by P. Connaughton,,79-59,,
3:46.0,J. Nurkic makes 2-pt shot from 12 ft (assist by D. Lillard),2,81-59,,
3:32.0,,,81-61,2,R. Sessions makes 2-pt shot from 2 ft
3:31.0,Portland full timeout,,81-61,,
3:31.0,,,81-61,,D. McDermott enters the game for T. Hardaway
3:31.0,,,81-61,,W. Hernangomez enters the game for K. O'Quinn
3:31.0,E. Davis enters the game for C. McCollum,,81-61,,
3:31.0,E. Turner enters the game for J. Nurkic,,81-61,,
3:16.0,E. Davis misses 2-pt shot from 3 ft,,81-61,,
3:14.0,,,81-61,,Defensive rebound by K. Porzingis
3:08.0,,,81-61,,K. Porzingis misses 2-pt shot from 1 ft
3:08.0,,,81-61,,Offensive rebound by K. Porzingis
3:01.0,,,81-61,,K. Porzingis misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by N. Vonleh,,81-61,,
2:51.0,Shooting foul by C. Lee (drawn by D. Lillard),,81-61,,
2:51.0,D. Lillard makes free throw 1 of 2,1,82-61,,
2:51.0,S. Napier enters the game for P. Connaughton,,82-61,,
2:51.0,D. Lillard makes free throw 2 of 2,1,83-61,,
2:36.0,,,83-61,,C. Lee misses 2-pt shot from 17 ft
2:33.0,Defensive rebound by E. Turner,,83-61,,
2:26.0,E. Turner misses 2-pt shot from 9 ft,,83-61,,
2:23.0,Offensive rebound by E. Davis,,83-61,,
2:23.0,Shooting foul by D. McDermott (drawn by N. Vonleh),,83-61,,
2:23.0,N. Vonleh misses free throw 1 of 2,,83-61,,
2:23.0,Offensive rebound by Team,,83-61,,
2:23.0,,,83-61,,M. Beasley enters the game for K. Porzingis
2:23.0,N. Vonleh makes free throw 2 of 2,1,84-61,,
2:10.0,,,84-61,,Turnover by W. Hernangomez (bad pass; steal by D. Lillard)
2:07.0,Shooting foul by M. Beasley (drawn by D. Lillard),,84-61,,
2:07.0,D. Lillard makes free throw 1 of 2,1,85-61,,
2:07.0,M. Harkless enters the game for N. Vonleh,,85-61,,
2:07.0,D. Lillard makes free throw 2 of 2,1,86-61,,
1:49.0,,,86-61,,Shooting foul by E. Davis (drawn by W. Hernangomez)
1:49.0,,,86-62,1,W. Hernangomez makes free throw 1 of 2
1:49.0,,,86-62,,W. Hernangomez misses free throw 2 of 2
1:47.0,Defensive rebound by E. Davis,,86-62,,
1:33.0,D. Lillard misses 2-pt shot from 11 ft,,86-62,,
1:30.0,,,86-62,,Defensive rebound by R. Sessions
1:25.0,,,86-64,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by R. Sessions)
1:06.0,,,86-64,,Personal foul by W. Hernangomez (drawn by D. Lillard)
1:06.0,D. Lillard makes free throw 1 of 2,1,87-64,,
1:06.0,D. Lillard makes free throw 2 of 2,1,88-64,,
0:49.0,,,88-64,,Turnover by R. Sessions (bad pass; steal by M. Harkless)
0:33.0,D. Lillard misses 2-pt shot from 2 ft (block by W. Hernangomez),,88-64,,
0:31.0,,,88-64,,Defensive rebound by M. Beasley
0:29.0,,,88-64,,Turnover by M. Beasley (bad pass; steal by S. Napier)
0:26.0,D. Lillard makes 2-pt shot from 1 ft (assist by S. Napier),2,90-64,,
0:05.0,,,90-64,,Turnover by R. Sessions (bad pass; steal by S. Napier)
0:01.0,M. Harkless misses 2-pt shot from 2 ft,,90-64,,
0:00.0,,,90-64,,Defensive rebound by M. Beasley
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. McCollum misses 2-pt shot from 12 ft,,90-64,,
11:40.0,,,90-64,,Defensive rebound by M. Beasley
11:23.0,,,90-64,,M. Beasley misses 2-pt shot from 15 ft
11:21.0,,,90-64,,Offensive rebound by M. Beasley
11:18.0,,,90-66,2,M. Beasley makes 2-pt shot from 5 ft
10:54.0,M. Harkless misses 3-pt shot from 22 ft,,90-66,,
10:51.0,,,90-66,,Defensive rebound by W. Hernangomez
10:39.0,,,90-68,2,M. Beasley makes 2-pt shot from 12 ft
10:22.0,C. McCollum misses 2-pt shot from 10 ft,,90-68,,
10:21.0,,,90-68,,Defensive rebound by F. Ntilikina
10:16.0,,,90-68,,T. Hardaway misses 2-pt shot from 2 ft (block by E. Turner)
10:13.0,,,90-68,,Offensive rebound by T. Hardaway
10:11.0,,,90-68,,T. Hardaway misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by E. Turner,,90-68,,
9:59.0,Turnover by C. McCollum (traveling),,90-68,,
9:44.0,,,90-68,,F. Ntilikina misses 2-pt shot from 10 ft
9:44.0,,,90-68,,Offensive rebound by Team
9:44.0,Loose ball foul by E. Davis (drawn by W. Hernangomez),,90-68,,
9:36.0,,,90-70,2,F. Ntilikina makes 2-pt shot from 20 ft
9:16.0,,,90-70,,Personal foul by T. Hardaway (drawn by C. McCollum)
