time,Toronto,pts.away,score,pts.home,Orlando
5:11.0,D. DeRozan enters the game for D. Wright,,101-97,,
5:11.0,,,101-97,,E. Fournier enters the game for S. Mack
5:03.0,,,101-97,,D. Augustin misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by J. Poeltl,,101-97,,
4:52.0,P. Siakam makes 2-pt shot from 10 ft,2,103-97,,
4:36.0,,,103-97,,Turnover by N. Vucevic (bad pass)
4:23.0,F. VanVleet makes 3-pt shot from 23 ft (assist by K. Lowry),3,106-97,,
4:05.0,,,106-97,,Shooting foul by J. Poeltl (drawn by E. Fournier)
4:05.0,,,106-98,1,E. Fournier makes free throw 1 of 2
4:05.0,,,106-98,,E. Fournier misses free throw 2 of 2
4:03.0,Defensive rebound by J. Poeltl,,106-98,,
4:03.0,Toronto full timeout,,106-98,,
