time,New Orleans,pts.away,score,pts.home,Golden State
4:52.0,Shooting foul by K. Durant (drawn by A. Davis),,90-105,,
4:52.0,A. Davis misses free throw 1 of 2,,90-105,,
4:52.0,Offensive rebound by Team,,90-105,,
4:52.0,A. Davis makes free throw 2 of 2,1,91-105,,
4:28.0,,,91-105,,K. Looney misses 2-pt shot from 8 ft
4:27.0,Defensive rebound by N. Mirotic,,91-105,,
4:09.0,Shooting foul by K. Looney (drawn by A. Davis),,91-105,,
4:09.0,A. Davis misses free throw 1 of 2,,91-105,,
4:09.0,Offensive rebound by Team,,91-105,,
4:09.0,A. Davis makes free throw 2 of 2,1,92-105,,
3:53.0,,,92-107,2,D. Green makes 2-pt shot from 2 ft (assist by K. Looney)
3:27.0,J. Holiday makes 2-pt shot from 14 ft,2,94-107,,
3:08.0,,,94-107,,K. Durant misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by A. Davis,,94-107,,
2:57.0,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Holiday),2,96-107,,
2:39.0,,,96-107,,D. Green misses 2-pt shot from 5 ft (block by A. Davis)
2:38.0,Defensive rebound by Team,,96-107,,
2:38.0,,,96-107,,K. Thompson enters the game for Q. Cook
2:26.0,J. Holiday makes 2-pt shot from 5 ft,2,98-107,,
2:10.0,,,98-107,,Turnover by S. Curry (lost ball; steal by I. Clark)
2:04.0,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday),2,100-107,,
1:40.0,,,100-109,2,D. Green makes 2-pt shot from 17 ft (assist by K. Durant)
