time,Milwaukee,pts.away,score,pts.home,Washington
7:37.0,Turnover by G. Antetokounmpo (traveling),,56-58,,
7:22.0,,,56-58,,J. Wall misses 2-pt shot from 20 ft
7:19.0,Defensive rebound by G. Antetokounmpo,,56-58,,
7:08.0,Turnover by E. Bledsoe (bad pass; steal by O. Porter),,56-58,,
7:04.0,,,56-58,,K. Oubre misses 2-pt shot from 1 ft
7:01.0,,,56-58,,Offensive rebound by O. Porter
7:01.0,,,56-60,2,O. Porter makes 2-pt shot at rim
7:01.0,Milwaukee full timeout,,56-60,,
6:46.0,M. Brogdon misses 3-pt shot from 26 ft,,56-60,,
6:42.0,Offensive rebound by J. Henson,,56-60,,
6:39.0,J. Henson makes 2-pt shot from 1 ft,2,58-60,,
6:17.0,,,58-60,,Turnover by B. Beal (bad pass; steal by K. Middleton)
6:10.0,,,58-60,,Personal foul by K. Oubre (drawn by E. Bledsoe)
6:03.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,60-60,,
5:40.0,Personal foul by G. Antetokounmpo (drawn by O. Porter),,60-60,,
5:40.0,Personal foul by M. Brogdon (drawn by B. Beal),,60-60,,
5:36.0,,,60-60,,B. Beal misses 3-pt shot from 25 ft
5:29.0,Jump ball: O. Porter vs. G. Antetokounmpo,,,,Jump ball: O. Porter vs. G. Antetokounmpo
5:29.0,,,60-60,,Offensive rebound by Team
5:20.0,,,60-60,,Turnover by O. Porter (bad pass)
5:05.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by K. Middleton),2,62-60,,
5:05.0,Shooting foul by O. Porter (drawn by G. Antetokounmpo),,62-60,,
5:05.0,G. Antetokounmpo makes free throw 1 of 1,1,63-60,,
4:46.0,,,63-63,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
4:21.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,65-63,,
4:19.0,,,65-63,,Washington full timeout
4:19.0,,,65-63,,M. Scott enters the game for O. Porter
4:07.0,,,65-63,,B. Beal misses 2-pt shot from 5 ft
4:03.0,Defensive rebound by J. Henson,,65-63,,
4:00.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Brogdon),3,68-63,,
3:42.0,,,68-63,,M. Scott misses 2-pt shot from 7 ft
3:42.0,,,68-63,,Offensive rebound by M. Gortat
3:42.0,,,68-63,,M. Gortat misses 2-pt shot from 4 ft
3:42.0,Defensive rebound by K. Middleton,,68-63,,
3:35.0,E. Bledsoe makes 3-pt shot from 27 ft (assist by K. Middleton),3,71-63,,
3:22.0,,,71-63,,B. Beal misses 3-pt shot from 25 ft
3:18.0,,,71-63,,Offensive rebound by M. Gortat
3:11.0,Personal foul by M. Brogdon (drawn by J. Wall),,71-63,,
3:11.0,,,71-63,,T. Satoransky enters the game for M. Gortat
