time,Milwaukee,pts.away,score,pts.home,Boston
6:16.0,Milwaukee full timeout,,80-95,,
6:16.0,,,80-95,,M. Smart enters the game for S. Larkin
6:16.0,J. Parker enters the game for T. Maker,,80-95,,
6:01.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,80-95,,
6:01.0,G. Antetokounmpo makes free throw 1 of 2,1,81-95,,
6:01.0,,,81-95,,S. Ojeleye enters the game for M. Morris
6:01.0,G. Antetokounmpo makes free throw 2 of 2,1,82-95,,
5:45.0,,,82-98,3,T. Rozier makes 3-pt shot from 26 ft (assist by M. Smart)
5:33.0,Turnover by E. Bledsoe (step out of bounds),,82-98,,
5:19.0,,,82-101,3,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart)
5:17.0,Milwaukee full timeout,,82-101,,
5:17.0,J. Terry enters the game for E. Bledsoe,,82-101,,
5:08.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,82-101,,
5:06.0,,,82-101,,Defensive rebound by T. Rozier
4:44.0,,,82-101,,S. Ojeleye misses 3-pt shot from 23 ft
4:42.0,Defensive rebound by M. Brogdon,,82-101,,
4:38.0,Turnover by M. Brogdon (lost ball; steal by A. Horford),,82-101,,
4:31.0,,,82-101,,J. Tatum misses 3-pt shot from 22 ft
4:29.0,,,82-101,,Offensive rebound by T. Rozier
4:15.0,,,82-101,,A. Horford misses 2-pt shot from 13 ft
4:13.0,Defensive rebound by J. Parker,,82-101,,
4:07.0,J. Parker misses 3-pt shot from 25 ft,,82-101,,
4:03.0,Offensive rebound by J. Terry,,82-101,,
4:03.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Terry),3,85-101,,
4:03.0,Shooting foul by A. Horford (drawn by K. Middleton),,85-101,,
4:03.0,K. Middleton makes free throw 1 of 1,1,86-101,,
3:51.0,,,86-103,2,J. Tatum makes 2-pt shot from 2 ft (assist by T. Rozier)
3:39.0,K. Middleton misses 2-pt shot from 3 ft (block by M. Smart),,86-103,,
3:39.0,Offensive rebound by Team,,86-103,,
3:36.0,Jump ball: M. Smart vs. K. Middleton (G. Antetokounmpo gains possession),,,,Jump ball: M. Smart vs. K. Middleton (G. Antetokounmpo gains possession)
3:33.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,86-103,,
3:30.0,,,86-103,,Defensive rebound by J. Tatum
3:14.0,,,86-103,,Turnover by A. Horford (lost ball; steal by J. Parker)
