time,Cleveland,pts.away,score,pts.home,Boston
3:30.0,Defensive rebound by D. Wade,,61-77,,
3:19.0,J. Green misses 2-pt shot from 1 ft,,61-77,,
3:14.0,,,61-77,,Defensive rebound by K. Irving
3:12.0,,,61-77,,K. Irving misses 3-pt shot from 26 ft
3:11.0,,,61-77,,Offensive rebound by J. Brown
3:11.0,,,61-77,,J. Brown misses 2-pt shot at rim
3:10.0,Defensive rebound by L. James,,61-77,,
3:06.0,Shooting foul by M. Smart (drawn by J. Green),,61-77,,
3:06.0,J. Green makes free throw 1 of 2,1,62-77,,
3:06.0,,,62-77,,T. Rozier enters the game for K. Irving
3:06.0,,,62-77,,A. Baynes enters the game for A. Horford
3:06.0,J. Green makes free throw 2 of 2,1,63-77,,
2:48.0,,,63-77,,M. Smart misses 3-pt shot from 27 ft
2:44.0,Defensive rebound by L. James,,63-77,,
2:38.0,L. James misses 2-pt shot from 2 ft,,63-77,,
2:36.0,,,63-77,,Defensive rebound by M. Smart
2:33.0,,,63-77,,Turnover by M. Smart (traveling)
2:33.0,,,63-77,,Boston full timeout
2:33.0,,,63-77,,A. Horford enters the game for A. Baynes
2:33.0,K. Love enters the game for T. Thompson,,63-77,,
2:17.0,K. Korver makes 3-pt shot from 24 ft (assist by L. James),3,66-77,,
2:02.0,,,66-79,2,J. Brown makes 2-pt shot from 1 ft (assist by S. Ojeleye)
1:42.0,J. Green misses 2-pt shot from 6 ft (block by T. Rozier),,66-79,,
1:38.0,,,66-79,,Defensive rebound by M. Smart
1:30.0,,,66-79,,M. Smart misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by K. Love,,66-79,,
1:16.0,D. Wade misses 3-pt shot from 25 ft,,66-79,,
1:16.0,,,66-79,,Defensive rebound by A. Horford
1:10.0,,,66-81,2,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart)
0:54.0,J. Green makes 2-pt shot from 3 ft,2,68-81,,
0:33.0,,,68-81,,Offensive charge foul by T. Rozier (drawn by J. Green)
0:33.0,,,68-81,,Turnover by T. Rozier (offensive foul)
0:33.0,,,68-81,,M. Morris enters the game for T. Rozier
0:33.0,J. Crowder enters the game for K. Love,,68-81,,
0:25.0,L. James misses 2-pt shot at rim,,68-81,,
0:23.0,,,68-81,,Defensive rebound by A. Horford
0:01.0,,,68-81,,M. Smart misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by J. Crowder,,68-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,68-83,2,T. Rozier makes 2-pt shot from 1 ft (assist by M. Morris)
11:32.0,D. Wade misses 2-pt shot from 17 ft,,68-83,,
11:30.0,,,68-83,,Defensive rebound by T. Rozier
11:24.0,,,68-83,,T. Rozier misses 3-pt shot from 26 ft
11:23.0,,,68-83,,Offensive rebound by Team
11:23.0,Loose ball foul by T. Thompson (drawn by A. Baynes),,68-83,,
11:14.0,,,68-83,,M. Morris misses 2-pt shot from 16 ft
11:12.0,Defensive rebound by K. Korver,,68-83,,
11:04.0,D. Wade misses 2-pt shot from 11 ft,,68-83,,
11:02.0,,,68-83,,Defensive rebound by A. Baynes
10:54.0,,,68-85,2,J. Tatum makes 2-pt shot from 1 ft (assist by M. Smart)
10:35.0,J. Green misses 2-pt shot from 20 ft,,68-85,,
10:32.0,,,68-85,,Defensive rebound by A. Baynes
10:28.0,,,68-85,,Turnover by T. Rozier (discontinued dribble)
10:14.0,D. Wade misses 3-pt shot from 24 ft,,68-85,,
10:09.0,,,68-85,,Defensive rebound by A. Baynes
9:58.0,,,68-87,2,A. Baynes makes 2-pt shot from 5 ft (assist by T. Rozier)
9:57.0,Cleveland full timeout,,68-87,,
9:57.0,,,68-87,,S. Ojeleye enters the game for M. Morris
9:46.0,Offensive foul by T. Thompson (drawn by J. Tatum),,68-87,,
9:46.0,Turnover by T. Thompson (offensive foul),,68-87,,
9:32.0,,,68-87,,J. Tatum misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by T. Thompson,,68-87,,
9:19.0,J. Crowder misses 3-pt shot from 25 ft,,68-87,,
9:17.0,,,68-87,,Defensive rebound by A. Baynes
9:17.0,Personal foul by D. Wade (drawn by A. Baynes),,68-87,,
8:59.0,,,68-87,,J. Tatum misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by J. Crowder,,68-87,,
8:52.0,Offensive charge foul by J. Green (drawn by A. Baynes),,68-87,,
8:52.0,Turnover by J. Green (offensive foul),,68-87,,
8:30.0,,,68-87,,M. Smart misses 2-pt shot from 2 ft
8:27.0,Defensive rebound by J. Crowder,,68-87,,
8:21.0,D. Wade makes 2-pt shot from 6 ft,2,70-87,,
7:58.0,,,70-90,3,M. Smart makes 3-pt shot from 26 ft (assist by T. Rozier)
7:48.0,K. Korver misses 3-pt shot from 26 ft,,70-90,,
7:45.0,Offensive rebound by J. Crowder,,70-90,,
7:43.0,J. Crowder makes 2-pt shot from 1 ft,2,72-90,,
