time,Toronto,pts.away,score,pts.home,Charlotte
11:03.0,C. Miles makes 3-pt shot from 27 ft (assist by D. Wright),3,93-76,,
10:42.0,,,93-76,,Turnover by C. Zeller (bad pass; steal by C. Miles)
10:40.0,C. Miles makes 2-pt shot from 1 ft,2,95-76,,
10:40.0,,,95-76,,Charlotte full timeout
10:25.0,,,95-76,,J. Lamb misses 2-pt shot from 11 ft (block by D. Wright)
10:22.0,Defensive rebound by C. Miles,,95-76,,
10:19.0,Shooting foul by C. Zeller (drawn by D. Wright),,95-76,,
10:19.0,D. Wright makes free throw 1 of 2,1,96-76,,
10:19.0,D. Wright makes free throw 2 of 2,1,97-76,,
10:06.0,,,97-76,,Turnover by J. Lamb (bad pass)
9:54.0,J. Poeltl makes 2-pt shot at rim (assist by C. Miles),2,99-76,,
9:40.0,,,99-76,,Turnover by T. Graham (step out of bounds)
9:28.0,J. Poeltl misses 2-pt shot from 3 ft,,99-76,,
9:25.0,,,99-76,,Defensive rebound by F. Kaminsky
9:15.0,,,99-76,,F. Kaminsky misses 2-pt shot from 7 ft
9:13.0,,,99-76,,Offensive rebound by F. Kaminsky
9:12.0,,,99-76,,F. Kaminsky misses 3-pt shot from 23 ft
9:11.0,,,99-76,,Offensive rebound by C. Zeller
9:09.0,,,99-76,,Turnover by C. Zeller (bad pass)
8:48.0,F. VanVleet makes 3-pt shot from 22 ft (assist by D. Wright),3,102-76,,
8:35.0,,,102-76,,C. Zeller misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by J. Poeltl,,102-76,,
8:20.0,C. Miles makes 3-pt shot from 23 ft (assist by P. Siakam),3,105-76,,
8:20.0,,,105-76,,Charlotte full timeout
8:20.0,,,105-76,,M. Monk enters the game for T. Graham
8:04.0,Personal foul by D. Wright (drawn by J. Lamb),,105-76,,
7:52.0,,,105-76,,Turnover by J. Lamb (out of bounds lost ball)
7:39.0,C. Miles makes 3-pt shot from 27 ft (assist by D. Wright),3,108-76,,
7:39.0,Shooting foul by M. Carter-Williams (drawn by C. Miles),,108-76,,
7:39.0,C. Miles makes free throw 1 of 1,1,109-76,,
7:17.0,,,109-79,3,J. Lamb makes 3-pt shot from 26 ft
6:50.0,P. Siakam makes 3-pt shot from 24 ft (assist by D. Wright),3,112-79,,
6:25.0,,,112-79,,M. Monk misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by D. Wright,,112-79,,
6:19.0,F. VanVleet makes 3-pt shot from 26 ft (assist by D. Wright),3,115-79,,
5:56.0,,,115-79,,Shooting foul by C. Miles (drawn by F. Kaminsky)
5:56.0,,,115-80,1,F. Kaminsky makes free throw 1 of 2
5:56.0,N. Powell enters the game for C. Miles,,115-80,,
5:56.0,L. Nogueira enters the game for J. Poeltl,,115-80,,
5:56.0,,,115-81,1,F. Kaminsky makes free throw 2 of 2
5:40.0,L. Nogueira makes 2-pt shot from 1 ft (assist by F. VanVleet),2,117-81,,
5:24.0,,,117-81,,Shooting foul by D. Wright (drawn by J. Lamb)
5:24.0,,,117-82,1,J. Lamb makes free throw 1 of 2
5:24.0,,,117-83,1,J. Lamb makes free throw 2 of 2
5:13.0,Offensive foul by L. Nogueira (drawn by M. Monk),,117-83,,
5:13.0,Turnover by L. Nogueira (offensive foul),,117-83,,
4:49.0,,,117-85,2,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lamb)
4:42.0,M. Richardson enters the game for F. VanVleet,,117-85,,
4:24.0,D. Wright misses 3-pt shot from 24 ft,,117-85,,
4:22.0,,,117-85,,Defensive rebound by C. Zeller
4:15.0,,,117-85,,M. Monk misses 3-pt shot from 23 ft
4:11.0,Defensive rebound by M. Richardson,,117-85,,
4:08.0,Turnover by N. Powell (out of bounds lost ball),,117-85,,
4:08.0,,,117-85,,D. Bacon enters the game for J. Lamb
