time,Oklahoma City,pts.away,score,pts.home,Utah
6:15.0,,,47-58,,J. Johnson enters the game for D. Favors
6:08.0,,,47-58,,J. Ingles misses 3-pt shot from 22 ft
6:05.0,Defensive rebound by S. Adams,,47-58,,
5:53.0,P. George makes 2-pt shot from 1 ft (assist by C. Anthony),2,49-58,,
5:43.0,,,49-58,,J. Ingles misses 2-pt shot from 4 ft
5:42.0,,,49-58,,Offensive rebound by R. Gobert
5:39.0,,,49-60,2,R. Gobert makes 2-pt shot from 3 ft
5:28.0,R. Westbrook misses 3-pt shot from 24 ft,,49-60,,
5:27.0,,,49-60,,Defensive rebound by J. Ingles
5:23.0,Personal foul by R. Westbrook (drawn by R. Gobert),,49-60,,
5:23.0,,,49-60,,T. Sefolosha enters the game for A. Burks
5:23.0,J. Grant enters the game for C. Anthony,,49-60,,
5:17.0,Personal foul by P. George (drawn by J. Ingles),,49-60,,
5:09.0,,,49-60,,R. Rubio misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by P. George,,49-60,,
5:02.0,P. George misses 2-pt shot from 17 ft,,49-60,,
4:58.0,Offensive rebound by S. Adams,,49-60,,
4:58.0,S. Adams misses 2-pt shot at rim,,49-60,,
4:58.0,,,49-60,,Defensive rebound by Team
4:47.0,,,49-62,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
4:32.0,Turnover by R. Westbrook (bad pass),,49-62,,
4:15.0,,,49-62,,R. Gobert misses 2-pt shot from 5 ft (block by J. Grant)
4:15.0,,,49-62,,Offensive rebound by Team
4:15.0,,,49-62,,Utah full timeout
4:13.0,,,49-64,2,J. Ingles makes 2-pt shot from 21 ft (assist by R. Rubio)
3:58.0,P. George misses 3-pt shot from 24 ft (block by J. Ingles),,49-64,,
3:56.0,,,49-64,,Defensive rebound by R. Gobert
3:47.0,,,49-64,,Turnover by R. Rubio (bad pass; steal by P. George)
3:42.0,Turnover by P. George (bad pass; steal by T. Sefolosha),,49-64,,
3:38.0,,,49-64,,Turnover by R. Rubio (lost ball; steal by A. Abrines)
3:32.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,52-64,,
3:10.0,,,52-66,2,J. Johnson makes 2-pt shot from 17 ft
2:58.0,Shooting foul by J. Johnson (drawn by J. Grant),,52-66,,
2:58.0,J. Grant misses free throw 1 of 2,,52-66,,
2:58.0,Offensive rebound by Team,,52-66,,
2:58.0,,,52-66,,E. Udoh enters the game for R. Gobert
2:58.0,T. Ferguson enters the game for S. Adams,,52-66,,
2:58.0,C. Anthony enters the game for P. George,,52-66,,
2:58.0,J. Grant makes free throw 2 of 2,1,53-66,,
2:47.0,,,53-68,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by J. Ingles)
2:35.0,C. Anthony misses 3-pt shot from 25 ft,,53-68,,
2:33.0,,,53-68,,Defensive rebound by T. Sefolosha
2:13.0,,,53-71,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Sefolosha)
1:58.0,Turnover by C. Anthony (traveling),,53-71,,
1:58.0,,,53-71,,R. Neto enters the game for R. Rubio
1:58.0,R. Felton enters the game for R. Westbrook,,53-71,,
1:35.0,,,53-73,2,J. Johnson makes 2-pt shot from 6 ft
1:14.0,C. Anthony makes 2-pt shot from 14 ft,2,55-73,,
0:49.0,,,55-73,,J. Johnson misses 2-pt shot from 20 ft
0:47.0,,,55-73,,Offensive rebound by E. Udoh
0:32.0,,,55-73,,Turnover by J. Johnson (bad pass; steal by J. Grant)
0:15.0,C. Anthony makes 2-pt shot from 2 ft,2,57-73,,
0:00.0,,,57-73,,J. Ingles misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by A. Abrines,,57-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Technical foul by C. Anthony,,57-74,,
11:43.0,,,57-74,,Turnover by A. Burks (traveling)
11:23.0,,,57-74,,D. Favors enters the game for J. Johnson
11:20.0,R. Felton makes 3-pt shot from 26 ft (assist by C. Anthony),3,60-74,,
11:05.0,Personal foul by T. Ferguson (drawn by A. Burks),,60-74,,
10:51.0,,,60-76,2,R. Neto makes 2-pt shot from 6 ft
10:44.0,C. Anthony makes 3-pt shot from 24 ft (assist by A. Abrines),3,63-76,,
10:20.0,,,63-76,,T. Sefolosha misses 3-pt shot from 22 ft
10:18.0,Defensive rebound by Team,,63-76,,
10:09.0,R. Felton makes 2-pt shot from 3 ft,2,65-76,,
9:45.0,,,65-76,,A. Burks misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by R. Felton,,65-76,,
9:29.0,,,65-76,,Personal foul by R. Neto (drawn by P. Patterson)
9:29.0,,,65-76,,R. Rubio enters the game for T. Sefolosha
9:29.0,,,65-76,,D. Mitchell enters the game for R. Neto
9:21.0,C. Anthony makes 2-pt shot from 3 ft,2,67-76,,
9:08.0,,,67-76,,Turnover by R. Rubio (bad pass; steal by R. Felton)
9:05.0,A. Abrines makes 2-pt shot from 2 ft,2,69-76,,
9:05.0,,,69-76,,Utah full timeout
9:05.0,R. Westbrook enters the game for A. Abrines,,69-76,,
9:05.0,P. George enters the game for T. Ferguson,,69-76,,
8:48.0,,,69-78,2,D. Mitchell makes 2-pt shot from 1 ft
8:36.0,R. Westbrook misses 3-pt shot from 25 ft,,69-78,,
8:33.0,,,69-78,,Defensive rebound by A. Burks
8:15.0,,,69-80,2,D. Favors makes 2-pt shot from 17 ft (assist by D. Mitchell)
7:58.0,P. Patterson misses 2-pt shot from 4 ft (block by A. Burks),,69-80,,
7:55.0,,,69-80,,Defensive rebound by E. Udoh
7:52.0,,,69-80,,Shooting foul by R. Felton (drawn by D. Favors)
7:52.0,,,69-81,1,D. Favors makes free throw 1 of 2
7:52.0,,,69-81,,R. Gobert enters the game for E. Udoh
7:52.0,S. Adams enters the game for C. Anthony,,69-81,,
7:52.0,,,69-81,,D. Favors misses free throw 2 of 2
7:49.0,Defensive rebound by P. Patterson,,69-81,,
7:32.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,71-81,,
7:15.0,,,71-81,,D. Mitchell misses 2-pt shot from 7 ft
7:13.0,Defensive rebound by R. Westbrook,,71-81,,
7:05.0,,,71-81,,Personal foul by R. Rubio (drawn by P. George)
7:05.0,Oklahoma City full timeout,,71-81,,
7:05.0,,,71-81,,J. Ingles enters the game for A. Burks
6:55.0,Turnover by S. Adams (traveling),,71-81,,
6:33.0,,,71-83,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
6:23.0,P. George misses 3-pt shot from 24 ft,,71-83,,
6:21.0,,,71-83,,Defensive rebound by R. Rubio
6:15.0,,,71-83,,Shooting foul by R. Felton (drawn by D. Favors)
6:15.0,,,71-84,1,D. Favors makes free throw 1 of 2
6:15.0,C. Anthony enters the game for R. Felton,,71-84,,
6:15.0,A. Abrines enters the game for P. Patterson,,71-84,,
6:15.0,,,71-85,1,D. Favors makes free throw 2 of 2
6:08.0,Shooting foul by R. Gobert (drawn by S. Adams),,71-85,,
6:08.0,S. Adams misses free throw 1 of 2,,71-85,,
6:08.0,Offensive rebound by Team,,71-85,,
6:08.0,S. Adams makes free throw 2 of 2,1,72-85,,
6:08.0,,,72-85,,Violation by R. Rubio (lane)
5:53.0,,,72-87,2,R. Rubio makes 2-pt shot from 17 ft (assist by R. Gobert)
5:34.0,R. Westbrook makes 3-pt shot from 25 ft (assist by P. George),3,75-87,,
5:11.0,,,75-90,3,J. Ingles makes 3-pt shot from 25 ft
4:53.0,C. Anthony makes 2-pt shot from 22 ft,2,77-90,,
4:27.0,,,77-92,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell)
4:12.0,P. George misses 2-pt shot from 9 ft,,77-92,,
4:11.0,Offensive rebound by Team,,77-92,,
4:11.0,,,77-92,,T. Sefolosha enters the game for D. Mitchell
4:06.0,C. Anthony makes 2-pt shot from 19 ft,2,79-92,,
3:37.0,,,79-92,,J. Johnson enters the game for D. Favors
3:31.0,,,79-92,,J. Johnson misses 2-pt shot from 10 ft
3:28.0,Defensive rebound by P. George,,79-92,,
3:26.0,C. Anthony misses 3-pt shot from 25 ft,,79-92,,
3:20.0,,,79-92,,Defensive rebound by T. Sefolosha
3:13.0,,,79-92,,J. Ingles misses 3-pt shot from 23 ft
3:11.0,Defensive rebound by Team,,79-92,,
3:06.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,79-92,,
3:01.0,,,79-94,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Johnson)
2:58.0,,,79-94,,Personal foul by R. Rubio (drawn by R. Westbrook)
2:48.0,C. Anthony misses 3-pt shot from 24 ft,,79-94,,
2:45.0,,,79-94,,Defensive rebound by R. Gobert
2:21.0,,,79-94,,R. Rubio misses 3-pt shot from 30 ft
2:21.0,,,79-94,,Offensive rebound by Team
2:21.0,,,79-94,,Turnover by Team (shot clock)
2:21.0,Oklahoma City full timeout,,79-94,,
2:10.0,Turnover by R. Westbrook (bad pass; steal by J. Ingles),,79-94,,
1:48.0,,,79-96,2,J. Johnson makes 2-pt shot from 18 ft
1:32.0,P. George makes 2-pt shot from 2 ft,2,81-96,,
1:32.0,Shooting foul by R. Gobert (drawn by P. George),,81-96,,
1:32.0,R. Felton enters the game for R. Westbrook,,81-96,,
