time,Boston,pts.away,score,pts.home,Houston
0:19.0,,,87-86,,L. Mbah a Moute misses 3-pt shot from 22 ft
0:17.0,Defensive rebound by M. Smart,,87-86,,
0:04.0,,,87-86,,Personal foul by J. Johnson (drawn by T. Rozier)
0:04.0,Boston full timeout,,87-86,,
0:04.0,,,87-86,,T. Ariza enters the game for C. Paul
0:03.0,G. Monroe makes 2-pt shot at rim (assist by M. Smart),2,89-86,,
0:00.0,,,89-86,,T. Ariza misses 3-pt shot from 34 ft
0:00.0,,,89-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,89-88,2,N. Hilario makes 2-pt shot at rim (assist by C. Paul)
11:31.0,M. Smart misses 2-pt shot from 7 ft,,89-88,,
11:29.0,,,89-88,,Defensive rebound by N. Hilario
11:19.0,,,89-88,,E. Gordon misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by J. Tatum,,89-88,,
11:07.0,G. Monroe makes 2-pt shot at rim (assist by M. Smart),2,91-88,,
10:53.0,,,91-90,2,C. Paul makes 2-pt shot from 15 ft
10:48.0,Shooting foul by N. Hilario (drawn by G. Monroe),,91-90,,
10:48.0,G. Monroe makes free throw 1 of 2,1,92-90,,
10:48.0,J. Brown enters the game for M. Smart,,92-90,,
10:48.0,G. Monroe makes free throw 2 of 2,1,93-90,,
10:36.0,,,93-93,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Johnson)
10:11.0,M. Morris misses 2-pt shot from 11 ft,,93-93,,
10:07.0,Offensive rebound by J. Brown,,93-93,,
10:07.0,J. Brown makes 2-pt shot at rim,2,95-93,,
9:58.0,,,95-93,,C. Paul misses 2-pt shot at rim (block by G. Monroe)
9:58.0,,,95-93,,Offensive rebound by Team
9:54.0,,,95-93,,T. Ariza misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by Team,,95-93,,
9:41.0,,,95-93,,Personal block foul by T. Ariza (drawn by J. Tatum)
9:30.0,J. Tatum misses 2-pt shot from 9 ft,,95-93,,
