time,Oklahoma City,pts.away,score,pts.home,Memphis
0:39.0,Offensive rebound by R. Felton,,67-66,,
0:32.0,R. Westbrook misses 3-pt shot from 26 ft,,67-66,,
0:29.0,,,67-66,,Defensive rebound by D. Davis
0:08.0,,,67-66,,D. Brooks misses 2-pt shot from 10 ft
0:05.0,Defensive rebound by R. Westbrook,,67-66,,
0:00.0,J. Grant misses 2-pt shot from 7 ft (block by B. McLemore),,67-66,,
0:00.0,Offensive rebound by Team,,67-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,P. Patterson makes 3-pt shot from 26 ft (assist by R. Felton),3,70-66,,
11:23.0,,,70-69,3,B. McLemore makes 3-pt shot from 26 ft (assist by T. Evans)
10:59.0,Turnover by J. Huestis (traveling),,70-69,,
10:47.0,,,70-69,,M. Gasol misses 2-pt shot from 13 ft
10:44.0,Defensive rebound by A. Roberson,,70-69,,
10:27.0,J. Huestis makes 3-pt shot from 24 ft (assist by R. Felton),3,73-69,,
10:12.0,,,73-72,3,J. Ennis makes 3-pt shot from 22 ft (assist by M. Gasol)
9:57.0,,,73-72,,Personal foul by B. McLemore (drawn by R. Felton)
9:47.0,R. Felton makes 2-pt shot from 20 ft,2,75-72,,
9:26.0,,,75-74,2,D. Brooks makes 2-pt shot from 21 ft (assist by M. Gasol)
9:08.0,R. Felton makes 2-pt shot from 20 ft,2,77-74,,
8:47.0,,,77-74,,J. Ennis misses 2-pt shot from 9 ft
8:45.0,Defensive rebound by P. Patterson,,77-74,,
8:31.0,J. Huestis makes 2-pt shot at rim (assist by R. Felton),2,79-74,,
8:30.0,,,79-74,,Memphis full timeout
8:30.0,,,79-74,,J. Green enters the game for J. Ennis
8:19.0,,,79-76,2,T. Evans makes 2-pt shot at rim (assist by J. Green)
8:03.0,A. Roberson misses 3-pt shot from 25 ft,,79-76,,
8:01.0,,,79-76,,Defensive rebound by J. Green
7:52.0,,,79-79,3,B. McLemore makes 3-pt shot from 25 ft (assist by M. Gasol)
7:38.0,P. Patterson misses 3-pt shot from 23 ft,,79-79,,
7:35.0,Offensive rebound by A. Roberson,,79-79,,
7:28.0,P. Patterson misses 2-pt shot from 10 ft,,79-79,,
7:28.0,,,79-79,,Defensive rebound by D. Brooks
7:03.0,,,79-79,,T. Evans misses 2-pt shot from 19 ft
7:03.0,,,79-79,,Offensive rebound by Team
7:03.0,,,79-79,,Turnover by Team (shot clock)
7:03.0,Oklahoma City full timeout,,79-79,,
7:03.0,R. Westbrook enters the game for R. Felton,,79-79,,
7:03.0,C. Anthony enters the game for A. Roberson,,79-79,,
7:03.0,A. Abrines enters the game for P. Patterson,,79-79,,
6:57.0,,,79-79,,Personal foul by T. Evans (drawn by A. Abrines)
6:49.0,C. Anthony makes 2-pt shot from 18 ft (assist by R. Westbrook),2,81-79,,
6:29.0,Personal foul by S. Adams (drawn by M. Gasol),,81-79,,
6:19.0,,,81-82,3,M. Gasol makes 3-pt shot from 25 ft (assist by D. Brooks)
5:58.0,R. Westbrook misses 2-pt shot from 15 ft,,81-82,,
5:55.0,,,81-82,,Defensive rebound by T. Evans
5:47.0,,,81-82,,M. Gasol misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by A. Abrines,,81-82,,
5:38.0,R. Westbrook misses 2-pt shot from 19 ft,,81-82,,
5:33.0,,,81-82,,Defensive rebound by D. Brooks
5:22.0,,,81-84,2,T. Evans makes 2-pt shot at rim
5:11.0,,,81-84,,Personal foul by B. McLemore (drawn by R. Westbrook)
5:11.0,A. Roberson enters the game for J. Huestis,,81-84,,
5:11.0,,,81-84,,A. Harrison enters the game for B. McLemore
5:01.0,R. Westbrook makes 2-pt shot at rim,2,83-84,,
4:43.0,,,83-84,,T. Evans misses 2-pt shot from 8 ft
4:40.0,Defensive rebound by C. Anthony,,83-84,,
4:27.0,Turnover by A. Abrines (bad pass),,83-84,,
4:09.0,,,83-84,,M. Gasol misses 2-pt shot from 7 ft
