time,Charlotte,pts.away,score,pts.home,Cleveland
5:38.0,D. Howard misses 2-pt shot from 2 ft (block by C. Frye),,74-67,,
5:35.0,,,74-67,,Defensive rebound by J. Crowder
5:31.0,,,74-70,3,J. Smith makes 3-pt shot from 22 ft (assist by C. Frye)
5:10.0,D. Howard misses 2-pt shot from 6 ft (block by D. Wade),,74-70,,
5:10.0,,,74-70,,Defensive rebound by C. Frye
5:10.0,Personal foul by D. Howard,,74-70,,
5:10.0,Technical foul by D. Howard,,74-70,,
5:10.0,,,74-70,,L. James misses technical free throw
5:10.0,,,74-70,,Offensive rebound by Team
5:10.0,,,74-70,,K. Korver enters the game for J. Crowder
5:03.0,,,74-70,,J. Smith misses 3-pt shot from 27 ft
5:00.0,Defensive rebound by D. Howard,,74-70,,
4:50.0,Shooting foul by J. Smith (drawn by M. Williams),,74-70,,
4:50.0,M. Williams makes free throw 1 of 2,1,75-70,,
4:50.0,M. Williams makes free throw 2 of 2,1,76-70,,
4:33.0,,,76-70,,Turnover by D. Wade (bad pass)
4:21.0,K. Walker misses 2-pt shot from 17 ft,,76-70,,
4:17.0,,,76-70,,Defensive rebound by L. James
4:09.0,,,76-73,3,K. Korver makes 3-pt shot from 22 ft (assist by C. Frye)
3:51.0,D. Howard misses 2-pt shot from 2 ft (block by L. James),,76-73,,
3:51.0,,,76-73,,Defensive rebound by Team
3:47.0,,,76-76,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
3:47.0,Charlotte full timeout,,76-76,,
3:47.0,C. Zeller enters the game for D. Howard,,76-76,,
3:32.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,76-76,,
3:29.0,,,76-76,,Defensive rebound by L. James
3:22.0,,,76-76,,K. Korver misses 2-pt shot from 5 ft (block by J. Lamb)
3:18.0,Defensive rebound by J. Lamb,,76-76,,
3:13.0,J. Lamb misses 2-pt shot from 2 ft,,76-76,,
3:13.0,,,76-76,,Defensive rebound by Team
3:03.0,,,76-76,,D. Wade misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by C. Zeller,,76-76,,
2:49.0,M. Williams misses 3-pt shot from 26 ft,,76-76,,
2:46.0,Offensive rebound by C. Zeller,,76-76,,
2:43.0,M. Williams makes 3-pt shot from 25 ft (assist by J. Lamb),3,79-76,,
2:23.0,,,79-76,,K. Korver misses 3-pt shot from 24 ft
