time,LA Clippers,pts.away,score,pts.home,Indiana
1:40.0,,,102-102,2,B. Bogdanovic makes 2-pt shot from 6 ft (assist by D. Collison)
1:28.0,Turnover by L. Williams (out of bounds lost ball),,102-102,,
1:09.0,,,102-104,2,D. Collison makes 2-pt shot from 18 ft
1:08.0,LA Clippers full timeout,,102-104,,
1:08.0,M. Teodosic enters the game for M. Harrell,,102-104,,
0:59.0,Turnover by T. Harris (lost ball; steal by V. Oladipo),,102-104,,
0:39.0,,,102-104,,D. Collison misses 2-pt shot from 20 ft
0:37.0,,,102-104,,Offensive rebound by T. Young
0:36.0,,,102-106,2,T. Young makes 2-pt shot from 2 ft
0:35.0,LA Clippers full timeout,,102-106,,
0:35.0,M. Harrell enters the game for M. Teodosic,,102-106,,
0:27.0,Turnover by T. Harris (bad pass),,102-106,,
0:27.0,,,102-106,,Indiana full timeout
0:27.0,,,102-106,,C. Joseph enters the game for T. Young
0:27.0,S. Thornwell enters the game for M. Harrell,,102-106,,
0:27.0,W. Johnson enters the game for L. Williams,,102-106,,
0:25.0,Personal foul by T. Harris (drawn by V. Oladipo),,102-106,,
0:25.0,,,102-107,1,V. Oladipo makes free throw 1 of 2
