time,San Antonio,pts.away,score,pts.home,Philadelphia
8:37.0,D. Bertans enters the game for D. Murray,,54-65,,
8:37.0,P. Mills enters the game for P. Gasol,,54-65,,
8:37.0,,,54-66,1,D. Saric makes free throw 2 of 2
8:23.0,P. Mills makes 2-pt shot from 1 ft,2,56-66,,
8:08.0,,,56-68,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
8:08.0,,,56-68,,Shooting foul by D. Bertans (drawn by J. Embiid)
8:08.0,,,56-68,,T. McConnell enters the game for J. Redick
8:08.0,,,56-69,1,J. Embiid makes free throw 1 of 1
7:52.0,B. Forbes misses 3-pt shot from 28 ft,,56-69,,
7:49.0,Offensive rebound by L. Aldridge,,56-69,,
7:49.0,L. Aldridge makes 2-pt shot from 1 ft,2,58-69,,
7:49.0,,,58-69,,Philadelphia full timeout
7:40.0,,,58-69,,Shooting foul by K. Anderson (drawn by B. Simmons)
7:40.0,,,58-70,1,B. Simmons makes free throw 1 of 2
7:40.0,,,58-71,1,B. Simmons makes free throw 2 of 2
7:27.0,P. Mills misses 2-pt shot from 17 ft,,58-71,,
7:24.0,,,58-71,,Defensive rebound by B. Simmons
7:21.0,,,58-73,2,D. Saric makes 2-pt shot from 1 ft (assist by R. Covington)
7:00.0,D. Bertans misses 3-pt shot from 24 ft,,58-73,,
6:57.0,,,58-73,,Defensive rebound by R. Covington
6:46.0,,,58-73,,J. Embiid misses 2-pt shot from 16 ft
6:44.0,Defensive rebound by K. Anderson,,58-73,,
6:31.0,D. Bertans makes 3-pt shot from 25 ft (assist by B. Forbes),3,61-73,,
6:18.0,Personal foul by K. Anderson (drawn by B. Simmons),,61-73,,
6:18.0,,,61-74,1,B. Simmons makes free throw 1 of 2
6:18.0,,,61-74,,A. Johnson enters the game for J. Embiid
6:18.0,B. Paul enters the game for K. Anderson,,61-74,,
6:18.0,,,61-75,1,B. Simmons makes free throw 2 of 2
6:08.0,Shooting foul by R. Covington (drawn by B. Forbes),,61-75,,
6:08.0,B. Forbes makes free throw 1 of 2,1,62-75,,
6:08.0,,,62-75,,J. Bayless enters the game for D. Saric
6:08.0,B. Forbes misses free throw 2 of 2,,62-75,,
6:05.0,,,62-75,,Defensive rebound by B. Simmons
5:57.0,,,62-75,,R. Covington misses 3-pt shot from 26 ft
5:52.0,Defensive rebound by B. Paul,,62-75,,
5:42.0,Turnover by P. Mills (bad pass; steal by A. Johnson),,62-75,,
5:39.0,,,62-75,,Turnover by B. Simmons (bad pass)
5:21.0,L. Aldridge makes 2-pt shot from 2 ft (assist by B. Forbes),2,64-75,,
5:07.0,,,64-75,,B. Simmons misses 2-pt shot from 7 ft
5:04.0,,,64-75,,Offensive rebound by A. Johnson
5:03.0,,,64-77,2,A. Johnson makes 2-pt shot from 5 ft
4:51.0,,,64-77,,Personal foul by A. Johnson (drawn by L. Aldridge)
4:46.0,B. Forbes makes 2-pt shot from 1 ft (assist by L. Aldridge),2,66-77,,
4:46.0,Shooting foul by B. Simmons (drawn by B. Forbes),,66-77,,
4:46.0,B. Forbes makes free throw 1 of 1,1,67-77,,
4:29.0,,,67-77,,Turnover by B. Simmons (bad pass)
4:23.0,P. Mills makes 3-pt shot from 27 ft,3,70-77,,
4:21.0,,,70-77,,Philadelphia full timeout
4:21.0,,,70-77,,J. Embiid enters the game for A. Johnson
4:21.0,,,70-77,,J. Redick enters the game for B. Simmons
4:01.0,,,70-79,2,J. Bayless makes 2-pt shot from 17 ft
3:41.0,L. Aldridge makes 2-pt shot from 15 ft,2,72-79,,
3:33.0,,,72-79,,J. Bayless misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by Team,,72-79,,
3:32.0,,,72-79,,R. Holmes enters the game for R. Covington
3:32.0,J. Lauvergne enters the game for L. Aldridge,,72-79,,
3:21.0,P. Mills makes 2-pt shot from 4 ft,2,74-79,,
2:50.0,,,74-82,3,J. Redick makes 3-pt shot from 26 ft (assist by R. Holmes)
2:33.0,P. Mills makes 3-pt shot from 22 ft (assist by J. Lauvergne),3,77-82,,
2:33.0,Shooting foul by T. McConnell (drawn by P. Mills),,77-82,,
2:33.0,P. Mills makes free throw 1 of 1,1,78-82,,
2:20.0,,,78-82,,Turnover by T. McConnell (bad pass; steal by J. Lauvergne)
2:11.0,,,78-82,,Personal foul by R. Holmes (drawn by J. Lauvergne)
2:11.0,J. Lauvergne makes free throw 1 of 2,1,79-82,,
2:11.0,,,79-82,,B. Simmons enters the game for T. McConnell
2:11.0,J. Lauvergne makes free throw 2 of 2,1,80-82,,
1:50.0,,,80-84,2,R. Holmes makes 2-pt shot from 3 ft
1:33.0,B. Paul misses 2-pt shot from 19 ft,,80-84,,
1:31.0,,,80-84,,Defensive rebound by J. Embiid
1:25.0,,,80-84,,Turnover by R. Holmes (offensive goaltending)
1:16.0,,,80-84,,Personal foul by J. Bayless (drawn by P. Mills)
1:16.0,P. Mills makes free throw 1 of 2,1,81-84,,
1:16.0,P. Mills makes free throw 2 of 2,1,82-84,,
1:00.0,,,82-84,,Shooting foul by D. Bertans (drawn by J. Embiid)
1:00.0,,,82-85,1,J. Embiid makes free throw 1 of 2
1:00.0,,,82-86,1,J. Embiid makes free throw 2 of 2
0:48.0,D. Bertans misses 3-pt shot from 26 ft,,82-86,,
0:45.0,,,82-86,,Defensive rebound by J. Bayless
0:32.0,,,82-86,,Shooting foul by J. Lauvergne (drawn by J. Embiid)
0:32.0,,,82-87,1,J. Embiid makes free throw 1 of 2
0:32.0,,,82-88,1,J. Embiid makes free throw 2 of 2
0:07.0,B. Forbes misses 3-pt shot from 25 ft,,82-88,,
0:03.0,Offensive rebound by J. Lauvergne,,82-88,,
0:03.0,B. Paul makes 2-pt shot at rim (assist by J. Lauvergne),2,84-88,,
0:00.0,,,84-88,,B. Simmons misses 3-pt shot from 36 ft
0:00.0,,,84-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,P. Mills misses 3-pt shot from 25 ft,,84-88,,
11:40.0,,,84-88,,Defensive rebound by J. Embiid
11:20.0,,,84-88,,R. Holmes misses 2-pt shot from 3 ft (block by D. Murray)
11:20.0,,,84-88,,Offensive rebound by Team
11:18.0,,,84-88,,J. Embiid misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by D. Murray,,84-88,,
11:05.0,P. Mills misses 2-pt shot from 1 ft,,84-88,,
11:04.0,,,84-88,,Defensive rebound by Team
11:04.0,B. Forbes enters the game for P. Mills,,84-88,,
10:54.0,Personal foul by D. Murray (drawn by J. Bayless),,84-88,,
10:54.0,L. Aldridge enters the game for D. Bertans,,84-88,,
10:54.0,K. Anderson enters the game for J. Lauvergne,,84-88,,
10:51.0,,,84-90,2,J. Bayless makes 2-pt shot from 1 ft (assist by J. Redick)
10:29.0,L. Aldridge misses 2-pt shot from 22 ft,,84-90,,
10:28.0,Offensive rebound by Team,,84-90,,
10:28.0,,,84-90,,Loose ball foul by J. Bayless (drawn by D. Murray)
10:16.0,L. Aldridge misses 2-pt shot from 18 ft,,84-90,,
10:14.0,,,84-90,,Defensive rebound by R. Holmes
9:55.0,,,84-90,,T. McConnell misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by B. Paul,,84-90,,
9:42.0,Turnover by K. Anderson (bad pass; steal by R. Holmes),,84-90,,
9:35.0,,,84-90,,J. Bayless misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by B. Forbes,,84-90,,
9:14.0,Turnover by K. Anderson (bad pass; steal by J. Embiid),,84-90,,
9:06.0,,,84-90,,Shooting foul by B. Forbes (drawn by J. Redick)
9:06.0,,,84-91,1,J. Redick makes free throw 1 of 3
9:06.0,,,84-92,1,J. Redick makes free throw 2 of 3
9:06.0,,,84-92,,A. Johnson enters the game for J. Bayless
9:06.0,,,84-92,,D. Saric enters the game for J. Embiid
9:06.0,,,84-92,,R. Covington enters the game for R. Holmes
9:06.0,D. White enters the game for D. Murray,,84-92,,
9:06.0,,,84-93,1,J. Redick makes free throw 3 of 3
8:53.0,Shooting foul by R. Covington (drawn by D. White),,84-93,,
8:53.0,D. White makes free throw 1 of 2,1,85-93,,
8:53.0,,,85-93,,J. Bayless enters the game for J. Redick
8:53.0,D. White makes free throw 2 of 2,1,86-93,,
8:40.0,,,86-93,,T. McConnell misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by B. Paul,,86-93,,
8:18.0,B. Forbes misses 2-pt shot from 20 ft,,86-93,,
8:13.0,,,86-93,,Defensive rebound by J. Bayless
8:07.0,,,86-93,,D. Saric misses 3-pt shot from 25 ft
8:04.0,,,86-93,,Offensive rebound by J. Bayless
7:52.0,,,86-93,,Turnover by R. Covington (lost ball; steal by K. Anderson)
7:47.0,K. Anderson makes 2-pt shot at rim,2,88-93,,
7:32.0,,,88-93,,Turnover by D. Saric (bad pass)
7:32.0,,,88-93,,B. Simmons enters the game for T. McConnell
7:32.0,San Antonio full timeout,,88-93,,
7:12.0,K. Anderson makes 2-pt shot from 17 ft,2,90-93,,
6:46.0,,,90-93,,J. Bayless misses 3-pt shot from 24 ft
6:43.0,,,90-93,,Offensive rebound by D. Saric
6:39.0,,,90-93,,A. Johnson misses 2-pt shot from 9 ft
6:38.0,,,90-93,,Offensive rebound by Team
6:38.0,D. Bertans enters the game for B. Paul,,90-93,,
6:32.0,,,90-93,,R. Covington misses 3-pt shot from 26 ft
6:28.0,,,90-93,,Offensive rebound by Team
6:12.0,,,90-95,2,B. Simmons makes 2-pt shot from 1 ft (assist by J. Bayless)
5:51.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. White),2,92-95,,
5:38.0,,,92-95,,Shooting foul by L. Aldridge (drawn by B. Simmons)
