time,Oklahoma City,pts.away,score,pts.home,LA Lakers
9:01.0,Offensive rebound by J. Huestis,,102-75,,
8:59.0,P. Patterson misses 3-pt shot from 23 ft,,102-75,,
8:56.0,,,102-75,,Defensive rebound by L. Nance
8:42.0,,,102-75,,J. Clarkson misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by J. Huestis,,102-75,,
8:26.0,J. Huestis misses 3-pt shot from 25 ft,,102-75,,
8:23.0,,,102-75,,Defensive rebound by J. Hart
8:16.0,,,102-75,,Shooting foul by P. George (drawn by C. Brewer)
8:16.0,,,102-75,,C. Brewer misses free throw 1 of 2
8:16.0,,,102-75,,Offensive rebound by Team
8:16.0,,,102-76,1,C. Brewer makes free throw 2 of 2
8:11.0,,,102-76,,Shooting block foul by L. Nance (drawn by P. Patterson)
8:11.0,P. Patterson makes free throw 1 of 2,1,103-76,,
8:11.0,,,103-76,,A. Caruso enters the game for B. Lopez
8:11.0,T. Ferguson enters the game for R. Felton,,103-76,,
8:11.0,P. Patterson makes free throw 2 of 2,1,104-76,,
7:56.0,,,104-76,,J. Clarkson misses 2-pt shot from 2 ft
7:56.0,,,104-76,,Offensive rebound by C. Brewer
7:52.0,,,104-78,2,C. Brewer makes 2-pt shot at rim
7:38.0,P. George makes 2-pt shot from 7 ft (assist by P. Patterson),2,106-78,,
7:13.0,,,106-81,3,J. Hart makes 3-pt shot from 26 ft (assist by A. Caruso)
6:58.0,J. Huestis misses 3-pt shot from 23 ft,,106-81,,
6:54.0,Offensive rebound by P. Patterson,,106-81,,
6:52.0,T. Ferguson makes 3-pt shot from 25 ft (assist by P. George),3,109-81,,
6:42.0,,,109-83,2,J. Clarkson makes 2-pt shot from 4 ft
6:42.0,,,109-83,,Shooting foul by T. Ferguson (drawn by J. Clarkson)
6:42.0,R. Felton enters the game for P. George,,109-83,,
6:42.0,,,109-84,1,J. Clarkson makes free throw 1 of 1
6:29.0,T. Ferguson makes 3-pt shot from 27 ft (assist by R. Felton),3,112-84,,
6:10.0,,,112-84,,J. Clarkson misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by J. Grant,,112-84,,
5:59.0,T. Ferguson makes 2-pt shot from 15 ft,2,114-84,,
5:57.0,,,114-84,,LA Lakers full timeout
5:57.0,,,114-84,,I. Zubac enters the game for J. Clarkson
5:45.0,,,114-84,,Turnover by I. Zubac (bad pass; steal by R. Felton)
5:42.0,T. Ferguson makes 2-pt shot from 2 ft (assist by R. Felton),2,116-84,,
5:28.0,,,116-84,,J. Hart misses 3-pt shot from 25 ft
5:25.0,,,116-84,,Offensive rebound by L. Nance
5:24.0,,,116-87,3,A. Caruso makes 3-pt shot from 25 ft (assist by L. Nance)
5:03.0,Turnover by R. Felton (bad pass; steal by J. Hart),,116-87,,
5:02.0,,,116-89,2,J. Hart makes 2-pt shot from 2 ft
5:02.0,,,116-89,,Shooting foul by T. Ferguson (drawn by J. Hart)
5:02.0,D. Hamilton enters the game for R. Felton,,116-89,,
5:02.0,D. Johnson enters the game for J. Grant,,116-89,,
5:02.0,N. Collison enters the game for J. Huestis,,116-89,,
5:02.0,K. Singler enters the game for P. Patterson,,116-89,,
5:02.0,,,116-90,1,J. Hart makes free throw 1 of 1
4:45.0,D. Johnson makes 2-pt shot from 7 ft (assist by D. Hamilton),2,118-90,,
4:35.0,,,118-90,,Turnover by A. Caruso (bad pass; steal by T. Ferguson)
4:30.0,T. Ferguson makes 2-pt shot from 2 ft,2,120-90,,
4:22.0,Personal foul by D. Johnson (drawn by L. Nance),,120-90,,
4:11.0,,,120-90,,A. Caruso misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by K. Singler,,120-90,,
4:01.0,K. Singler misses 3-pt shot from 26 ft,,120-90,,
3:57.0,,,120-90,,Defensive rebound by A. Caruso
3:52.0,,,120-90,,I. Zubac misses 2-pt shot from 17 ft
3:48.0,Defensive rebound by D. Hamilton,,120-90,,
3:41.0,D. Hamilton makes 2-pt shot from 11 ft,2,122-90,,
3:26.0,,,122-90,,Turnover by C. Brewer (bad pass; steal by D. Hamilton)
3:21.0,K. Singler makes 2-pt shot at rim (assist by D. Hamilton),2,124-90,,
