time,Philadelphia,pts.away,score,pts.home,Cleveland
7:57.0,,,67-62,,Offensive rebound by Team
7:57.0,M. Belinelli enters the game for J. Redick,,67-62,,
7:57.0,,,67-62,,T. Thompson misses free throw 2 of 2
7:54.0,Defensive rebound by J. Embiid,,67-62,,
7:37.0,M. Belinelli makes 2-pt shot from 1 ft (assist by B. Simmons),2,69-62,,
7:11.0,,,69-62,,Turnover by Team (shot clock)
6:56.0,,,69-62,,Personal foul by G. Hill (drawn by M. Belinelli)
6:56.0,,,69-62,,Cleveland full timeout
6:56.0,A. Johnson enters the game for J. Embiid,,69-62,,
6:50.0,B. Simmons makes 2-pt shot at rim (assist by R. Covington),2,71-62,,
6:33.0,,,71-64,2,L. James makes 2-pt shot at rim (assist by R. Hood)
6:19.0,D. Saric misses 3-pt shot from 25 ft,,71-64,,
6:19.0,,,71-64,,Defensive rebound by T. Thompson
6:12.0,,,71-64,,G. Hill misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by B. Simmons,,71-64,,
6:01.0,B. Simmons makes 2-pt shot from 17 ft,2,73-64,,
5:35.0,,,73-64,,J. Green misses 3-pt shot from 22 ft
5:30.0,,,73-64,,Offensive rebound by T. Thompson
5:17.0,,,73-64,,G. Hill misses 2-pt shot from 8 ft
5:15.0,Defensive rebound by B. Simmons,,73-64,,
5:00.0,B. Simmons misses 2-pt shot from 15 ft,,73-64,,
4:58.0,,,73-64,,Defensive rebound by L. James
4:50.0,,,73-64,,L. James misses 2-pt shot from 1 ft (block by B. Simmons)
4:47.0,Defensive rebound by B. Simmons,,73-64,,
4:42.0,R. Covington misses 3-pt shot from 26 ft,,73-64,,
4:38.0,Offensive rebound by A. Johnson,,73-64,,
4:37.0,D. Saric misses 2-pt shot from 17 ft,,73-64,,
4:34.0,,,73-64,,Defensive rebound by R. Hood
4:15.0,,,73-66,2,G. Hill makes 2-pt shot from 12 ft
4:14.0,Philadelphia full timeout,,73-66,,
4:14.0,,,73-66,,J. Clarkson enters the game for R. Hood
4:14.0,,,73-66,,L. Nance enters the game for G. Hill
4:14.0,,,73-66,,K. Korver enters the game for T. Thompson
4:14.0,T. McConnell enters the game for D. Saric,,73-66,,
4:14.0,J. Redick enters the game for M. Belinelli,,73-66,,
4:14.0,J. Embiid enters the game for B. Simmons,,73-66,,
4:14.0,E. Ilyasova enters the game for A. Johnson,,73-66,,
3:53.0,Turnover by E. Ilyasova (lost ball; steal by L. James),,73-66,,
3:52.0,,,73-66,,Shooting foul by E. Ilyasova (drawn by L. James)
3:52.0,,,73-67,1,L. James makes free throw 1 of 2
3:52.0,,,73-67,,L. James misses free throw 2 of 2
3:50.0,Defensive rebound by J. Embiid,,73-67,,
3:38.0,J. Embiid misses 2-pt shot from 8 ft,,73-67,,
3:35.0,,,73-67,,Defensive rebound by L. James
3:19.0,,,73-69,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
2:52.0,E. Ilyasova makes 2-pt shot from 14 ft,2,75-69,,
2:29.0,,,75-69,,J. Green misses 2-pt shot from 18 ft
2:26.0,Defensive rebound by R. Covington,,75-69,,
2:19.0,T. McConnell makes 2-pt shot from 16 ft,2,77-69,,
1:51.0,,,77-69,,L. James misses 2-pt shot from 17 ft
1:49.0,Defensive rebound by J. Embiid,,77-69,,
1:42.0,J. Embiid misses 2-pt shot from 19 ft,,77-69,,
1:40.0,,,77-69,,Defensive rebound by L. James
1:35.0,,,77-69,,L. James misses 2-pt shot from 5 ft
1:31.0,Defensive rebound by E. Ilyasova,,77-69,,
1:20.0,T. McConnell misses 2-pt shot from 16 ft,,77-69,,
1:17.0,,,77-69,,Defensive rebound by L. Nance
1:09.0,,,77-71,2,L. Nance makes 2-pt shot from 19 ft (assist by J. Clarkson)
0:50.0,Turnover by J. Redick (traveling),,77-71,,
0:50.0,,,77-71,,R. Hood enters the game for L. James
0:50.0,M. Belinelli enters the game for R. Covington,,77-71,,
0:44.0,,,77-71,,Offensive foul by J. Clarkson (drawn by T. McConnell)
0:44.0,,,77-71,,Turnover by J. Clarkson (offensive foul)
0:31.0,J. Embiid misses 2-pt shot from 1 ft (block by L. Nance),,77-71,,
